audit_index	target_id	title	author	year	author_candidate_count	wikidata_status	qid	failure_mode	notes	retrieval_failure_mode	audit_note	scope_review_prelim
18	OL15432617W	A boy trooper with Sheridan	Stanton P. Allen	1899	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
19	OL15625548W	Jimmy Chew	Harrison Wader Ferguson	1939	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
20	OL15866454W	Where the carp banners fly	Grace W. McGavran	1949	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
21	OL16330040W	Looking forward, the strange experience of the Rev. Fergus McCheyne	Hugh Pedley	1913	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
22	OL16479382W	Street of knives	Harris, Cyril	1950	2	NOT_FOUND_AFTER_SEARCH						INCLUDE
23	OL16685507W	The owls of Olynn belfry	A. Y. D.	1885	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
24	OL16872004W	Janet of Kootenay	Evah McKowan	1919	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
25	OL17191384W	The accursed plot	Paul C. Neville	1909	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
26	OL17670003W	The pocket piece	Bacon, Edgar Mayhew	1891	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
27	OL17693591W	Nan Haggard	Mary E. Bryan	1895	1	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
28	OL1848734W	Pomfret Towers	Angela Mackail Thirkell	1938	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
29	OL18505587W	The golden warrior	Hope Muntz	1948	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
30	OL19654439W	Simon of Cyrene, dimachaerus splendens	Shastid, Thomas Hall	1923	2	NOT_FOUND_AFTER_SEARCH						INCLUDE
31	OL19817448W	The Quaker Boy: A Tale of the Outgoing Generation as it Appears Chronicled in the Autobiography ...	William Dudley Foulke	1910	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
32	OL1995144W	Georgina's service stars	Annie F. Johnston	1918	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
33	OL22127488W	They tell no tales	Lee Thayer	1930	2	NOT_FOUND_AFTER_SEARCH						INCLUDE
34	OL22129881W	My best detective story		1931	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
35	OL22199874W	Ship boy with Columbus	Enid La Monte Meadowcroft	1942	1	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
36	OL22217760W	The Fifth mystery book		1944	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
37	OL228089W	Daniel Trentworthy	McGovern, John	1889	10	NOT_FOUND_AFTER_SEARCH						INCLUDE
38	OL2340158W	At the court of Catherine the Great	Frederick Whishaw	1899	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
39	OL237855W	The rose of love	Angeline Teal	1893	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
40	OL239446W	Itoma (Novel)	Taylor Alexander	1909	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
41	OL246173W	Old Squire	B. K. Benson	1903	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
42	OL24941880W	Detective Johnson of New Orleans	Harry Irving Hancock	1891	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
43	OL24949892W	The fateful hand	N. T. Oliver	1896	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
44	OL2508895W	A league of justice	Morrison I. Swift	1893	1	NOT_FOUND_AFTER_SEARCH					OL author field is malformed: 'Author 0.0'.	UNCERTAIN_SCOPE
45	OL29177016W	Hush, Follow Me to Paradise	Author 0.0	1922	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
46	OL3150595W	On a Lark to the planets	Frances Trego Montgomery	1904	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
47	OL32091886W	The old plate's story	William J. Forster	1898	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
48	OL32093561W	Charming talks about people and places	Lida Brooks Miller	1897	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
49	OL32094463W	Missionary rabbits		1893	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
50	OL32096402W	The little flower seekers	Rosa M. Gilbert	1880	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
51	OL32097038W	Philip O' Hara's adventures		1892	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
52	OL32097551W	The Monkey's trick	E. Veale	1897	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
53	OL33136278W	The Little housekeepers and other stories, illustrated	McLoughlin Bros	1886	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
54	OL37452470W	For God and the czar	J. E. Muddock	1892	0	NOT_FOUND_AFTER_SEARCH					OL author appears wrong; work is attributed elsewhere to Mary Stuart Smith.	INCLUDE
55	OL38773433W	Lang syne; or, The wards of Mount Vernon	William Samuel Harrison	1889	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
56	OL38960843W	Reformed robbers	I. A. Sites	1899	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
57	OL39255705W	Peppertree inn	Jean Randall	1941	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
58	OL43066133W	"Tales from ""Blackwood."""		1880	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
59	OL43537860W	Rachel Armstrong, or, Love and theology	Celia Parker Woolley	1887	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
60	OL44802025W	The case of Mr. Cassidy	William Targ	1939	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
61	OL4638220W	All else is folly	Catherine Gaskin	1950	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
62	OL4651089W	They dream of home	Niven Busch	1944	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
63	OL5352551W	The live dolls' house party	Josephine Scribner Gates	1906	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
64	OL5904065W	The Five Arrows	Allan Chase	1944	2	NOT_FOUND_AFTER_SEARCH						INCLUDE
65	OL5969181W	Mistress Joy	Grace MacGowan Cooke	1901	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
66	OL5969184W	Their first formal call	Grace MacGowan Cooke	1906	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
67	OL6208912W	Alec Hamilton, the Little Lion	Helen Boyd Higgins	1942	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
68	OL6215674W	Time Off for Murder	Zelda Popkin	1940	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
69	OL6328941W	The watch night	Henry Bett	1912	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
70	OL6329569W	The Persian journey of the Reverend Ashley Wishard and his servant Fathi	Elgin Earl Groseclose	1937	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
71	OL646841W	In my father's time	Éamon Kelly	1929	3	NOT_FOUND_AFTER_SEARCH					OL year appears incompatible with the identified work/author; likely major date/work mismatch.	EXCLUDE_OUT_OF_SCOPE
72	OL6916473W	Pasteboard masks	Vega Curl	1931	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
73	OL6922116W	The kitchen porch	George Philip Krapp	1923	1	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
74	OL7098583W	Fo' meals a day	Hugh Wiley	1927	2	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
75	OL7213911W	Pilot and Shogun	James Augustin Brown Scherer	1935	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
76	OL7246110W	Page boy for King Arthur	Eugenia Stone	1949	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
77	OL7411898W	We of Frabo stand	Loring MacKaye	1944	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
78	OL7413291W	Toby Chipmunk	Margaret Julia McElroy	1931	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
79	OL7440617W	Pinky-Pup	Dixie Willson	1922	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
80	OL7455239W	Billy Berk, the story of a Berkshire pig	John Y. Beaty	1930	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
81	OL7478201W	Guns over Champlain	Leon W. Dean	1946	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
82	OL7535367W	A mile of freedom	Helen Train Hilles	1932	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
83	OL7547276W	The fortune of the sands	Lorimer, James	1934	10	NOT_FOUND_AFTER_SEARCH						INCLUDE
84	OL7550812W	My blood and my treasure	Mary Schumann	1941	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
85	OL7572553W	Beyond surrender	Marian Sims	1942	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
86	OL7605001W	Studier över stil och språk i Dalins Argus grundade på en jämförelse mellan de två första upplagorna (av år 1732-34 och 1754 resp.)	Ruth Wikander	1924	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
87	OL7649110W	Out of the net	Mary D. Edmonds	1940	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
88	OL7665911W	The blue and the jungle	Ruth Atwell	1942	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
89	OL7704305W	"""As gold in the furnace"""	J. E. Copus	1910	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
90	OL7708926W	The Casino girl in London, by herself	Curtis Dunham	1898	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
91	OL7753006W	The green gods̓ pavilion	Mabel Wood Martin	1920	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
92	OL7756116W	The kidnapped campers	Flavia A. Camp Canfield	1908	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
93	OL7784310W	In Princeton town	Day Edgar	1929	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
94	OL7839033W	By order of the prophet	Alfred Hylas Henry	1902	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
95	OL7853193W	Preliminary finding list of fiction	New Orleans Public Library.	1897	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
96	OL7860029W	In colonial days	Maria Frances Hill Anderson	1886	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
97	OL7869909W	My sword for Sarsfield	Randal William McDonnell	1920	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
98	OL7895226W	Gold-seeking on the Dalton trail	Arthur Ripley Thompson	1900	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
99	OL8005303W	Adventures and exploits of the Younger brothers	Henry Dale	1890	3	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
100	OL9867605W	Dust of the world	S. M. Harris	1913	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
