selection_title,selection_author,selection_year,matched_title,matched_author,openlibrary_record_year,openlibrary_work_key,openalex_title_author_count,openalex_literary_terms_count,openalex_status,openalex_risk_flags,openlibrary_edition_count,hathitrust_volume_count,wikidata_qid,metadata_flags,bibliographic_note,jstor_ll_candidate_count,jstor_ll_relevant_count,jstor_ll_unclear_count,jstor_ll_unrelated_count
Nineteen Eighty-Four,George Orwell,1949,Nineteen Eighty-Four,George Orwell,1949,/works/OL1168083W,437,302,use_title_author,canonical_preserved,532,4,Q208460,,,20,20,0,0
The Portrait of a Lady,Henry James,1881,The Portrait of a Lady,"James, Henry",1881,/works/OL276365W,396,315,use_title_author,canonical_preserved,432,21,Q861017,author_variant_or_source_error,,51,51,0,0
Heart of Darkness,Joseph Conrad,1899,Heart of Darkness,"Conrad, Joseph",1899,/works/OL31971259W,1005,774,use_title_author,canonical_preserved,14,1,Q129778,author_variant_or_source_error,,266,255,7,4
The Sun Also Rises,Ernest Hemingway,1926,The Sun Also Rises,Ernest Hemingway,1926,/works/OL62979W,416,297,use_title_author,canonical_preserved,162,1,Q501351,,,42,42,0,0
"Maggie, a girl of the streets",Stephen Crane,1892,"Maggie, a girl of the streets","Crane, Stephen",1893,/works/OL20839W,49,34,use_title_author,canonical_preserved,260,1,,author_variant_or_source_error; year_discrepancy; wikidata_unresolved,,4,4,0,0
Tarzan of the Apes,Edgar Rice Burroughs,1917,Tarzan of the Apes,Edgar Rice Burroughs,1912,/works/OL1418251W,17,15,use_title_author,canonical_preserved,226,2,Q655296,year_discrepancy,,1,1,0,0
The Scarlet Pimpernel,Emma Orczy,1905,The Scarlet Pimpernel,"Orczy, Emmuska Orczy",1900,/works/OL1253285W,8,3,use_title_author,canonical_preserved,591,5,Q1249536,author_variant_or_source_error; year_discrepancy,Emma Orczy and Emmuska Orczy are name variants; the two year fields are retained separately.,1,1,0,0
The Time Machine,H. G. Wells,1895,The Time Machine,H. G. Wells,1895,/works/OL52267W,233,193,use_with_warning_risky_author,observed_risky_author_last:wells|canonical_preserved,1146,2,Q627333,openalex:use_with_warning_risky_author,,23,20,3,0
Autobiography of Alice B Toklas,Gertrude Stein,1933,The Autobiography of Alice B. Toklas,Gertrude Stein,1933,/works/OL37277W,70,58,use_title_author,canonical_preserved,83,2,Q6618986,title_variant,,6,6,0,0
Martin Eden,Jack London,1909,Martin Eden,Jack London,1908,/works/OL144822W,94,75,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,168,1,Q1317839,year_discrepancy; openalex:use_with_warning_short_title,,10,10,0,0
The Story of an African Farm,Olive Schreiner,1883,The story of an African farm,Olive Schreiner,1883,/works/OL18561767W,74,74,use_title_author,canonical_preserved,7,2,,wikidata_unresolved,,8,8,0,0
The Mystery of the Cloomber,Arthur Conan Doyle,1889,The Mystery of Cloomber,"Doyle, Arthur Conan",1895,/works/OL262473W,1,1,use_title_author,canonical_preserved,215,2,Q4449924,title_variant; author_variant_or_source_error; year_discrepancy,,0,0,0,0
Return Of The Soldier,Nathaniel West,1918,The Return of the Soldier,Rebecca West,1918,/works/OL27834207W,40,31,use_with_warning_risky_author,observed_risky_author_last:west|canonical_preserved,95,3,Q7760466,title_variant; author_variant_or_source_error; openalex:use_with_warning_risky_author,The source list records Nathaniel West; the matched work is Rebecca West's The Return of the Soldier.,9,9,0,0
Gone to Earth,Mary Webb,1917,Gone to Earth,Mary Gladys Meredith Webb,1917,/works/OL4390503W,8,6,use_title_author,canonical_preserved,15,1,Q109284453,author_variant_or_source_error,,4,2,2,0
The Homeward Trail,Waldron Baily,1916,The Homeward Trail,Waldron Baily,1916,/works/OL13144755W,0,0,zero_title_author,canonical_preserved,3,2,,openalex:zero_title_author; wikidata_unresolved,,0,0,0,0
The Red Badge of Courage,Stephen Crane,1895,The red badge of courage,"Crane, Stephen",1900,/works/OL42517032W,153,108,use_title_author,canonical_preserved,1,1,Q1219239,author_variant_or_source_error; year_discrepancy,,45,45,0,0
Howard's End,E. M. Forster,1910,Howards End,E. M. Forster,1910,/works/OL88881W,182,135,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,467,2,Q1146642,title_variant; openalex:use_with_warning_short_title,,30,30,0,0
A Portrait of the Artist as a Young Man,James Joyce,1916,A portrait of the artist as a young man,"Joyce, James",1921,/works/OL38989822W,509,384,use_title_author,canonical_preserved,3,14,Q465360,author_variant_or_source_error; year_discrepancy,,67,67,0,0
Jude the Obscure,Thomas Hardy,1895,Jude the obscure,"Hardy, Thomas",1895,/works/OL39453744W,343,273,use_with_warning_risky_author,observed_risky_author_last:hardy|canonical_preserved,1,17,Q1248773,author_variant_or_source_error; openalex:use_with_warning_risky_author,,69,68,1,0
Secret Agent,Joseph Conrad,1907,The Secret Agent,"Conrad, Joseph",1907,/works/OL39108W,285,225,use_title_author,canonical_preserved,335,1,Q1247666,title_variant; author_variant_or_source_error,,132,129,2,1
Tess of the D'Urbervilles,Thomas Hardy,1891,Tess of the D'Urbervilles,Thomas Hardy,1891,/works/OL40434746W,504,369,use_with_warning_risky_author,observed_risky_author_last:hardy|canonical_preserved,9,39,Q649409,openalex:use_with_warning_risky_author,,65,63,2,0
Ulysses,James Joyce,1922,Ulysses,James Joyce,1922,/works/OL35695219W,2194,1574,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,71,3,Q6511,openalex:use_with_warning_short_title,,827,710,64,53
Dubliners,James Joyce,1914,Dubliners,"Joyce, James",1914,/works/OL86320W,689,544,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,996,7,Q459592,author_variant_or_source_error; openalex:use_with_warning_short_title,,94,94,0,0
The Rise of David Levinsky,Abraham Cahan,1917,The rise of David Levinsky,Abraham Cahan,1917,/works/OL14864528W,24,19,use_title_author,canonical_preserved,20,2,,wikidata_unresolved,,7,7,0,0
The Prisoner of Zenda,Anthony Hope,1894,The Prisoner of Zenda,Anthony Hope,1939,/works/OL245401W,14,12,use_with_warning_risky_author,observed_risky_author_last:hope|canonical_preserved,627,19,,year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved,,2,1,1,0
The Odd Women,George Gissing,1893,The odd women,George Gissing,1893,/works/OL715621W,35,26,use_title_author,canonical_preserved,36,1,,wikidata_unresolved,,7,7,0,0
Alexander's Bridge,Willa Cather,1912,Alexander's Bridge,Willa Cather,1912,/works/OL12781W,32,29,use_title_author,canonical_preserved,229,2,Q4718102,,,4,4,0,0
Jacob's Room,Virginia Woolf,1922,Jacob's Room,Virginia Woolf,1922,/works/OL39329W,160,125,use_title_author,canonical_preserved,309,1,Q1677745,,,19,19,0,0
Ethan Frome,Edith Wharton,1911,Ethan Frome,Edith Wharton,1910,/works/OL98501W,83,55,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,1000,12,Q5402934,year_discrepancy; openalex:use_with_warning_short_title,,14,14,0,0
Treasure Island,Robert Louis Stevenson,1882,Treasure Island,Robert Louis Stevenson,1880,/works/OL24034W,155,111,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,1988,2,Q185118,year_discrepancy; openalex:use_with_warning_short_title,,18,16,2,0
The Turn of the Screw,Henry James,1898,Turn of the Screw,Henry James,1898,/works/OL40252771W,280,214,use_title_author,canonical_preserved,8,1,,title_variant; wikidata_unresolved,,67,67,0,0
White Fang,Jack London,1906,White Fang,Jack London,1905,/works/OL74504W,55,44,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,387,2,Q152267,year_discrepancy; openalex:use_with_warning_short_title,,1,1,0,0
Looking Backward,Edward Bellamy,1887,Looking backward,"Bellamy, Edward",1941,/works/OL18814811W,106,76,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,1,0,Q1305106,author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title,,24,16,7,1
Java Head,Joseph Hergesheimer,1919,Java Head,Joseph Hergesheimer,1918,/works/OL4902750W,1,0,use_with_warning_short_title,short_title_len_le_2|ta_without_lit_terms|canonical_preserved,27,2,Q107000085,year_discrepancy; openalex:use_with_warning_short_title,,0,0,0,0
The House of Mirth,Edith Wharton,1905,The house of mirth,Edith Wharton,1906,/works/OL42236259W,218,171,use_title_author,canonical_preserved,1,1,,year_discrepancy; wikidata_unresolved,,60,60,0,0
Three Lives,Gertrude Stein,1909,Three Lives,Gertrude Stein,1909,/works/OL35383W,50,33,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,149,1,Q7797597,openalex:use_with_warning_short_title,,8,6,1,1
The Picture of Dorian Gray,Oscar Wilde,1890,The Picture of Dorian Gray,Oscar Wilde,1890,/works/OL8193416W,504,377,use_title_author,canonical_preserved,3012,2,Q82464,,,34,34,0,0
Hearts courageous,Hallie Rives,1902,Hearts courageous,"Rives, Hallie Erminie",1902,/works/OL1799163W,0,0,zero_title_author,short_title_len_le_2|canonical_preserved,2,5,,author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved,,3,3,0,0
Lady Chatterley's Lover,D. H. Lawrence,1928,Lady Chatterley's lover,"Lawrence, D. H.",1946,/works/OL43405505W,287,218,use_title_author,canonical_preserved,2,1,,author_variant_or_source_error; year_discrepancy; wikidata_unresolved,,32,32,0,0
Robert Elsmere,Mrs. Humphry Ward,1888,Robert Elsmere,Humphry Ward,1888,/works/OL41540816W,28,20,use_with_warning_risky_author,observed_risky_author_last:ward|short_title_len_le_2|canonical_preserved,2,20,Q7344052,author_variant_or_source_error; openalex:use_with_warning_risky_author,,4,4,0,0
Alas,Rhoda Broughton,1890,Alas!,Rhoda Broughton,1890,/works/OL1487721W,1,1,use_with_warning_short_title,short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved,3,11,,openalex:use_with_warning_short_title; wikidata_unresolved,,75,2,16,57
As I Lay Dying,William Faulkner,1930,As I Lay Dying,William Faulkner,1915,/works/OL82929W,285,206,use_title_author,canonical_preserved,62,1,Q1544119,year_discrepancy,,72,71,1,0
Stepsons Of Light,Eugene Manlove Rhodes,1921,Stepsons of light,Eugene Manlove Rhodes,1921,/works/OL2107271W,0,0,zero_title_author,canonical_preserved,5,3,,openalex:zero_title_author; wikidata_unresolved,,0,0,0,0
The Good Soldier,Ford Maddox Ford,1915,The Good Soldier,Ford Madox Ford,1930,/works/OL509889W,125,108,use_with_warning_risky_author,observed_risky_author_last:ford|canonical_preserved,355,2,,author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved,,74,72,0,2
The Heavenly Twins,Sarah Grand,1893,The Heavenly Twins,Sarah Grand,1893,/works/OL4315764W,32,26,use_title_author,canonical_preserved,17,1,,wikidata_unresolved,,6,6,0,0
The Call of the Wild,Jack London,1903,The Call of the Wild,Jack London,1903,/works/OL14942956W,143,122,use_title_author,canonical_preserved,1699,1,Q476871,,,5,4,1,0
Grand Babylon Hotel,Arnold Bennett,1902,The Grand Babylon Hotel,"Bennett, Arnold",1902,/works/OL109153W,1,0,use_title_author,ta_without_lit_terms|canonical_preserved,75,3,Q7737468,title_variant; author_variant_or_source_error,,0,0,0,0
Three Soldiers,John Dos Passos,1921,Three soldiers,John Dos Passos,1921,/works/OL1217993W,31,26,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,19,3,Q7797826,openalex:use_with_warning_short_title,,2,2,0,0
Marrow of Tradition,Mary Chesnutt,1901,The marrow of tradition,Charles Waddell Chesnutt,1901,/works/OL112798W,54,49,use_title_author,canonical_preserved,144,5,,title_variant; author_variant_or_source_error; wikidata_unresolved,The source list records Mary Chesnutt; the matched work metadata identifies Charles Waddell Chesnutt.,17,17,0,0
At Fault,Kate Chopin,1890,At Fault,Kate Chopin,1890,/works/OL65437W,13,10,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,127,2,Q131573518,openalex:use_with_warning_short_title,,1,1,0,0
The Shadow-Line,Joseph Conrad,1921,The shadow-line,"Conrad, Joseph",1917,/works/OL38827W,71,60,use_title_author,canonical_preserved,147,3,,author_variant_or_source_error; year_discrepancy; wikidata_unresolved,,15,15,0,0
The Moon and Sixpence,W Somerset Maugham,1919,The moon and sixpence,W. Somerset Maugham,1919,/works/OL505740W,41,30,use_title_author,canonical_preserved,397,2,,wikidata_unresolved,,1,1,0,0
Kim,Rudyard Kipling,1900,Kim,"Kipling, Rudyard",1901,/works/OL20172W,218,171,use_with_warning_short_title,short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved,65,1,Q19086249,author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title,,93,21,5,67
The Custom of the Country,Edith Wharton,1913,The Custom of the Country,Edith Wharton,1900,/works/OL98585W,65,51,use_title_author,canonical_preserved,61,1,Q7728505,year_discrepancy,,22,21,1,0
The Beautiful and the Damned,F Scott Fitzgerald,1922,The Beautiful and Damned,F. Scott Fitzgerald,1920,/works/OL468362W,52,46,use_title_author,canonical_preserved,495,1,Q2531205,title_variant; year_discrepancy,,4,4,0,0
The Financier,Theodore Dreiser,1912,The Financier,Theodore Dreiser,1912,/works/OL100237W,35,29,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,352,1,Q577607,openalex:use_with_warning_short_title,,6,6,0,0
Parades End,Ford Maddox Ford,1924,Parade's End,Ford Madox Ford,1950,/works/OL509919W,102,84,use_with_warning_risky_author,observed_risky_author_last:ford|canonical_preserved,24,2,,title_variant; author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved,Title punctuation and author spelling vary; the two year fields are retained separately.,30,30,0,0
King Coal,Upton Sinclair,1917,King Coal,Upton Sinclair,1905,/works/OL115067W,6,5,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,86,2,Q16386559,year_discrepancy; openalex:use_with_warning_short_title,,0,0,0,0
Dracula,Bram Stoker,1897,Dracula,Bram Stoker,1922,/works/OL85892W,774,561,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,736,1,,year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved,,119,110,6,3
The Crock of Gold,Stephens James,1913,The Crock of Gold,"Stephens, James",1912,/works/OL1154817W,3,0,use_title_author,ta_without_lit_terms|canonical_preserved,155,1,Q7728134,year_discrepancy,Author-name order is normalized; the source-list year and Open Library record year differ.,1,1,0,0
The Pit,Frank Norris,1903,The Pit,Frank Norris,1903,/works/OL1794919W,21,17,use_with_warning_short_title,observed_generic_short_title|short_title_len_le_2|canonical_preserved,291,1,Q7757284,openalex:use_with_warning_short_title,,49,4,20,25
Megda,Emma Kelley,1891,Megda,Emma Dunham Kelley,1891,/works/OL4971729W,3,3,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,6,1,,author_variant_or_source_error; openalex:use_with_warning_short_title; wikidata_unresolved,,0,0,0,0
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1886,Strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,/works/OL44014215W,196,153,use_title_author,canonical_preserved,1,2,Q217352,,,10,10,0,0
The Jungle Book,Rudyard Kipling,1894,The Jungle Book,"Kipling, Rudyard",1893,/works/OL19870W,83,61,use_title_author,canonical_preserved,538,21,Q189509,author_variant_or_source_error; year_discrepancy,,1,0,0,1
The Yearling,Marjorie Kinman Rawlings,1938,The Yearling,Marjorie Kinnan Rawlings,1938,/works/OL111382W,14,12,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,65,1,Q429806,author_variant_or_source_error; openalex:use_with_warning_short_title,The source list appears to spell Kinnan as Kinman.,2,2,0,0
A Room with a View,E. M. Forster,1908,A Room with a View,E. M. Forster,1905,/works/OL88813W,85,60,use_title_author,canonical_preserved,692,1,Q120288,year_discrepancy,,10,8,2,0
For Whom the Bell Tolls,Ernest Hemingway,1949,For Whom the Bell Tolls,Ernest Hemingway,1940,/works/OL63009W,249,157,use_title_author,canonical_preserved,182,1,Q200920,year_discrepancy,,17,17,0,0
The Frontiersman,Mary Noailles Murfree,1904,The Frontiersmen,Charles Egbert Craddock,1904,/works/OL2337481W,0,0,zero_title_author,short_title_len_le_2|canonical_preserved,9,5,,title_variant; author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved,Mary Noailles Murfree published as Charles Egbert Craddock; the title also varies between singular and plural.,0,0,0,0
Mrs. Dalloway,Virginia Woolf,1925,Mrs. Dalloway,Virginia Woolf,1925,/works/OL39349W,740,576,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,476,4,Q752584,openalex:use_with_warning_short_title,,84,83,0,1
Tender Is The Night,F Scott Fitzgerald,1934,Tender is the Night,F. Scott Fitzgerald,1933,/works/OL468485W,185,138,use_title_author,canonical_preserved,312,1,Q247372,year_discrepancy,,31,31,0,0
To the Lighthouse,Virginia Woolf,1927,To the Lighthouse,Virginia Woolf,1927,/works/OL39396W,634,507,use_title_author,canonical_preserved,521,2,Q478016,,,64,62,2,0
The Awakening,Kate Chopin,1899,The Awakening,Kate Chopin,1899,/works/OL65430W,411,295,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,346,2,Q1567505,openalex:use_with_warning_short_title,,76,56,9,11
The Jungle,Upton Sinclair,1906,The jungle,Upton Sinclair,1906,/works/OL44622934W,104,72,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,1,11,,openalex:use_with_warning_short_title; wikidata_unresolved,,53,8,12,33
Peter Pan,J. M. Barrie,1911,Peter Pan,J. M. Barrie,1911,/works/OL462007W,241,139,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,441,1,Q3435337,openalex:use_with_warning_short_title,,12,4,4,4
Pembroke,Mary Wilkins Freeman,1894,Pembroke,Mary Eleanor Wilkins Freeman,1894,/works/OL507321W,9,4,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,31,4,Q7161943,author_variant_or_source_error; openalex:use_with_warning_short_title,,29,1,2,26
Orlando,Virginia Woolf,1928,Orlando,Virginia Woolf,1928,/works/OL39360W,431,306,use_with_warning_short_title,short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved,452,3,Q1629456,openalex:use_with_warning_short_title,,224,59,10,155
The Genius,Theodore Dreiser,1915,"The ""genius""",Theodore Dreiser,1915,/works/OL100196W,21,19,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,164,2,,openalex:use_with_warning_short_title; wikidata_unresolved,,59,4,6,49
Sister Carrie,Theodore Dreiser,1900,Sister Carrie,Theodore Dreiser,1900,/works/OL100203W,254,200,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,463,13,Q1286961,openalex:use_with_warning_short_title,,43,43,0,0
The Border Legion,Zane Grey,1916,The border legion,Zane Grey,1916,/works/OL485410W,2,1,use_title_author,canonical_preserved,302,2,,wikidata_unresolved,,0,0,0,0
The North Star,Margaret Ellen Henry-Ruffin,1904,The North Star,M. E. Henry-Ruffin,1904,/works/OL18397742W,0,0,zero_title_author,canonical_preserved,1,0,,author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved,The full author name and initials refer to the same author.,7,0,7,0
