OL1004630A	Geoffrey Household
OL1394359A	Suzanne Collins
OL1394865A	Brandon Sanderson
OL1394989A	Shannon Hale
OL1396229A	Stephan Pastis
OL1400004A	OL3499740A	Lewis Vaughn	Chris MacDonald
OL1401662A	Mo Willems
OL1412764A	Khaled Hosseini
OL1412764A	OL15860736A	Khaled Hosseini	Kh Khosseini
OL1415051A	Tom McGregor
OL1418396A	Vladimir Kopicl
OL1422258A	John Jackman
OL142404A	T. H. White
OL1424304A	OL7295855A	OL3249111A	Sara Gruen	David LeDoux	John Randolph Jones
OL1425869A	Markus Zusak
OL1425963A	Christopher Paolini
OL1426790A	Richard Yancey
OL1429181A	James Keeler
OL143103A	Boethius
OL14323117A	Alicia Radford
OL1432532A	John Boyne
OL1433006A	Gillian Flynn
OL1433889A	Vikas Swarup
OL1435536A	Saundra K. Ciccarelli
OL1436339A	Liane Moriarty
OL14370A	OL7681924A	OL3160488A	OL3092921A	OL9031327A	OL4384655A	Che Guevara	Ann Wright	Ernesto; Wright, Ann (translator) Guevara	Aleida Guevara	Walter Salles	Cintio Vitier
OL14411757A	My Personal My Personal Journals
OL144195A	Erwin Kreyszig
OL1452170A	Daisy Meadows
OL145574A	Ludwig Wittgenstein
OL146425A	Jean Leduc
OL146605A	Edgar Rice Burroughs
OL14705469A	Hemlock Hemlock Moon
OL1476359A	OL10484195A	Jennifer Donnelly	Bea Miller
OL1478799A	Jojo Moyes
OL1479823A	OL12552279A	OL9118535A	Alice Sebold	Dunow and Carlson Lit. Agency	Maria Roura Mir
OL1480103A	Laura Hillenbrand
OL1482402A	Max Brooks
OL15035534A	日外アソシエーツ
OL150767A	OL2633201A	OL2635669A	OL2635670A	OL2638611A	OL2640732A	OL2640733A	OL7807039A	Ferdinand Pierre Beer	E. Russell Johnston, Jr.	William E. Clausen	George Staab	Elliot R. Eisenberg	David Mazurek	Phillip J. Cornwell	Brian Self
OL150767A	OL2633201A	OL2635669A	OL2640733A	OL2635670A	OL7403701A	Ferdinand Pierre Beer	E. Russell Johnston, Jr.	William E. Clausen	Phillip J. Cornwell	George Staab	Self Brian P.
OL1514025A	James Dashner
OL1516632A	OL2897709A	OL247452A	Paige Wilson	Paige L. Wilson	Teresa Ferster Glazier
OL151749A	Margaret Mitchell
OL1517670A	OL6915179A	Kevin Beaver	Jutta Schmidt
OL1519677A	OL2626418A	Denise Zimmermann	Katherine A. Gleason
OL1520766A	Paul A. Nigro
OL152307A	Hugh Lofting
OL153463A	Spyri, Johanna
OL1549784A	Sarah Morgan
OL1568927A	Christine Wilding
OL158901A	Mrs. Susanna (Haswell) Rowson
OL158938A	OL6529932A	Marie Corelli	Andrew D. Radford
OL1592632A	Canada Land Inventory.
OL160143A	OL2897518A	OL2897519A	Thomas de Littleton	Thomas Littleton	Eugene Wambaugh
OL1602905A	Quincy Jones
OL1606245A	Kwame Alexander
OL1608059A	Evan J. Mandery
OL1609115A	Gayle Angus Pearson
OL161167A	Arthur Conan Doyle
OL162098A	Carlo Collodi
OL162596A	Andrew Carnegie
OL162974A	OL27824A	W. W. Rouse Ball	H. S. M. Coxeter
OL1639676A	Bosse Gustafson
OL1643202A	OL121503A	OL2007758A	OL1123867A	Allen Kent	Harold Lancour	William Z. Nasri	Jay Elwood Daily
OL164363A	Alexandre Dumas fils
OL164746A	Titus Lucretius Carus
OL1679227A	John Mason
OL168048A	William D. Thornbury
OL1690885A	J. L. Austin
OL16944A	Denis Diderot
OL170469A	Thomas Malory
OL17243A	Dwight D. Eisenhower
OL173085A	Knut Schmidt-Nielsen
OL173760A	نجيب محفوظ
OL1762323A	OL2787207A	OL3560232A	Bobby Fischer	Stuart Margulies	Donn Mosenfelder
OL1766758A	James Branch Cabell
OL1769119A	Richard O'Connor
OL17851A	Maxwell Maltz
OL17943A	OL2751739A	Benjamin Spock	Michael B. Rothenberg M.D.
OL1801025A	Eugene Burdick
OL18053A	Edith Nesbit
OL1810953A	OL2676166A	James Leo Herlihy	James Herlihy
OL18112A	John Bunyan
OL18236A	Alexandre Dumas
OL18236A	OL2529442A	Alexandre Dumas	Auguste Maquet
OL18271A	Charles Lamb
OL18271A	OL589880A	Charles Lamb	Mary Lamb
OL18277A	Thomas Hardy
OL18283A	Daniel Defoe
OL18283A	OL4356517A	OL4368118A	OL10875421A	OL532139A	Daniel Defoe	J. J. Grandville	Petrus Borel	Les éditions du Rey	N. C. Wyeth
OL18298A	Henry Fielding
OL18319A	Mark Twain
OL18394A	Edward Bulwer Lytton, Baron Lytton
OL18404A	Όμηρος
OL184612A	OL1114265A	OL3824371A	OL4636934A	Thomas Dilworth	Moses Browne	William Deane	Robert Patterson
OL184781A	Giles Lytton Strachey
OL18485A	United States
OL18524A	Gilbert Keith Chesterton
OL18524A	OL13608013A	Gilbert Keith Chesterton	Catholic Way Publishing Staff
OL18528A	John Buchan
OL1862628A	Keith Murphy
OL186678A	Luther Blissett
OL188486A	Mario Puzo
OL18901A	Charles Portis
OL189061A	John V. Thill
OL18928A	Jorge Luis Borges
OL18928A	OL76889A	OL67141A	OL794876A	OL50694A	OL57938A	OL450788A	OL402789A	OL63258A	OL21093A	OL9144774A	OL133457A	OL9144776A	OL24137A	OL254706A	OL22736A	OL16934A	OL1329087A	OL1836313A	OL107593A	OL22098A	OL18524A	OL333978A	OL86757A	OL2631008A	OL476175A	OL376370A	OL3665032A	OL3141150A	OL2689875A	OL53103A	OL114411A	OL26681A	OL7820166A	OL160918A	OL31827A	OL3203500A	OL33146A	OL24461A	OL62912A	OL554155A	OL113574A	OL29388A	OL294424A	OL1140179A	OL9144779A	OL124778A	OL9144780A	OL1858215A	OL33452A	OL1992970A	OL28127A	OL68149A	OL4280600A	OL591204A	OL2399792A	OL2666153A	OL538087A	OL24981A	OL26783A	OL558099A	OL683896A	OL70343A	OL32293A	OL1391432A	OL2588771A	OL126394A	OL20646A	OL785191A	OL2448140A	OL25342A	OL608235A	OL21207A	OL7344211A	Jorge Luis Borges	Silvina Ocampo	Adolfo Bioy Casares	Ryūnosuke Akutagawa	Thomas Bailey Aldrich	Leonid Andreyev	John Aubrey	J. G. Ballard	Sir Max Beerbohm	Ambrose Bierce	Ah'med Ech Chiruani	Léon Bloy	Delia Ingenieros	Ray Bradbury	Tor Åge Bringsværd	Martin Buber	Richard Francis Burton	Arturo Cancela	Pilar de Lusarreta	Thomas Carlyle	Lewis Carroll	Gilbert Keith Chesterton	Zhuangzi	Jean Cocteau	Julio Cortázar	Santiago Dabove	Alexandra David-Néel	Lord Edward Dunsay	Macedonio Fernandez	James George Frazer	Elena Garro	Herbert Allen Giles	Nathaniel Hawthorne	I. A. Ireland	W. W. Jacobs	James Joyce	Don Juan Manuel	Franz Kafka	Rudyard Kipling	Leopoldo Lugones	Arthur Machen	Walter De la Mare	Guy de Maupassant	Edwin Morgan	H. A. Murena	Niu Chiao	Papini, Giovanni	Carlos Peralta	Barry Perowne	Petronius	Manuel Peyrou	Edgar Allan Poe	Pu Songling	François Rabelais	Saki	May Sinclair	W.W. Skeat	Olaf Stapledon	Emanuel Swedenborg	Лев Толстой	B. Traven	Tsʻao, Hsüeh-chʻin.	Auguste comte de Villiers de L'Isle-Adam	Voltaire	Evelyn Waugh	Edward Lucas White	Juan Rodolfo Wilcock	Oscar Wilde	Richard Wilhelm	G. Willoughby-Meade	Mary Shelley	Wu Cheng'en	William Butler Yeats	Jose Zorilla
OL18969A	John Dewey
OL18977A	Nora Roberts
OL18977A	OL7301162A	Nora Roberts	Susan Ericksen
OL18977A	OL7833466A	Nora Roberts	Angela Dawe
OL190100A	Paul Auster
OL19024A	Upton Sinclair
OL19066A	A. S. Byatt
OL19246A	Heather Graham
OL192668A	Robert W. Christopherson
OL19269A	Leon Uris
OL1927307A	F.-X. Garneau
OL19283A	Grace Livingston Hill
OL19306A	Elisabeth Elliot
OL193259A	Anne Hooper
OL19365A	Jacqueline Wilson
OL19365A	OL26657A	Jacqueline Wilson	Nick Sharratt
OL19430A	Neal Stephenson
OL19430A	OL1392799A	Neal Stephenson	Nicole Galland
OL19441A	Joseph Conrad
OL19450A	Virginia Woolf
OL19465A	Edith Pargeter
OL19482A	Louis L'Amour
OL194922A	Thomas A. Moore
OL19493A	Sinclair Lewis
OL19499A	Christopher Isherwood
OL19512A	Emily Dickinson
OL195651A	Jeremy Belknap
OL19597A	Nicholas Sparks
OL19603A	Booth Tarkington
OL19669A	Carol Matas
OL19673A	Robert Cormier
OL19677A	Антон Павлович Чехов
OL19690A	Henry David Thoreau
OL19698A	Jayne Creighton
OL197120A	Laura Ingalls Wilder
OL19725A	Washington Irving
OL19728A	Cynthia Rylant
OL1973949A	Brian Davis
OL197515A	Dorothy L. Sayers
OL19767A	Aldous Huxley
OL19880A	Anne McCaffrey
OL19905A	Piers Anthony
OL19964A	D. H. Lawrence
OL19981A	OL15292106A	OL15535726A	Stephen King	Stephen king	Ingah Mikhaʼeli
OL19981A	Stephen King
OL200394A	OL544937A	OL2686295A	OL31353A	OL1771265A	OL24856A	OL2643333A	OL24137A	OL1232071A	OL2701609A	OL33607A	OL2937580A	OL539879A	OL20187A	OL1294912A	OL5323285A	OL7843975A	OL1963611A	OL39603A	OL19905A	OL19921A	OL227969A	OL7843985A	OL32471A	OL6866615A	OL228668A	OL1188211A	OL777265A	OL659164A	OL7843986A	OL2666199A	OL1872913A	OL23121A	OL26237A	OL34434A	OL7843987A	OL21657A	OL329735A	OL2633928A	OL7051733A	OL284401A	OL886261A	OL2628870A	OL33088A	OL13216131A	OL13102923A	Harlan Ellison	John Heidenry	Ross Rocklynne	Ursula K. Le Guin	Andrew J. Offutt	Gene Wolfe	Ray Nelson	Ray Bradbury	Chad Oliver	Edward Bryant	Kate Wilhelm	James B. Hemesath	Joanna Russ	Kurt Vonnegut	T. L. Sherred	K. M. O'Donnell	H. H. Hollis	Bernard Wolfe	David Gerrold	Piers Anthony	Lee Hoffman	Gahan Wilson	Joan Bernott	Gregory Benford	Evelyn Lief	James Sallis	Josephine Saxton	Ken McCullough	David Kerr	Burt K. Filer	Richard Hill	Leonard Tushnet	Ben Bova	Edward Gorman	James Blish	A. Parra	Thomas M. Disch	Richard A. Lupoff	John Harrison	Robin Scott	Andrew Weiner	Terry Carr	James Tiptree, Jr.	Dean Koontz	Piers Anthony	Ben Bova
OL200403A	Pamela L. Travers
OL200763A	United States. National Transportation Safety Board.
OL20088A	Horace
OL20088A	OL564289A	Horace	Floriano Martins
OL201255A	Judith Kerr
OL20157A	Friedrich Nietzsche
OL20167A	Tracy Kidder
OL20187A	Kurt Vonnegut
OL20188A	Edith Wharton
OL20243A	Graham Greene
OL20246A	Owen Wister
OL203016A	Margaret Laurence
OL2032671A	Thomas Harris
OL203471A	OL2653814A	OL2653815A	Lynn Quitman Troyka	Lynn Q. Troyka	Doug Hesse
OL203473A	OL2648839A	OL7497369A	Harvey M. Deitel	Paul J. Deitel	Abbey Deitel
OL2055261A	Giovanni Boccaccio
OL20585A	Edwin Abbott Abbott
OL20588A	OL1514640A	OL8058693A	OL3211922A	Lemony Snicket	Brett Helquist	Michael Kupperman	Nestor Busquets
OL20646A	Oscar Wilde
OL2066695A	OL13673268A	Daniel Kahneman	Daniel Kahneman
OL2067661A	OL5803007A	OL11474839A	Hobart Hurd Willard	Lynne L. Merritt	John Aurie Dean
OL20687A	Sue Grafton
OL2069232A	Robert W. Motley
OL20735A	Umberto Eco
OL20740A	Bonnie Jo Campbell
OL20743A	Percy Bysshe Shelley
OL20837A	OL2737864A	D. Peter Snustad	Michael J. Simmons
OL20878A	OL10720261A	Julia Cameron	Ada Arbós Bo
OL209285A	OL4343694A	OL7890897A	OL5924935A	OL138486A	Edgar Snow	E. snow	JIE JI ? KAI LE	Edgar Snow	John King Fairbank
OL2098672A	Katharine Newlin Burt
OL20994A	OL2865621A	Frederick Forsyth	Frederick Davidson
OL2099517A	Gerard Ludi
OL21001A	Henry James
OL21001A	OL7484290A	OL362074A	Henry James	Susan M. Griffin	Eleanor Bron
OL2101074A	John le Carré
OL2101175A	O. Henry
OL21070A	Samuel Johnson
OL21093A	Ambrose Bierce
OL21095A	Gertrude Stein
OL21218A	Carolyn Keene
OL21219A	Franklin W. Dixon
OL21225A	OL12554472A	Janet Evanovich	Janet Evanovich
OL21225A	OL2829296A	Janet Evanovich	Lorelei King
OL21250A	Lawrence Durrell
OL2139510A	Organisation for Economic Co-operation and Development
OL21554A	Gregory Maguire
OL215610A	Jerome Klapka Jérôme
OL21563A	Barbara Park
OL215689A	G. A. Henty
OL21569A	Arthur Miller
OL215713A	Frank Norris
OL21589A	OL7410624A	Euripides	Euripides
OL215911A	OL2559602A	OL6004387A	OL6004388A	OL1014526A	OL2746120A	Fannie Merritt Farmer	Lincoln, Mary Johnson Bailey "Mrs. D. A. Lincoln,"	James B. Herndon 	Herndon/Vehling Collection	Sam Sloan	D. A. Lincoln
OL21594A	Jane Austen
OL2162882A	OL1302373A	OL2748330A	OL795454A	OL2740926A	Irma S. Rombauer	Marion Rombauer Becker	Ethan Becker	John Becker	Megan Scott
OL216503A	Mary Stewart
OL216536A	Eric Foner
OL216556A	Robert Anton Wilson
OL21656A	Jim Thompson
OL216748A	Edwidge Danticat
OL216755A	Jeffrey Archer
OL216799A	OL2651928A	OL1296676A	Philip Kotler	John T. Bowen	James C. Makens
OL216799A	Philip Kotler
OL216861A	OL656894A	Jeffrey O. Bennett	William L. Briggs
OL21718A	Bill Bryson
OL2172651A	Lee Thayer
OL217344A	OL13474975A	Oliver Sacks	Dafnah Leṿi
OL217344A	OL709314A	Oliver Sacks	Jonathan Davis
OL217344A	Oliver Sacks
OL217394A	OL237141A	OL28029A	OL1434553A	OL29219A	OL20678A	OL18722A	OL1394864A	OL1385589A	OL26165A	OL531502A	OL7507883A	OL382982A	OL2645009A	OL292141A	OL23207A	OL31384A	OL21554A	OL23704A	OL23918A	OL26576A	OL454225A	OL1437068A	OL11596305A	Jack Dann	Gardner R. Dozois	Cecelia Holland	Naomi Novik	Jonathan Stroud	Kage Baker	Jane Yolen	Adam Stemple	Liz Williams	Peter S. Beagle	Diana Gabaldon	Samuel Sykes	Garth Nix	Sean Williams	Tad Williams	Harry Turtledove	Diana Wynne Jones	Gregory Maguire	Bruce Coville	Tanith Lee	Tamora Pierce	Mary Rosenblum	Andy Duncan	Gardner Dozois Jack Dann
OL217475A	OL3309725A	OL709314A	OL7931147A	OL12162948A	Bret Easton Ellis	Brent Ellis	Jonathan Davis	Lauren Fortgang	Danny Gerard
OL21767A	Jonathan Lethem
OL217736A	Richard Henry Dana
OL2179705A	Frederic Wakeman Sr.
OL21831A	William Faulkner
OL21836A	OL14285515A	OL10844193A	OL10844194A	Karl May	H. J. Graefen	Stanley L. Sharp	Alfred P. Donhauser
OL218444A	Mitch Albom
OL218553A	George MacDonald Fraser
OL218707A	Rumer Godden
OL219380A	Ann-Marie MacDonald
OL219382A	Greg Cox
OL219597A	Gaston Leroux
OL21970A	Winston S. Churchill
OL2197307A	Alex Faickney Osborn
OL21976A	Patricia Cornwell
OL219802A	Scott Shaw
OL22013A	OL12544755A	OL2829308A	Rosamunde Pilcher	Ana María de la Fuente Rodríguez	Jilly Bond
OL22013A	Rosamunde Pilcher
OL2201875A	Antonio Gavin
OL220198A	Judy Blume
OL22019A	V. C. Andrews
OL22019A	V.C. Andrews
OL220263A	OL14493285A	OL6725157A	Jacob A. Riis	K. D. Weeks	Isabel Núñez
OL22026A	C. Brian Kelly
OL22028A	Mary Roberts Rinehart
OL22060A	Augustine of Hippo
OL220643A	Robert Harbin
OL220796A	Amy Tan
OL22098A	Lewis Carroll
OL22105A	Aristotle
OL22105A	OL4381062A	OL6388795A	OL5180148A	OL8031683A	OL9233117A	Aristotle	J. A. Smith	Joe Sachs	Robert C. Bartlett	Susan D. Collins	L H. G. ed Greenwood
OL221083A	Barbara Kingsolver
OL221095A	Robert L. Heilbroner
OL22132A	Beverly Cleary
OL221465A	Nicholas Evans
OL2215266A	Kingsley Amis
OL22157A	Harriet Beecher Stowe
OL22157A	OL10736946A	OL14482752A	Harriet Beecher Stowe	Harriet Stowe	Queer Little Folks
OL22168A	Judith McNaught
OL222146A	Ian McEwan
OL2221549A	OL769479A	OL1070988A	OL2671281A	OL1549004A	OL2669747A	OL3262766A	OL2649955A	OL2627501A	OL1255187A	OL2948003A	Robert E. Eicholz	Phares G. O'Daffer	Randall I. Charles	Sharon L. Young	Carne S. Barnett	Stanley R. Clemens	Gloria F. Gilmer	Andy Reeves	Freddie L. Renfro	Mary M. Thompson	Carol A. Thornton
OL22242A	Фёдор Михайлович Достоевский
OL222507A	OL10273518A	Александр Исаевич Солженицын	Alexandr Solzhenitsyn
OL22258A	James Patterson
OL22258A	OL1372814A	James Patterson	Marshall Karp
OL22258A	OL228669A	James Patterson	Michael Ledwidge
OL22258A	OL2463959A	James Patterson	Liza Marklund
OL22258A	OL2631878A	James Patterson	Andrew Gross
OL22258A	OL2711179A	James Patterson	Peter De Jonge
OL22258A	OL3288848A	James Patterson	David Ellis
OL22258A	OL765158A	James Patterson	Maxine Paetro
OL22261A	Sandra Brown
OL22263A	Mary Balogh
OL223174A	Spencer Johnson
OL223258A	R. C. Hibbeler
OL22339A	OL7996335A	Sarah Dessen	Sarah Dessen
OL22342A	Ian Stewart
OL22358A	OL3144974A	OL14598741A	OL14480222A	Wilkie Collins	David Wharry	Vera Basor	Barak Tawfeek
OL22358A	OL397094A	OL15210372A	Wilkie Collins	Norman Page	Harry A. Webber
OL22358A	OL9385978A	Wilkie Collins	Amara Saldaña
OL22358A	Wilkie Collins
OL223621A	Katherine Miller
OL22374A	Alan Brinkley
OL223819A	B. R. Hergenhahn
OL22388A	Mary Ann Fraser
OL224314A	Charles W. L. Hill
OL224701A	OL2651482A	D. Brendan Nagle	Stanley M. Burstein
OL224907A	Daniel Goleman
OL2250A	OL4642526A	Teresa of Avila	E. Allison Peers
OL225243A	Antony Beevor
OL225331A	OL9465374A	Colleen McCullough	Colleen McCullough
OL22536A	Sharon M. Draper
OL22553A	John Kenneth Galbraith
OL225540A	Susan J. Jeffers
OL225751A	OL2749399A	David H. Barlow	V. Mark Durand
OL22583A	Willa Cather
OL2258501A	David Wild
OL22586A	Mary Higgins Clark
OL225984A	OL7316367A	OL2673205A	Joshua S. Goldstein	Jon C. Pevehouse	Jon C. Pevehouse
OL225992A	OL2854087A	OL7698800A	OL2854142A	OL10827513A	OL3829333A	OL11467681A	OL11548899A	OL10834436A	OL409020A	OL10894868A	OL12374007A	Ellen Gould Harmon White	E. G. White	Ellen G White	Ellen White	Ellen G. White	E.G. White	Ellen Gould Harmon White	White E.G	Ellen G. White	White, E. G.	Ellen G. WHITE	Pacific Press Publishing Associaton
OL226208A	Anne Fadiman
OL2266282A	OL2659335A	OL6815747A	Eleanor Atkinson	Aleanor Atkinson	Eleanor Atkins
OL227214A	OL3011892A	OL342981A	Don Hellriegel	Hellriegel	John W. Slocum
OL227751A	Diana Palmer
OL227821A	Earl R. Babbie
OL227944A	Robert L. Boylestad
OL228079A	Isabel Allende
OL228735A	Peter Guralnick
OL228969A	OL2821243A	Debbie Macomber	Linda Emond
OL228969A	OL7340929A	Debbie Macomber	Laural Merlington
OL229268A	Ken Follett
OL229268A	OL426697A	Ken Follett	John Lee
OL229268A	OL9959311A	Ken Follett	K. Follett
OL22954A	Laura E. Berk
OL229685A	Nick Hornby
OL229933A	OL540536A	Manuel G. Velasquez	Vincent E. Barry
OL229997A	Jeanette Winterson
OL23008A	Eusebius of Caesarea, Bishop of Caesarea
OL230320A	OL2799184A	OL888324A	James E. McClellan III	domenico E. III bertoloni meli	Harold Dorn
OL23033A	Dick King-Smith
OL23038A	John Fowles
OL230506A	Gary D. Schmidt
OL23082A	George MacDonald
OL230834A	Tom Wolfe
OL230972A	Rigoberta Menchú
OL23108A	Johanna Lindsey
OL23125A	James Gleick
OL23135A	Niccolò Machiavelli
OL23178A	Walt Whitman
OL23186A	William Makepeace Thackeray
OL232499A	C. S. Forester
OL232501A	Bernard Malamud
OL232548A	Julia Donaldson
OL232548A	OL2493250A	Julia Donaldson	Axel Scheffler
OL2327263A	OL2319091A	Walter Carruthers Sellar	Robert Julian Yeatman
OL232820A	George du Maurier
OL233064A	OL1656834A	Harm J. de Blij	Peter O. Muller
OL233264A	OL3477047A	Bruce Springsteen	Michael Morpurgo
OL23326A	H. Rider Haggard
OL2334668A	Michael Banner
OL233594A	Robert Jordan
OL233814A	Enid Blyton
OL234190A	Tony Buzan
OL23431A	L. Frank Baum
OL234426A	Jordan B. Peterson
OL23458A	OL451136A	OL390013A	OL7487499A	OL2777956A	John D. Ramage	John C. Bean	June Johnson	Ramage. Bean. Johnson	Pearson Custom Publishing
OL234664A	George R. R. Martin
OL23506A	Edward Eager
OL235478A	OL2816022A	Luo Guanzhong	C. H. Brewitt-Taylor
OL23573A	OL1430297A	OL2639597A	Thomas D. Fahey	Paul M. Insel	Walton T. Roth
OL236182A	Lloyd Alexander
OL2364638A	Priscilla Hardison
OL236786A	OL7863146A	Andrew S. Tanenbaum	Herbert Bos
OL23681A	William Dean Howells
OL23684A	Frederick Douglass
OL237114A	Gene Zion
OL237184A	OL766590A	OL22714A	OL9477073A	OL7139433A	Wayne C. Booth	Gregory G. Colomb	Joseph M. Williams	Joseph Bizup	William FitzGerald
OL23720A	Francis Bacon
OL237539A	Philip Williamson
OL23761A	Kenneth Grahame
OL23761A	OL464132A	Kenneth Grahame	Ernest H. Shepard
OL23767A	Frances Hodgson Burnett
OL23803A	Philip Caputo
OL238569A	OL2816596A	OL7150546A	OL2685748A	OL7172233A	OL7425740A	OL9292516A	Neil Alexander Campbell	Jane B. Reece	Lisa A. Urry	Michael L. Cain	Steven A. Wasserman	Peter V. Minorsky	Jackson
OL23860A	OL11598382A	OL12302635A	William A. Sabin	William A Sabin	William A. Sabin, Wilma K. Millar, Sharon L. Sine, G. Wendy Strashok
OL238887A	T. W. Graham Solomons
OL23919A	J. K. Rowling
OL239307A	Guy Gavriel Kay
OL239800A	Truman Capote
OL23986A	Helen L. Bee
OL240014A	OL382606A	Keith L. Moore	T. V. N. Persaud
OL24075A	OL2749427A	Dennis Coon	John O. Mitterer
OL240991A	Jhumpa Lahiri
OL2411015A	OL19677A	OL22242A	OL47908A	OL26783A	OL2627043A	OL10240A	OL11457232A	OL5176901A	OL12630461A	OL117A	OL57938A	OL340972A	OL2886663A	OL12210824A	Thomas Seltzer	Антон Павлович Чехов	Фёдор Михайлович Достоевский	Александр Сергеевич Пушкин	Лев Толстой	Николай Васильевич Гоголь	Ivan Sergeevich Turgenev	Seltzer, Thomas, Editor	Ignatiĭ Nikolaevich Potapenko	S.T. Somyonov	Максим Горький	Leonid Andreyev	M. Art͡sybashev	Aleksandr Ivanovich Kuprin	A. Pushkin
OL24136A	V. S. Naipaul
OL24137A	Ray Bradbury
OL2414180A	Friedrich Schiller
OL2417731A	Pearson
OL242220A	Robert T. Kiyosaki
OL242304A	OL2658784A	John Webster	Cyril Tourneur
