selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original	log_academic	log_reader	expected_log_academic	academic_reader_residual	residual_z	log_jstor	expected_log_jstor	jstor_reader_residual	jstor_residual_z
Heart of Darkness	Joseph Conrad	1899	Heart of Darkness	Conrad, Joseph	1899	/works/OL31971259W	1005	774	use_title_author	canonical_preserved	14	1	Q129778	author_variant_or_source_error		266	255	7	4	/works/OL31971259W	40.0	28.0	3.0	4.0	2.0	3.0	0.8378378378378378	842.027027027027	842.027027027027	/works/OL31971259W	315808	10150	RATINGS_MAX	315808		14	4	1099	1085	78.5	/works/OL31971259W|/works/OL8137762W|/works/OL29000391W|/works/OL38663W	14	1099	0	0	4	1099	1085	1099	1	0	title_fallback_reviewed	accepted	1	6.736999018018209	12.66289287944762	5.632456942795294	1.1045420752229154	1.0360050230972297	5.545177444479562	3.661930128843577	1.8832473156359852	1.5510880232549817
The Sun Also Rises	Ernest Hemingway	1926	The Sun Also Rises	Ernest Hemingway	1926	/works/OL62979W	416	297	use_title_author	canonical_preserved	162	1	Q501351			42	42	0	0	/works/OL62979W	40.0	21.0	4.0	9.0	3.0	3.0	0.6756756756756757	281.0810810810811	281.0810810810811	/works/OL62979W	308432	10069	YEAR_AUTH	308432		162	1	162	0	1.0	/works/OL62979W	162	162	0	0	1	162	0	162	1	0	api	accepted	1	5.642194551175828	12.639259918837855	5.620514866505604	0.02167968467022341	0.02033445598981151	3.7612001156935624	3.653541066508224	0.10765904918533842	0.08867059594347797
Maggie, a girl of the streets	Stephen Crane	1892	Maggie, a girl of the streets	Crane, Stephen	1893	/works/OL20839W	49	34	use_title_author	canonical_preserved	260	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		4	4	0	0	/works/OL20839W	40.0	26.0	3.0	8.0	1.0	2.0	0.7631578947368421	37.39473684210527	37.39473684210527	/works/OL20839W	6282	309	MANUAL_FIX	6282		260	2	261	1	1.0038461538461538	/works/OL20839W|/works/OL33165447W	260	261	1	2	3	263	3	263	1	1	api	accepted	1	3.6479203887964	8.745602852402946	3.6529937208881993	-0.005073332091799276	-0.00475853084173701	1.6094379124341003	2.2713980340642483	-0.6619601216301481	-0.5452063613780804
Tarzan of the Apes	Edgar Rice Burroughs	1917	Tarzan of the Apes	Edgar Rice Burroughs	1912	/works/OL1418251W	17	15	use_title_author	canonical_preserved	226	2	Q655296	year_discrepancy		1	1	0	0	/works/OL1418251W	17.0	11.0	1.0	4.0	1.0	0.0	0.7058823529411765	12.0	12.0	/works/OL1418251W	33024	2025	YEAR_AUTH	33024		226	2	245	19	1.084070796460177	/works/OL1418251W|/works/OL1418064W	226	245	1	13	3	258	32	258	2	2	api	accepted	2	2.5649493574615367	10.405020129390525	4.491521235296483	-1.9265718778349465	-1.8070277154376875	0.6931471805599453	2.860446321618126	-2.1672991410581806	-1.785039974620058
The Scarlet Pimpernel	Emma Orczy	1905	The Scarlet Pimpernel	Orczy, Emmuska Orczy	1900	/works/OL1253285W	8	3	use_title_author	canonical_preserved	591	5	Q1249536	author_variant_or_source_error; year_discrepancy	Emma Orczy and Emmuska Orczy are name variants; the two year fields are retained separately.	1	1	0	0	/works/OL1253285W	8.0	1.0	1.0	6.0	0.0	0.0	0.25	2.0	2.0	/works/OL1253285W	105194	5173	UNIQUE	105194		591	1	591	0	1.0	/works/OL1253285W	591	591	0	0	1	591	0	591	5	5	title_fallback_reviewed	accepted	5	1.0986122886681096	11.56357104963912	5.076953746421747	-3.9783414577536376	-3.7314845910210517	0.6931471805599453	3.2717005884504418	-2.5785534078904964	-2.1237589322948724
The Time Machine	H. G. Wells	1895	The Time Machine	H. G. Wells	1895	/works/OL52267W	233	193	use_with_warning_risky_author	observed_risky_author_last:wells|canonical_preserved	1146	2	Q627333	openalex:use_with_warning_risky_author		23	20	3	0	/works/OL52267W	40.0	22.0	1.0	7.0	8.0	2.0	0.6052631578947368	141.02631578947367	141.02631578947367	/works/OL52267W	311720	7629	YEAR_AUTH	311720		1146	2	1147	1	1.0008726003490402	/works/OL52267W|/works/OL32699938W	1146	1147	1	39	3	1186	40	1186	2	2	api	accepted	2	4.956012362892257	12.649863835959538	5.6258731789628404	-0.6698608160705835	-0.6282958212208233	3.044522437723423	3.657305170515403	-0.6127827327919801	-0.5047026748954181
Autobiography of Alice B Toklas	Gertrude Stein	1933	The Autobiography of Alice B. Toklas	Gertrude Stein	1933	/works/OL37277W	70	58	use_title_author	canonical_preserved	83	2	Q6618986	title_variant		6	6	0	0	/works/OL37277W	40.0	23.0	3.0	9.0	2.0	3.0	0.7027027027027027	49.18918918918919	49.18918918918919	/works/OL37277W	6663	522	UNIQUE	6663		83	1	83	0	1.0	/works/OL37277W	83	83	0	0	1	83	0	83	2	0	api	accepted	2	3.9157996487084814	8.804475183846678	3.6827427601669447	0.23305688854153672	0.2185956629562662	1.9459101490553132	2.292296120701136	-0.34638597164582285	-0.2852918613410758
Martin Eden	Jack London	1909	Martin Eden	Jack London	1908	/works/OL144822W	94	75	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	168	1	Q1317839	year_discrepancy; openalex:use_with_warning_short_title		10	10	0	0	/works/OL144822W	40.0	33.0	0.0	7.0	0.0	0.0	0.825	77.55	77.55	/works/OL144822W	15636	781	UNIQUE	15636	short_or_general_title	168	1	168	0	1.0	/works/OL144822W	168	168	0	0	1	168	0	168	1	1	api	accepted	1	4.36373536470163	9.65739517984351	4.113735551522401	0.2499998131792287	0.23448727580140316	2.3978952727983707	2.5950596691043715	-0.1971643963060008	-0.1623893639371835
The Story of an African Farm	Olive Schreiner	1883	The story of an African farm	Olive Schreiner	1883	/works/OL18561767W	74	74	use_title_author	canonical_preserved	7	2		wikidata_unresolved		8	8	0	0	/works/OL18561767W	40.0	33.0	2.0	4.0	1.0	0.0	0.875	64.75	64.75	/works/OL18561767W	1606	124	UNIQUE	1606		7	2	58	51	8.285714285714286	/works/OL18561767W|/works/OL890573W	7	58	0	0	2	58	51	58	2	2	api	accepted	2	4.185859671057874	7.382124365737512	2.9640083510068815	1.2218513200509924	1.146035206305147	2.1972245773362196	1.7874000193245005	0.409824558011719	0.3375414149219551
The Mystery of the Cloomber	Arthur Conan Doyle	1889	The Mystery of Cloomber	Doyle, Arthur Conan	1895	/works/OL262473W	1	1	use_title_author	canonical_preserved	215	2	Q4449924	title_variant; author_variant_or_source_error; year_discrepancy		0	0	0	0	/works/OL262473W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL262473W	377	43	UNIQUE	377		215	1	215	0	1.0	/works/OL262473W	215	215	0	0	1	215	0	215	2	2	api	accepted	2	0.6931471805599453	5.934894195619588	2.232702045983552	-1.5395548654236064	-1.4440251844555043	0.0	1.273672420349616	-1.273672420349616	-1.049027400889886
Return Of The Soldier	Nathaniel West	1918	The Return of the Soldier	Rebecca West	1918	/works/OL27834207W	40	31	use_with_warning_risky_author	observed_risky_author_last:west|canonical_preserved	95	3	Q7760466	title_variant; author_variant_or_source_error; openalex:use_with_warning_risky_author	The source list records Nathaniel West; the matched work is Rebecca West's The Return of the Soldier.	9	9	0	0	/works/OL27834207W	40.0	28.0	1.0	5.0	2.0	4.0	0.8055555555555556	32.22222222222222	32.22222222222222	/works/OL27834207W	3659	371	UNIQUE	3659		95	1	95	0	1.0	/works/OL27834207W	95	95	0	0	1	95	0	95	3	3	api	accepted	3	3.503218996054467	8.205218426395412	3.3799296665066336	0.12328932954783323	0.11563920249943142	2.302585092994046	2.0795761667287636	0.22300892626528235	0.183675543693643
Gone to Earth	Mary Webb	1917	Gone to Earth	Mary Gladys Meredith Webb	1917	/works/OL4390503W	8	6	use_title_author	canonical_preserved	15	1	Q109284453	author_variant_or_source_error		4	2	2	0	/works/OL4390503W	8.0	4.0	1.0	2.0	1.0	0.0	0.625	5.0	5.0	/works/OL4390503W	346	50	YEAR_AUTH	346		15	1	15	0	1.0	/works/OL4390503W	15	15	1	72	2	87	72	87	1	0	api	accepted	1	1.791759469228055	5.849324779946859	2.1894625845000135	-0.39770311527195856	-0.3730255590671026	1.0986122886681096	1.2432975903005348	-0.1446853016324252	-0.1191663126981814
The Red Badge of Courage	Stephen Crane	1895	The red badge of courage	Crane, Stephen	1900	/works/OL42517032W	153	108	use_title_author	canonical_preserved	1	1	Q1219239	author_variant_or_source_error; year_discrepancy		45	45	0	0	/works/OL42517032W	40.0	27.0	2.0	5.0	3.0	3.0	0.7837837837837838	119.91891891891892	119.91891891891892	/works/OL42517032W	76073	2918	RATINGS_MAX	76073		1	3	18	17	18.0	/works/OL42517032W|/works/OL42504106W|/works/OL42430849W	1	18	1	1	4	19	18	19	1	1	api	accepted	1	4.795120229405851	11.239461829756003	4.913176677016537	-0.11805644761068645	-0.11073102191150345	3.828641396489095	3.156650574448446	0.671990822040649	0.5534678887634699
Howard's End	E. M. Forster	1910	Howards End	E. M. Forster	1910	/works/OL88881W	182	135	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	467	2	Q1146642	title_variant; openalex:use_with_warning_short_title		30	30	0	0	/works/OL88881W	40.0	27.0	6.0	3.0	1.0	3.0	0.8918918918918919	162.32432432432432	162.32432432432432	/works/OL88881W	60000	2014	UNIQUE	60000	short_or_general_title	467	0	0	-467	0.0		467	0	1	8	3	481	14	481	2	1	api	accepted	2	5.095737943717334	11.002116507732017	4.793242658193678	0.3024952855236567	0.28372539380402717	3.4339872044851463	3.0723993993908065	0.36158780509433974	0.29781245892682084
A Portrait of the Artist as a Young Man	James Joyce	1916	A portrait of the artist as a young man	Joyce, James	1921	/works/OL38989822W	509	384	use_title_author	canonical_preserved	3	14	Q465360	author_variant_or_source_error; year_discrepancy		67	67	0	0	/works/OL38989822W	40.0	24.0	1.0	12.0	2.0	1.0	0.6410256410256411	326.2820512820513	326.2820512820513	/works/OL38989822W	104979	4047	YEAR_AUTH	104979		3	2	5	2	1.6666666666666667	/works/OL38989822W|/works/OL33122325W	3	5	0	0	2	5	2	5	14	9	title_fallback_reviewed	accepted	14	5.790822341268488	11.56152513480629	5.075919916110797	0.7149024251576908	0.6705425896413089	4.219507705176107	3.270974343975665	0.9485333612004418	0.7812350103995466
Jude the Obscure	Thomas Hardy	1895	Jude the obscure	Hardy, Thomas	1895	/works/OL39453744W	343	273	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	1	17	Q1248773	author_variant_or_source_error; openalex:use_with_warning_risky_author		69	68	1	0	/works/OL39453744W	40.0	30.0	1.0	4.0	1.0	4.0	0.8611111111111112	295.36111111111114	295.36111111111114	/works/OL39453744W	51099	2372	UNIQUE	51099		1	5	435	434	435.0	/works/OL40623217W|/works/OL39453744W|/works/OL40732923W|/works/OL41547386W|/works/OL44986W	1	435	0	0	5	435	434	435	17	16	title_fallback_reviewed	accepted	17	5.6915786807353514	10.841539776191796	4.712100916789936	0.9794777639454155	0.9187009768321417	4.23410650459726	3.015398999282598	1.2187075053146619	1.0037569678978433
Secret Agent	Joseph Conrad	1907	The Secret Agent	Conrad, Joseph	1907	/works/OL39108W	285	225	use_title_author	canonical_preserved	335	1	Q1247666	title_variant; author_variant_or_source_error		132	129	2	1	/works/OL39108W	40.0	30.0	0.0	4.0	2.0	4.0	0.8333333333333334	237.5	237.5	/works/OL39108W	14686	976	YEAR_AUTH	14686		335	3	338	3	1.008955223880597	/works/OL43462425W|/works/OL39108W|/works/OL43882972W	335	338	0	0	3	338	3	338	1	0	api	accepted	1	5.474369310328396	9.594718027753862	4.082063881424251	1.3923054289041454	1.305912604315349	4.867534450455582	2.5728109739635183	2.294723476492064	1.8899897382128321
Tess of the D'Urbervilles	Thomas Hardy	1891	Tess of the D'Urbervilles	Thomas Hardy	1891	/works/OL40434746W	504	369	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	9	39	Q649409	openalex:use_with_warning_risky_author		65	63	2	0	/works/OL40434746W	40.0	34.0	0.0	4.0	0.0	2.0	0.8947368421052632	450.9473684210527	450.9473684210527	/works/OL40434746W	194972	6886	UNIQUE	194972		9	2	10	1	1.1111111111111112	/works/OL40434746W|/works/OL43906748W	9	10	0	0	2	10	1	10	39	34	title_fallback_reviewed	accepted	39	6.1135657315060445	12.180616366420738	5.388755656003791	0.724810075502254	0.6798354683412777	4.1588830833596715	3.4907350002490065	0.668148083110665	0.5503029160690678
Ulysses	James Joyce	1922	Ulysses	James Joyce	1922	/works/OL35695219W	2194	1574	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	71	3	Q6511	openalex:use_with_warning_short_title		827	710	64	53	/works/OL35695219W	40.0	22.0	5.0	9.0	2.0	2.0	0.7105263157894737	1558.8947368421052	1558.8947368421052	/works/OL35695219W	88298	5202	RATINGS_MAX	88298	short_or_general_title|known_jstor_ambiguous_title	71	3	684	613	9.633802816901408	/works/OL35695219W|/works/OL38767940W|/works/OL86318W	71	684	0	0	3	684	613	684	3	1	title_fallback_reviewed	accepted	3	7.352373621583683	11.38848406149961	4.988479762809634	2.3638938587740492	2.21721378179673	6.566672429803241	3.2095494393893866	3.357122990413854	2.765007665106573
Dubliners	James Joyce	1914	Dubliners	Joyce, James	1914	/works/OL86320W	689	544	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	996	7	Q459592	author_variant_or_source_error; openalex:use_with_warning_short_title		94	94	0	0	/works/OL86320W	40.0	30.0	2.0	7.0	1.0	0.0	0.8	551.2	551.2	/works/OL86320W	93509	4222	UNIQUE	93509	short_or_general_title	996	1	996	0	1.0	/works/OL86320W	996	996	0	0	1	996	0	996	7	6	title_fallback_reviewed	accepted	7	6.3139102994960545	11.445823661429493	5.017454290719608	1.2964560087764463	1.216010659481593	4.553876891600541	3.22990344776095	1.323973443839591	1.0904565400395791
The Rise of David Levinsky	Abraham Cahan	1917	The rise of David Levinsky	Abraham Cahan	1917	/works/OL14864528W	24	19	use_title_author	canonical_preserved	20	2		wikidata_unresolved		7	7	0	0	/works/OL14864528W	24.0	11.0	2.0	6.0	4.0	1.0	0.5652173913043478	13.565217391304348	13.565217391304348	/works/OL14864528W	448	45	UNIQUE	448		20	1	20	0	1.0	/works/OL14864528W	20	20	0	0	1	20	0	20	2	2	api	accepted	2	2.6786363158959166	6.1070228877422545	2.3196811598963505	0.35895515599956607	0.3366819182575264	2.0794415416798357	1.3347734542726855	0.7446680874071503	0.6133266417466567
The Prisoner of Zenda	Anthony Hope	1894	The Prisoner of Zenda	Anthony Hope	1939	/works/OL245401W	14	12	use_with_warning_risky_author	observed_risky_author_last:hope|canonical_preserved	627	19		year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		2	1	1	0	/works/OL245401W	14.0	5.0	1.0	8.0	0.0	0.0	0.4285714285714285	6.0	6.0	/works/OL245401W	15006	724	MANUAL_FIX	15006		627	1	627	0	1.0	/works/OL245401W	627	627	0	0	1	627	0	627	15	15	corrected_metadata_retry	accepted_after_identity_correction	19	1.9459101490553132	9.616272037895989	4.092955434019641	-2.147045284964327	-2.0138207044682788	0.6931471805599453	2.580462065066527	-1.8873148845065817	-1.5544381713245223
The Odd Women	George Gissing	1893	The odd women	George Gissing	1893	/works/OL715621W	35	26	use_title_author	canonical_preserved	36	1		wikidata_unresolved		7	7	0	0	/works/OL715621W	35.0	23.0	2.0	4.0	4.0	2.0	0.7575757575757576	26.51515151515152	26.51515151515152	/works/OL715621W	3411	199	UNIQUE	3411		36	1	36	0	1.0	/works/OL715621W	36	36	0	0	1	36	0	36	1	0	api	accepted	1	3.314736817134813	8.13505390861157	3.344474522394993	-0.029737705260179936	-0.02789247482375326	2.0794415416798357	2.054669659112641	0.02477188256719476	0.020402721429330382
Alexander's Bridge	Willa Cather	1912	Alexander's Bridge	Willa Cather	1912	/works/OL12781W	32	29	use_title_author	canonical_preserved	229	2	Q4718102			4	4	0	0	/works/OL12781W	32.0	16.0	1.0	12.0	1.0	2.0	0.5666666666666667	18.133333333333333	18.133333333333333	/works/OL12781W	976	138	UNIQUE	976	short_or_general_title	229	1	229	0	1.0	/works/OL12781W	229	229	0	0	1	229	0	229	2	2	api	accepted	2	2.951432014657411	6.884486652042782	2.7125448276803215	0.23888718697708944	0.2240641902318519	1.6094379124341003	1.6107520796295223	-0.0013141671954219891	-0.0010823798767421436
Jacob's Room	Virginia Woolf	1922	Jacob's Room	Virginia Woolf	1922	/works/OL39329W	160	125	use_title_author	canonical_preserved	309	1	Q1677745			19	19	0	0	/works/OL39329W	40.0	28.0	1.0	4.0	2.0	5.0	0.8285714285714286	132.57142857142858	132.57142857142858	/works/OL39329W	6378	472	UNIQUE	6378	short_or_general_title	309	1	309	0	1.0	/works/OL39329W	309	309	0	0	1	309	0	309	1	1	api	accepted	1	4.894636380233374	8.760766624241956	3.6606561937848907	1.2339801864484832	1.1574114741668668	2.995732273553991	2.2767807632659363	0.7189515102880546	0.5921458470430828
Ethan Frome	Edith Wharton	1911	Ethan Frome	Edith Wharton	1910	/works/OL98501W	83	55	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1000	12	Q5402934	year_discrepancy; openalex:use_with_warning_short_title		14	14	0	0	/works/OL98501W	40.0	22.0	3.0	9.0	3.0	3.0	0.6756756756756757	56.08108108108108	56.08108108108108	/works/OL98501W	84941	4293	YEAR_AUTH	84941	short_or_general_title	1000	1	1000	0	1.0	/works/OL98501W	1000	1000	1	2	2	1002	2	1002	12	10	title_fallback_reviewed	accepted	12	4.044472732181927	11.349723949622552	4.968893718526994	-0.9244209863450665	-0.8670604830664359	2.70805020110221	3.195790647165634	-0.48774044606342404	-0.4017148242107192
Treasure Island	Robert Louis Stevenson	1882	Treasure Island	Robert Louis Stevenson	1880	/works/OL24034W	155	111	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1988	2	Q185118	year_discrepancy; openalex:use_with_warning_short_title		18	16	2	0	/works/OL24034W	40.0	20.0	6.0	6.0	6.0	2.0	0.6842105263157895	106.05263157894736	106.05263157894736	/works/OL24034W	318348	8178	RATINGS_MAX	318348	short_or_general_title	1988	7	2012	24	1.012072434607646	/works/OL24034W|/works/OL29223843W|/works/OL42471516W|/works/OL33137271W|/works/OL44771924W|/works/OL42692984W|/works/OL39458064W	1988	2012	3	17	10	2029	41	2029	2	2	api	accepted	2	4.673320597442065	12.670903544243442	5.63650484740202	-0.963184249959955	-0.9034184785810584	2.833213344056216	3.664773698357758	-0.831560354301542	-0.6848932136856428
The Turn of the Screw	Henry James	1898	Turn of the Screw	Henry James	1898	/works/OL40252771W	280	214	use_title_author	canonical_preserved	8	1		title_variant; wikidata_unresolved		67	67	0	0	/works/OL40252771W	40.0	29.0	1.0	9.0	1.0	0.0	0.75	210.0	210.0	/works/OL40252771W	68334	4634	RATINGS_MAX	68334		8	3	577	569	72.125	/works/OL40252771W|/works/OL276386W|/works/OL41530014W	8	577	2	35	5	612	604	612	1	0	title_fallback_reviewed	accepted	1	5.351858133476067	11.1321773593989	4.858964284804699	0.49289384867136743	0.46230968881308265	4.219507705176107	3.1185674868360898	1.1009402183400172	0.9067609829090552
