target_name	qid	wikidata_label	label_en	label_mul	description_en	description_mul	matched_name	matched_source	aliases_en	aliases_mul	P106_occupation_qids	P569_birth	P570_death	P742_pseudonym	P1477_birth_name	enwiki_title	jawiki_title	source_snapshot
Dave Wolverton	Q1173398	Dave Wolverton	Dave Wolverton	Dave Wolverton	American speculative fiction writer (1957-2022)		Dave Wolverton	label_en	David Farland | John David Wolverton | David Wolverton		Q6625963|Q36180|Q18844224|Q1607826	+1957-05-15T00:00:00Z|+1957-05-28T00:00:00Z	+2022-01-14T00:00:00Z	David Farland		Dave Wolverton		2026-08-05
David Farland	Q1173398	Dave Wolverton	Dave Wolverton	Dave Wolverton	American speculative fiction writer (1957-2022)		David Farland	alias_en	David Farland | John David Wolverton | David Wolverton		Q6625963|Q36180|Q18844224|Q1607826	+1957-05-15T00:00:00Z|+1957-05-28T00:00:00Z	+2022-01-14T00:00:00Z	David Farland		Dave Wolverton		2026-08-05
Donna Jo Napoli	Q1241759	Donna Jo Napoli	Donna Jo Napoli	Donna Jo Napoli	American children's writer and linguist		Donna Jo Napoli	label_en			Q14467526|Q36180|Q1622272|Q4853732|Q6625963|Q106368265|Q11892507|Q13418253	+1948-02-28T00:00:00Z				Donna Jo Napoli		2026-08-05
Eric Mayer	Q1264164	Eric Mayer	Eric Mayer	Eric Mayer	German television presenter and radio host		Eric Mayer	label_en			Q947873|Q2722764|Q13590141|Q1930187	+1980-08-22T00:00:00Z						2026-08-05
Graeme   Smith	Q1427233	Graeme Smith	Graeme Smith		South African cricketer		Graeme Smith	label_en	Graeme Craig Smith		Q12299841	+1981-02-01T00:00:00Z				Graeme Smith	グレアム・スミス	2026-08-05
Linda Aronson	Q1524666	Linda Aronson	Linda Aronson	Linda Aronson	British screenwriter		Linda Aronson	label_en			Q28389|Q36180	+1950-03-20T00:00:00Z				Linda Aronson		2026-08-05
James J. Kilpatrick	Q1680621	James J. Kilpatrick	James J. Kilpatrick		American journalist, writer (1920-2010)		James J. Kilpatrick	label_en	James Jackson Kilpatrick		Q1607826|Q1930187|Q14467526|Q36180	+1920-11-01T00:00:00Z	+2010-08-15T00:00:00Z			James J. Kilpatrick		2026-08-05
Janette Oke	Q1682677	Janette Oke	Janette Oke		Canadian writer		Janette Oke	label_en			Q36180|Q6625963|Q4853732	+1935-02-18T00:00:00Z				Janette Oke		2026-08-05
Molly Lefebure	Q1756899	Molly Lefebure	Molly Lefebure		British writer (1919–2013)		Molly Lefebure	label_en	Molly Gerrish		Q36180|Q864380|Q1930187	+1919-10-06T00:00:00Z	+2013-02-27T00:00:00Z			Molly Lefebure		2026-08-05
Michael Scott	Q1849355	Mike Scott	Mike Scott		songwriter, musician		Michael Scott	alias_en	Michael Scott		Q639669|Q177220|Q486748|Q855091|Q753110|Q36834	+1958-12-14T00:00:00Z				Mike Scott (Scottish musician)		2026-08-05
Mark Young	Q1899909	Mark Aitchison Young	Mark Aitchison Young	Mark Aitchison Young	British High Commissioner (1886-1974)		Mark Young	alias_en	Mark Young | Sir Mark Aitchison Young		Q82955|Q47064|Q17765219	+1886-06-30T00:00:00Z	+1974-05-12T00:00:00Z			Mark Aitchison Young	マーク・ヤング	2026-08-05
Michael Scott	Q1929336	Michael Scott	Michael Scott		Irish architect (1905–1989)		Michael Scott	label_en			Q33999|Q42973	+1905-06-24T00:00:00Z	+1989-01-24T00:00:00Z			Michael Scott (architect)		2026-08-05
Kit Whitfield	Q2010010	Kit Whitfield	Kit Whitfield	Kit Whitfield	English novelist		Kit Whitfield	label_en			Q36180|Q6625963							2026-08-05
Pat Booth	Q2151977	Pat Booth	Pat Booth	Pat Booth	English novelist, model, photographer and philanthropist (1943–2009)		Pat Booth	label_en	Pat Lady Lowe		Q33231|Q4610556|Q6625963|Q36180	+1943-04-24T00:00:00Z	+2009-05-11T00:00:00Z			Pat Booth		2026-08-05
Charles Spencer	Q2544868	Charles Spencer, 6th Earl Spencer	Charles Spencer, 6th Earl Spencer		British politician (1857–1922)		Charles Spencer	alias_en	Charles Spencer | Charles Robert Spencer		Q82955	+1857-10-30T00:00:00Z	+1922-09-26T00:00:00Z			Charles Spencer, 6th Earl Spencer	チャールズ・スペンサー (第6代スペンサー伯爵)	2026-08-05
R.M. Ballantyne	Q2579425	Robert Michael Ballantyne	Robert Michael Ballantyne	Robert Michael Ballantyne	Scottish author of juvenile fiction (1825-1894)		R. M. Ballantyne	alias_en	R. M. Ballantyne | Comus | Robert Michael Ballentyne	R. M. Ballantyne	Q36180|Q1028181|Q4853732|Q43845|Q6625963|Q3579035|Q62083492	+1825-04-24T00:00:00Z|+1825-01-01T00:00:00Z	+1894-02-08T00:00:00Z|+1894-01-01T00:00:00Z	Comus		R. M. Ballantyne	ロバート・マイケル・バランタイン	2026-08-05
Billy Graham	Q2903646	Billy Graham	Billy Graham		American boxer		Billy Graham	label_en			Q11338576	+1922-09-09T00:00:00Z	+1992-01-22T00:00:00Z			Billy Graham (American boxer)		2026-08-05
Jonathan Aycliffe	Q2915985	Denis MacEoin	Denis MacEoin	Denis MacEoin	British academic, scholar and writer (1949–2022)		Jonathan Aycliffe	alias_en	Denis M. MacEoin | Daniel Easterman | Jonathan Aycliffe | Denis Martin MacEoin	Daniel Easterman	Q36180|Q6625963|Q4263842|Q1930187|Q1731155	+1949-01-26T00:00:00Z|+1949-01-01T00:00:00Z	+2022-06-06T00:00:00Z	Daniel Easterman | Jonathan Aycliffe		Denis MacEoin		2026-08-05
John Rutherford	Q3182404	John D. Rutherford	John D. Rutherford	John Rutherford	British writer		John Rutherford	label_mul	John Rutherford		Q14467526|Q4263842|Q333634|Q36180|Q1622272|Q2505739	+1941-01-01T00:00:00Z|+1941-08-08T00:00:00Z				John D. Rutherford		2026-08-05
Russell Scott	Q3246786	Russell Scott	Russell Scott		American clown (1921–2012)		Russell Scott	label_en			Q7358	+1921-06-30T00:00:00Z	+2012-08-27T00:00:00Z			Russell Scott		2026-08-05
Roger O. Hirson	Q3439329	Roger O. Hirson	Roger O. Hirson	Roger O. Hirson	American writer (1926–2019)		Roger O. Hirson	label_en	Roger Overholt Hirson		Q28389|Q214917|Q8178443	+1926-05-05T00:00:00Z	+2019-05-27T00:00:00Z			Roger O. Hirson		2026-08-05
Sue Miller	Q3502960	Sue Miller	Sue Miller		American novelist		Sue Miller	label_en			Q6625963|Q28389|Q36180|Q201788|Q462390	+1943-11-29T00:00:00Z				Sue Miller		2026-08-05
Candace Robb	Q3655166	Candace Robb	Candace Robb	Candace Robb	American writer of historical fiction		Candace Robb	label_en			Q10297252|Q6625963|Q36180|Q482980	+1950-09-00T00:00:00Z				Candace Robb		2026-08-05
Robert Munsch	Q4280820	Robert N. Munsch	Robert N. Munsch		Canadian children's writer (born U.S.)		Robert Munsch	alias_en	Robert Patrick Munsch | Robert Norman Munsch | Robert Munsch | Robert N Munsch		Q36180|Q4853732	+1945-06-11T00:00:00Z				Robert Munsch		2026-08-05
Anonymous	Q4568516	Keith Fullerton Whitman	Keith Fullerton Whitman		American electronic musician		Anonymous	alias_en	KFW | Hrvatski | ASCIII | Anonymous | DJ Marzipan | DJ Zapruderfilm | Russolo | The Superlatives | Kokoskulur | Fullerton | MC Snudur | Mouly/Hubley/Leroux | Sick | Asciii | Pieter Christophssen | MC Snûdur | Nasturtium | Fritz Dietl | Bondo Smed-Vagn | DJ ZapruderFilm | DJ Hekla		Q639669	+1973-05-29T00:00:00Z		Hrvatski | ASCIII | Anonymous | DJ Marzipan | DJ Zapruderfilm | Russolo | The Superlatives | Kokoskulur | Fullerton | MC Snudur | Mouly/Hubley/Leroux | Sick		Keith Fullerton Whitman		2026-08-05
Alexis  Hall	Q4721457	Alexis Hall	Alexis Hall		British actress		Alexis Hall	label_en			Q33999|Q4610556	+1980-01-23T00:00:00Z				Alexis Hall (actress)		2026-08-05
Anthony Roberts	Q4773367	Anthony Roberts	Anthony Roberts		Australian politician		Anthony Roberts	label_en	Anthony John Roberts		Q82955	+1970-04-17T00:00:00Z				Anthony Roberts		2026-08-05
Arturo Vivante	Q4801815	Arturo Vivante	Arturo Vivante		Italian writer		Arturo Vivante	label_en			Q36180	+1923-10-17T00:00:00Z	+2008-04-01T00:00:00Z			Arturo Vivante		2026-08-05
Brian Fox	Q4963781	Brian Fox	Brian Fox		American artist		Brian Fox	label_en			Q1028181					Brian Fox (artist)		2026-08-05
Craig Johnson	Q5181102	Craig Johnson	Craig Johnson		Canadian professional ice hockey player		Craig Johnson	label_en			Q11774891	+1971-11-16T00:00:00Z						2026-08-05
Cyrus Hamlin	Q5201098	Cyrus Hamlin	Cyrus Hamlin		Union Army general (1839-1867)		Cyrus Hamlin	label_en			Q189290	+1839-04-26T00:00:00Z	+1867-08-28T00:00:00Z			Cyrus Hamlin (general)		2026-08-05
David Drake	Q5228687	Dave Drake	Dave Drake		American football coach		David Drake	alias_en	David Drake		Q42331263	+1918-07-09T00:00:00Z	+1995-08-09T00:00:00Z			Dave Drake		2026-08-05
David Drake	Q5230190	David Drake	David Drake		African American artist (1800–1879)		David Drake	label_en	Dave Drake | Dave the Potter | Dave the Slave		Q7541856|Q3400050|Q49757	+1800-00-00T00:00:00Z	+1879-00-00T00:00:00Z			David Drake (potter)		2026-08-05
David Drake	Q5233064	David Drake	David Drake		American chef		David Drake	label_en			Q3499072	+1959-07-26T00:00:00Z				David Drake (chef)		2026-08-05
David Thomas	Q5235681	David John Thomas	David John Thomas		Welsh rugby union player (1879-1925)		David Thomas	alias_en	David Thomas		Q14089670	+1879-03-15T00:00:00Z	+1925-10-19T00:00:00Z			David John Thomas		2026-08-05
David Mitchell	Q5237618	David Mitchell	David Mitchell		Scottish professional football player (1866-1948)		David Mitchell	label_en			Q937857	+1866-04-29T00:00:00Z	+1948-12-06T00:00:00Z			David Mitchell (footballer, born 1866)		2026-08-05
David Mitchell	Q5237625	David Mitchell	David Mitchell	David Mitchell	English former footballer, born 1945		David Mitchell	label_en	"David John ""Dave"" Mitchell | David John Mitchell"		Q937857	+1945-08-24T00:00:00Z	+2020-00-00T00:00:00Z			David Mitchell (footballer, born 1945)		2026-08-05
David Scott Milton	Q5239598	David Scott Milton	David Scott Milton		American author, playwright, screenwriter and actor (1934-2020)		David Scott Milton	label_en			Q36180|Q28389|Q33999|Q214917	+1934-09-15T00:00:00Z	+2020-01-13T00:00:00Z			David Scott Milton		2026-08-05
David Thomas	Q5240345	David Thomas	David Thomas		beach volleyball player from Trinidad and Tobago, born 1974		David Thomas	label_en			Q15117302	+1974-06-18T00:00:00Z				David Thomas (beach volleyball)		2026-08-05
David Thomas	Q5240349	David Thomas	David Thomas		English cricketer with Surrey, born 1959		David Thomas	label_en	David James Thomas		Q12299841	+1959-06-30T00:00:00Z	+2012-07-28T00:00:00Z			David Thomas (cricketer, born 1959)		2026-08-05
David Thomas	Q5240355	David Thomas	David Thomas		Welsh clergyman and missionary, born 1829		David Thomas	label_en	David Walter Thomas		Q219477	+1829-10-26T00:00:00Z	+1905-12-27T00:00:00Z			David Thomas (missionary priest)		2026-08-05
Deborah Abela	Q5248157	Deborah Abela	Deborah Abela	Deborah Abela	writer		Deborah Abela	label_en			Q36180|Q4853732|Q482980	+1966-10-13T00:00:00Z				Deborah Abela		2026-08-05
Donald Stuart	Q5295199	Donald Stuart	Donald Stuart		Presbyterian minister, educationalist (1819–1894)		Donald Stuart	label_en	Donald McNaughton Stuart		Q2259532	+1819-00-00T00:00:00Z	+1894-05-12T00:00:00Z			Donald Stuart (minister)		2026-08-05
Thomas Chastain	Q5697468	Thomas Chastain	Thomas Chastain		American writer (1921–1994)		Thomas Chastain	label_en			Q6625963|Q28389	+1921-01-17T00:00:00Z	+1994-09-01T00:00:00Z			Thomas Chastain		2026-08-05
Jose Tomas	Q5945783	José Tomás	José Tomás		Spanish sculptor (1795-1848)		Jose Tomas	alias_en	Jose Tomas | José de Tomás | José Jerónimo Tomás y Geneves		Q1281618	+1793-02-13T00:00:00Z	+1848-11-23T00:00:00Z					2026-08-05
Jack  Flanagan	Q6112516	Jack Flanagan	Jack Flanagan		English footballer (1902-1989)		Jack Flanagan	label_en			Q937857	+1902-02-03T00:00:00Z	+1989-05-04T00:00:00Z			Jack Flanagan (footballer)		2026-08-05
James      Conway	Q6131664	James Conway	James Conway		hurler		James Conway	label_en			Q18199024					James Conway (hurler)		2026-08-05
James Fleming	Q6133976	James Fleming	James Fleming		Irish-born farmer, businessman and political figure in Nova Scotia, Canada (1741 - 1839)		James Fleming	label_en			Q82955	+1741-01-01T00:00:00Z	+1839-12-31T00:00:00Z			James Fleming (Nova Scotia politician)		2026-08-05
James White	Q6145409	James White	James White	James White	English politician (1809–1883)		James White	label_en			Q82955	+1809-04-10T00:00:00Z	+1883-01-09T00:00:00Z			James White (English politician)		2026-08-05
James White	Q6145422	James White	James White		Irish art expert and author (1913-2003)		James White	label_en			Q482980|Q4164507|Q1792450	+1913-09-16T00:00:00Z	+2003-06-02T00:00:00Z			James White (art expert)		2026-08-05
James White	Q6145429	James White	James White		American football player, born 1992		James White	label_en	James Calvin White		Q19204627	+1992-02-03T00:00:00Z				James White (running back)		2026-08-05
James White	Q6198894	Jim White	Jim White		American collegiate basketball player at St. John's University		James White	alias_en	James White		Q3665646	+1920-00-00T00:00:00Z				Jim White (basketball)		2026-08-05
James White	Q6198900	Jim White	Jim White		American professional wrestler (1942-2010)		James White	alias_en	James White		Q13474373	+1942-07-11T00:00:00Z	+2010-01-07T00:00:00Z			Jim White (wrestler)		2026-08-05
John Bigelow	Q6221855	John Bigelow, Jr.	John Bigelow, Jr.		Indian Wars, Cuban-American War Silver Star recipient		John Bigelow	alias_en	John Bigelow | Col. John Bigelow		Q1622272|Q36180|Q47064	+1854-05-12T00:00:00Z	+1936-02-29T00:00:00Z|+1936-03-01T00:00:00Z			John Bigelow Jr.		2026-08-05
John  Blackburn	Q6222083	John Blackburn	John Blackburn		American lyricist (1913-2006)		John Blackburn	label_en	John M. Blackburn		Q822146|Q753110|Q33999|Q8178443	+1913-10-19T00:00:00Z	+2006-11-15T00:00:00Z			John Blackburn (songwriter)		2026-08-05
John Gray	Q6230751	John E. Gray	John E. Gray		American University president (1907-2002)		John Gray	alias_en	John Gray | John Ellis Gray			+1907-03-03T00:00:00Z	+2002-03-20T00:00:00Z			John E. Gray		2026-08-05
John Gray	Q6233998	John Franklin Gray	John Franklin Gray		American physician		John Gray	alias_en	John Gray		Q12020057	+1804-09-23T00:00:00Z	+1881-06-05T00:00:00Z			John Franklin Gray		2026-08-05
John Gray	Q6236074	John Gray	John Gray		North Dakota public servant and politician (1877-1952)		John Gray	label_en	John A. Gray		Q82955	+1877-08-05T00:00:00Z	+1952-07-17T00:00:00Z			John Gray (North Dakota politician)		2026-08-05
John Gray	Q6236096	John Gray	John Gray		Canadian banker, JP and militia officer		John Gray	label_en			Q806798|Q140686	+1755-00-00T00:00:00Z	+1829-09-13T00:00:00Z			John Gray (Canadian banker)		2026-08-05
John Gray	Q6236101	John Gray	John Gray		Filipino boxer (1906-1964)		John Gray	label_en	John Henry Gray		Q11338576	+1906-04-24T00:00:00Z	+1964-01-24T00:00:00Z			John Gray (boxer)		2026-08-05
John Gray	Q6236106	John Gray	John Gray		early steam locomotive engineer		John Gray	label_en			Q81096					John Gray (locomotive engineer)		2026-08-05
John Bigelow	Q6251506	John P. Bigelow	John P. Bigelow		American politician		John Bigelow	alias_en	John Bigelow | J. P. Bigelow | John Prescott Bigelow		Q82955	+1797-08-25T00:00:00Z	+1872-07-04T00:00:00Z			John P. Bigelow		2026-08-05
John Rutherford	Q6256039	John Rutherford	John Rutherford		English cricketer (1890-1943)		John Rutherford	label_en	John Seymour Rutherford		Q12299841	+1890-02-27T00:00:00Z	+1943-04-14T00:00:00Z			John Rutherford (Hampshire cricketer)		2026-08-05
Katharine Davies	Q6376174	Katharine Davies	Katharine Davies		British writer		Katharine Davies	label_en			Q6625963	+1968-01-01T00:00:00Z		Katharine Davies		Katharine Davies		2026-08-05
Michael Scott	Q6832040	Michael L. Scott	Michael L. Scott		American computer scientist		Michael Scott	alias_en	Michael Lee Scott | Michael Scott		Q82594	+1959-01-01T00:00:00Z				Michael L. Scott		2026-08-05
Michael Scott	Q6834242	Michael Scott	Michael Scott		Anglican priest (20th century)		Michael Scott	label_en	Guthrie Michael Scott		Q16323111|Q3409375|Q134284649|Q2259532	+1907-07-30T00:00:00Z	+1983-09-14T00:00:00Z			Michael Scott (priest)		2026-08-05
Michael  Stewart	Q6834628	Michael Stewart	Michael Stewart		boxer		Michael Stewart	label_en			Q11338576	+1977-12-20T00:00:00Z				Michael Stewart (boxer)		2026-08-05
Michael  Stewart	Q6834631	Michael Stewart	Michael Stewart		American playwright (1924-1987)		Michael Stewart	label_en	Mike Stewart		Q8178443|Q28389|Q822146|Q753110	+1924-08-01T00:00:00Z|+1929-01-01T00:00:00Z	+1987-09-20T00:00:00Z|+1987-01-01T00:00:00Z			Michael Stewart (playwright)		2026-08-05
Claire Lorrimer	Q7145810	Patricia Robins	Patricia Robins		British novelist and WAAF officer (1921-2016)		Claire Lorrimer	alias_en	Claire Lorrimer | Susan Patrick | Patricia Denise Robins | Patricia Denise Robins Clark		Q36180|Q189290|Q6625963	+1921-02-01T00:00:00Z	+2016-12-03T00:00:00Z	Patricia Robins | Claire Lorrimer	Patricia Denise Robins	Patricia Robins		2026-08-05
Paul     White	Q7154338	Paul White	Paul White		American football player and coach (1921-1974)		Paul White	label_en	Paul Grover White		Q19204627	+1921-11-13T00:00:00Z	+1974-06-03T00:00:00Z			Paul White (American football)		2026-08-05
Paul     White	Q7154341	Paul White	Paul White		English rugby league footballer (*1982)		Paul White	label_en			Q14373094	+1982-12-07T00:00:00Z				Paul White (rugby league)		2026-08-05
Rita Monaldi	Q7336582	Rita Monaldi	Rita Monaldi		Italian journalist		Rita Monaldi	label_en			Q1930187|Q36180|Q13418253|Q16267607	+1966-01-01T00:00:00Z				Rita Monaldi		2026-08-05
Sandy Mitchell	Q7417380	Sandy Mitchell	Sandy Mitchell		Brit imprisoned on terrorism charges		Sandy Mitchell	label_en				+2000-01-01T00:00:00Z				Sandy Mitchell (prisoner)		2026-08-05
Stephen Schwartz	Q7610618	Lulu Schwartz	Lulu Schwartz		American journalist, columnist and author		Stephen Schwartz	alias_en	Stephen Schwartz | Stephen Suleyman Schwartz		Q201788|Q1930187|Q36180|Q6051619	+1948-09-09T00:00:00Z				Lulu Schwartz		2026-08-05
Steve Cooper	Q10412754	Steve Cooper	Steve Cooper	Steve Cooper	English footballer (1964-2004)		Steve Cooper	label_en	Stephen Brian Cooper		Q937857	+1964-06-22T00:00:00Z	+2004-02-15T00:00:00Z			Steve Cooper (footballer, born 1964)		2026-08-05
Joyce Barkhouse	Q11867301	Joyce Barkhouse	Joyce Barkhouse	Joyce Barkhouse	Canadian writer (1913–2012)		Joyce Barkhouse	label_en	Joyce Carman Barkhouse | Joyce C. Barkhouse		Q36180|Q4853732	+1913-05-03T00:00:00Z	+2012-02-02T00:00:00Z		Joyce Carmen Killam	Joyce Barkhouse		2026-08-05
Robert A. Carter	Q11891013	Robert A. Carter	Robert A. Carter	Robert A. Carter	American writer		Robert A. Carter	label_en			Q36180							2026-08-05
John Gray	Q11979054	John Stuart Gray	John Stuart Gray	John Stuart Gray	British marine biologist		John Gray	alias_en	John Gray		Q3640160	+1941-08-21T00:00:00Z	+2007-10-21T00:00:00Z			John Stuart Gray		2026-08-05
James White	Q16105007	James White	James White		Irish politician and businessman, born 1938		James White	label_en			Q82955|Q131512	+1938-01-02T00:00:00Z	+2014-09-02T00:00:00Z			James White (Irish politician)		2026-08-05
Paul     White	Q16137891	Paul White	Paul White		Australian bishop (*1949)		Paul White	label_en	Paul Raymond White		Q1753370	+1949-01-01T00:00:00Z				Paul White (bishop)		2026-08-05
Andrew  Matthews	Q16755803	Andrew Matthews	Andrew Matthews		British bobsledder		Andrew Matthews	label_en			Q13383011	+1988-08-07T00:00:00Z				Andrew Matthews (bobsleigh)		2026-08-05
William Stadiem	Q16981281	William Stadiem	William Stadiem		American writer		William Stadiem	label_en	William H. Stadiem		Q40348|Q201788|Q6625963|Q864380|Q1930187|Q185351|Q28389|Q6051619|Q33999	+1947-09-17T00:00:00Z|+1947-00-00T00:00:00Z				William Stadiem		2026-08-05
James White	Q17141088	James White	James White		American polymer scientist (1938-2009)		James White	label_en	James Lindsay White | James L. White		Q81096|Q593644	+1938-01-03T00:00:00Z	+2009-11-26T00:00:00Z			James White (engineer)		2026-08-05
Michael Farmer	Q17917450	Michael Farmer, Baron Farmer	Michael Farmer, Baron Farmer		British businessman, former treasurer of the Conservative Party, and life peer in the House of Lords		Michael Farmer	alias_en	Michael Stahel Farmer, Baron Farmer | Michael Farmer		Q43845|Q82955	+1944-12-17T00:00:00Z			Michael Stahel Fisher	Michael Farmer, Baron Farmer		2026-08-05
John Rutherford	Q18576555	John Rutherford	John Rutherford		Church of Scotland minister and philosopher		John Rutherford	label_en			Q1423891|Q4964182	+1520-00-00T00:00:00Z	+1577-00-00T00:00:00Z					2026-08-05
James Fleming	Q18761986	James Fleming	James Fleming		Irish Church of England clergyman		James Fleming	label_en	James Battersby Fleming		Q3409375	+1830-01-17T00:00:00Z	+1908-01-17T00:00:00Z			James Fleming (priest)		2026-08-05
James White	Q18917324	James White	James White	James White	Scottish writer (1803-1862)		James White	label_en			Q3315492|Q36180	+1803-01-17T00:00:00Z|+1806-00-00T00:00:00Z	+1862-03-26T00:00:00Z					2026-08-05
Bob Shaw	Q19202498	Bob Shaw	Bob Shaw		British hurdler		Bob Shaw	label_en	Robert Shaw | Robert Douglas Shaw		Q13724897	+1932-12-27T00:00:00Z				Bob Shaw (athlete)		2026-08-05
David Thomas	Q19661636	David Thomas	David Thomas		Australian judge		David Thomas	label_en			Q16533|Q40348					David Thomas (judge)		2026-08-05
David  Dean	Q19823872	David Dean	David Dean		American wrestler		David Dean	label_en			Q12369333	+2000-00-00T00:00:00Z						2026-08-05
Anthony Roberts	Q19844383	Anthony Roberts	Anthony Roberts		British boxer		Anthony Roberts	label_en			Q11338576							2026-08-05
Mark Greaney	Q19880094	Mark Greaney	Mark Greaney	Mark Greaney	American novelist		Mark Greaney	label_en			Q6625963|Q36180|Q1238570	+1967-01-01T00:00:00Z				Mark Greaney (novelist)	マーク・グリーニー	2026-08-05
Molly O'Keefe	Q20707581	Molly O'Keefe	Molly O'Keefe		American author of contemporary romance		Molly O'Keefe	label_en			Q6625963					Molly O'Keefe		2026-08-05
David Thomas	Q20732891	David Thomas	David Thomas		Welsh bone-setter		David Thomas	label_en			Q3486937	+1739-01-01T00:00:00Z	+1788-05-25T00:00:00Z					2026-08-05
David Thomas	Q21453115	David Thomas	David Thomas				David Thomas	label_en			Q1028181	+1919-01-01T00:00:00Z						2026-08-05
