selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original
Nineteen Eighty-Four	George Orwell	1949	Nineteen Eighty-Four	George Orwell	1949	/works/OL1168083W	437	302	use_title_author	canonical_preserved	532	4	Q208460			20	20	0	0	/works/OL1168083W	40.0	25.0	4.0	8.0	2.0	1.0	0.7435897435897436	324.948717948718	324.948717948718	/works/OL1168083W	2125871	47197	UNIQUE	2125871	short_or_general_title	532	1	532	0	1.0	/works/OL1168083W	532	532	0	0	1	532	0	532	4	0	title_fallback_reviewed	accepted	4
The Portrait of a Lady	Henry James	1881	The Portrait of a Lady	James, Henry	1881	/works/OL276365W	396	315	use_title_author	canonical_preserved	432	21	Q861017	author_variant_or_source_error		51	51	0	0	/works/OL276365W	40.0	33.0	2.0	4.0	0.0	1.0	0.8974358974358975	355.3846153846154	355.3846153846154	/works/OL276365W	60291	2153	YEAR_AUTH	60291		432	1	432	0	1.0	/works/OL276365W	432	432	0	0	1	432	0	432	21	17	title_fallback_reviewed	accepted	21
Heart of Darkness	Joseph Conrad	1899	Heart of Darkness	Conrad, Joseph	1899	/works/OL31971259W	1005	774	use_title_author	canonical_preserved	14	1	Q129778	author_variant_or_source_error		266	255	7	4	/works/OL31971259W	40.0	28.0	3.0	4.0	2.0	3.0	0.8378378378378378	842.027027027027	842.027027027027	/works/OL31971259W	315808	10150	RATINGS_MAX	315808		14	4	1099	1085	78.5	/works/OL31971259W|/works/OL8137762W|/works/OL29000391W|/works/OL38663W	14	1099	0	0	4	1099	1085	1099	1	0	title_fallback_reviewed	accepted	1
The Sun Also Rises	Ernest Hemingway	1926	The Sun Also Rises	Ernest Hemingway	1926	/works/OL62979W	416	297	use_title_author	canonical_preserved	162	1	Q501351			42	42	0	0	/works/OL62979W	40.0	21.0	4.0	9.0	3.0	3.0	0.6756756756756757	281.0810810810811	281.0810810810811	/works/OL62979W	308432	10069	YEAR_AUTH	308432		162	1	162	0	1.0	/works/OL62979W	162	162	0	0	1	162	0	162	1	0	api	accepted	1
Maggie, a girl of the streets	Stephen Crane	1892	Maggie, a girl of the streets	Crane, Stephen	1893	/works/OL20839W	49	34	use_title_author	canonical_preserved	260	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		4	4	0	0	/works/OL20839W	40.0	26.0	3.0	8.0	1.0	2.0	0.7631578947368421	37.39473684210527	37.39473684210527	/works/OL20839W	6282	309	MANUAL_FIX	6282		260	2	261	1	1.0038461538461538	/works/OL20839W|/works/OL33165447W	260	261	1	2	3	263	3	263	1	1	api	accepted	1
Tarzan of the Apes	Edgar Rice Burroughs	1917	Tarzan of the Apes	Edgar Rice Burroughs	1912	/works/OL1418251W	17	15	use_title_author	canonical_preserved	226	2	Q655296	year_discrepancy		1	1	0	0	/works/OL1418251W	17.0	11.0	1.0	4.0	1.0	0.0	0.7058823529411765	12.0	12.0	/works/OL1418251W	33024	2025	YEAR_AUTH	33024		226	2	245	19	1.084070796460177	/works/OL1418251W|/works/OL1418064W	226	245	1	13	3	258	32	258	2	2	api	accepted	2
The Scarlet Pimpernel	Emma Orczy	1905	The Scarlet Pimpernel	Orczy, Emmuska Orczy	1900	/works/OL1253285W	8	3	use_title_author	canonical_preserved	591	5	Q1249536	author_variant_or_source_error; year_discrepancy	Emma Orczy and Emmuska Orczy are name variants; the two year fields are retained separately.	1	1	0	0	/works/OL1253285W	8.0	1.0	1.0	6.0	0.0	0.0	0.25	2.0	2.0	/works/OL1253285W	105194	5173	UNIQUE	105194		591	1	591	0	1.0	/works/OL1253285W	591	591	0	0	1	591	0	591	5	5	title_fallback_reviewed	accepted	5
The Time Machine	H. G. Wells	1895	The Time Machine	H. G. Wells	1895	/works/OL52267W	233	193	use_with_warning_risky_author	observed_risky_author_last:wells|canonical_preserved	1146	2	Q627333	openalex:use_with_warning_risky_author		23	20	3	0	/works/OL52267W	40.0	22.0	1.0	7.0	8.0	2.0	0.6052631578947368	141.02631578947367	141.02631578947367	/works/OL52267W	311720	7629	YEAR_AUTH	311720		1146	2	1147	1	1.0008726003490402	/works/OL52267W|/works/OL32699938W	1146	1147	1	39	3	1186	40	1186	2	2	api	accepted	2
Autobiography of Alice B Toklas	Gertrude Stein	1933	The Autobiography of Alice B. Toklas	Gertrude Stein	1933	/works/OL37277W	70	58	use_title_author	canonical_preserved	83	2	Q6618986	title_variant		6	6	0	0	/works/OL37277W	40.0	23.0	3.0	9.0	2.0	3.0	0.7027027027027027	49.18918918918919	49.18918918918919	/works/OL37277W	6663	522	UNIQUE	6663		83	1	83	0	1.0	/works/OL37277W	83	83	0	0	1	83	0	83	2	0	api	accepted	2
Martin Eden	Jack London	1909	Martin Eden	Jack London	1908	/works/OL144822W	94	75	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	168	1	Q1317839	year_discrepancy; openalex:use_with_warning_short_title		10	10	0	0	/works/OL144822W	40.0	33.0	0.0	7.0	0.0	0.0	0.825	77.55	77.55	/works/OL144822W	15636	781	UNIQUE	15636	short_or_general_title	168	1	168	0	1.0	/works/OL144822W	168	168	0	0	1	168	0	168	1	1	api	accepted	1
The Story of an African Farm	Olive Schreiner	1883	The story of an African farm	Olive Schreiner	1883	/works/OL18561767W	74	74	use_title_author	canonical_preserved	7	2		wikidata_unresolved		8	8	0	0	/works/OL18561767W	40.0	33.0	2.0	4.0	1.0	0.0	0.875	64.75	64.75	/works/OL18561767W	1606	124	UNIQUE	1606		7	2	58	51	8.285714285714286	/works/OL18561767W|/works/OL890573W	7	58	0	0	2	58	51	58	2	2	api	accepted	2
The Mystery of the Cloomber	Arthur Conan Doyle	1889	The Mystery of Cloomber	Doyle, Arthur Conan	1895	/works/OL262473W	1	1	use_title_author	canonical_preserved	215	2	Q4449924	title_variant; author_variant_or_source_error; year_discrepancy		0	0	0	0	/works/OL262473W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL262473W	377	43	UNIQUE	377		215	1	215	0	1.0	/works/OL262473W	215	215	0	0	1	215	0	215	2	2	api	accepted	2
Return Of The Soldier	Nathaniel West	1918	The Return of the Soldier	Rebecca West	1918	/works/OL27834207W	40	31	use_with_warning_risky_author	observed_risky_author_last:west|canonical_preserved	95	3	Q7760466	title_variant; author_variant_or_source_error; openalex:use_with_warning_risky_author	The source list records Nathaniel West; the matched work is Rebecca West's The Return of the Soldier.	9	9	0	0	/works/OL27834207W	40.0	28.0	1.0	5.0	2.0	4.0	0.8055555555555556	32.22222222222222	32.22222222222222	/works/OL27834207W	3659	371	UNIQUE	3659		95	1	95	0	1.0	/works/OL27834207W	95	95	0	0	1	95	0	95	3	3	api	accepted	3
Gone to Earth	Mary Webb	1917	Gone to Earth	Mary Gladys Meredith Webb	1917	/works/OL4390503W	8	6	use_title_author	canonical_preserved	15	1	Q109284453	author_variant_or_source_error		4	2	2	0	/works/OL4390503W	8.0	4.0	1.0	2.0	1.0	0.0	0.625	5.0	5.0	/works/OL4390503W	346	50	YEAR_AUTH	346		15	1	15	0	1.0	/works/OL4390503W	15	15	1	72	2	87	72	87	1	0	api	accepted	1
The Homeward Trail	Waldron Baily	1916	The Homeward Trail	Waldron Baily	1916	/works/OL13144755W	0	0	zero_title_author	canonical_preserved	3	2		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL13144755W	0	0	NO_MATCH_AUTH	0		3	1	3	0	1.0	/works/OL13144755W	3	3	0	0	1	3	0	3	2	2	api	accepted	2
The Red Badge of Courage	Stephen Crane	1895	The red badge of courage	Crane, Stephen	1900	/works/OL42517032W	153	108	use_title_author	canonical_preserved	1	1	Q1219239	author_variant_or_source_error; year_discrepancy		45	45	0	0	/works/OL42517032W	40.0	27.0	2.0	5.0	3.0	3.0	0.7837837837837838	119.91891891891892	119.91891891891892	/works/OL42517032W	76073	2918	RATINGS_MAX	76073		1	3	18	17	18.0	/works/OL42517032W|/works/OL42504106W|/works/OL42430849W	1	18	1	1	4	19	18	19	1	1	api	accepted	1
Howard's End	E. M. Forster	1910	Howards End	E. M. Forster	1910	/works/OL88881W	182	135	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	467	2	Q1146642	title_variant; openalex:use_with_warning_short_title		30	30	0	0	/works/OL88881W	40.0	27.0	6.0	3.0	1.0	3.0	0.8918918918918919	162.32432432432432	162.32432432432432	/works/OL88881W	60000	2014	UNIQUE	60000	short_or_general_title	467	0	0	-467	0.0		467	0	1	8	3	481	14	481	2	1	api	accepted	2
A Portrait of the Artist as a Young Man	James Joyce	1916	A portrait of the artist as a young man	Joyce, James	1921	/works/OL38989822W	509	384	use_title_author	canonical_preserved	3	14	Q465360	author_variant_or_source_error; year_discrepancy		67	67	0	0	/works/OL38989822W	40.0	24.0	1.0	12.0	2.0	1.0	0.6410256410256411	326.2820512820513	326.2820512820513	/works/OL38989822W	104979	4047	YEAR_AUTH	104979		3	2	5	2	1.6666666666666667	/works/OL38989822W|/works/OL33122325W	3	5	0	0	2	5	2	5	14	9	title_fallback_reviewed	accepted	14
Jude the Obscure	Thomas Hardy	1895	Jude the obscure	Hardy, Thomas	1895	/works/OL39453744W	343	273	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	1	17	Q1248773	author_variant_or_source_error; openalex:use_with_warning_risky_author		69	68	1	0	/works/OL39453744W	40.0	30.0	1.0	4.0	1.0	4.0	0.8611111111111112	295.36111111111114	295.36111111111114	/works/OL39453744W	51099	2372	UNIQUE	51099		1	5	435	434	435.0	/works/OL40623217W|/works/OL39453744W|/works/OL40732923W|/works/OL41547386W|/works/OL44986W	1	435	0	0	5	435	434	435	17	16	title_fallback_reviewed	accepted	17
Secret Agent	Joseph Conrad	1907	The Secret Agent	Conrad, Joseph	1907	/works/OL39108W	285	225	use_title_author	canonical_preserved	335	1	Q1247666	title_variant; author_variant_or_source_error		132	129	2	1	/works/OL39108W	40.0	30.0	0.0	4.0	2.0	4.0	0.8333333333333334	237.5	237.5	/works/OL39108W	14686	976	YEAR_AUTH	14686		335	3	338	3	1.008955223880597	/works/OL43462425W|/works/OL39108W|/works/OL43882972W	335	338	0	0	3	338	3	338	1	0	api	accepted	1
Tess of the D'Urbervilles	Thomas Hardy	1891	Tess of the D'Urbervilles	Thomas Hardy	1891	/works/OL40434746W	504	369	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	9	39	Q649409	openalex:use_with_warning_risky_author		65	63	2	0	/works/OL40434746W	40.0	34.0	0.0	4.0	0.0	2.0	0.8947368421052632	450.9473684210527	450.9473684210527	/works/OL40434746W	194972	6886	UNIQUE	194972		9	2	10	1	1.1111111111111112	/works/OL40434746W|/works/OL43906748W	9	10	0	0	2	10	1	10	39	34	title_fallback_reviewed	accepted	39
Ulysses	James Joyce	1922	Ulysses	James Joyce	1922	/works/OL35695219W	2194	1574	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	71	3	Q6511	openalex:use_with_warning_short_title		827	710	64	53	/works/OL35695219W	40.0	22.0	5.0	9.0	2.0	2.0	0.7105263157894737	1558.8947368421052	1558.8947368421052	/works/OL35695219W	88298	5202	RATINGS_MAX	88298	short_or_general_title|known_jstor_ambiguous_title	71	3	684	613	9.633802816901408	/works/OL35695219W|/works/OL38767940W|/works/OL86318W	71	684	0	0	3	684	613	684	3	1	title_fallback_reviewed	accepted	3
Dubliners	James Joyce	1914	Dubliners	Joyce, James	1914	/works/OL86320W	689	544	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	996	7	Q459592	author_variant_or_source_error; openalex:use_with_warning_short_title		94	94	0	0	/works/OL86320W	40.0	30.0	2.0	7.0	1.0	0.0	0.8	551.2	551.2	/works/OL86320W	93509	4222	UNIQUE	93509	short_or_general_title	996	1	996	0	1.0	/works/OL86320W	996	996	0	0	1	996	0	996	7	6	title_fallback_reviewed	accepted	7
The Rise of David Levinsky	Abraham Cahan	1917	The rise of David Levinsky	Abraham Cahan	1917	/works/OL14864528W	24	19	use_title_author	canonical_preserved	20	2		wikidata_unresolved		7	7	0	0	/works/OL14864528W	24.0	11.0	2.0	6.0	4.0	1.0	0.5652173913043478	13.565217391304348	13.565217391304348	/works/OL14864528W	448	45	UNIQUE	448		20	1	20	0	1.0	/works/OL14864528W	20	20	0	0	1	20	0	20	2	2	api	accepted	2
The Prisoner of Zenda	Anthony Hope	1894	The Prisoner of Zenda	Anthony Hope	1939	/works/OL245401W	14	12	use_with_warning_risky_author	observed_risky_author_last:hope|canonical_preserved	627	19		year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		2	1	1	0	/works/OL245401W	14.0	5.0	1.0	8.0	0.0	0.0	0.4285714285714285	6.0	6.0	/works/OL245401W	15006	724	MANUAL_FIX	15006		627	1	627	0	1.0	/works/OL245401W	627	627	0	0	1	627	0	627	15	15	corrected_metadata_retry	accepted_after_identity_correction	19
The Odd Women	George Gissing	1893	The odd women	George Gissing	1893	/works/OL715621W	35	26	use_title_author	canonical_preserved	36	1		wikidata_unresolved		7	7	0	0	/works/OL715621W	35.0	23.0	2.0	4.0	4.0	2.0	0.7575757575757576	26.51515151515152	26.51515151515152	/works/OL715621W	3411	199	UNIQUE	3411		36	1	36	0	1.0	/works/OL715621W	36	36	0	0	1	36	0	36	1	0	api	accepted	1
Alexander's Bridge	Willa Cather	1912	Alexander's Bridge	Willa Cather	1912	/works/OL12781W	32	29	use_title_author	canonical_preserved	229	2	Q4718102			4	4	0	0	/works/OL12781W	32.0	16.0	1.0	12.0	1.0	2.0	0.5666666666666667	18.133333333333333	18.133333333333333	/works/OL12781W	976	138	UNIQUE	976	short_or_general_title	229	1	229	0	1.0	/works/OL12781W	229	229	0	0	1	229	0	229	2	2	api	accepted	2
Jacob's Room	Virginia Woolf	1922	Jacob's Room	Virginia Woolf	1922	/works/OL39329W	160	125	use_title_author	canonical_preserved	309	1	Q1677745			19	19	0	0	/works/OL39329W	40.0	28.0	1.0	4.0	2.0	5.0	0.8285714285714286	132.57142857142858	132.57142857142858	/works/OL39329W	6378	472	UNIQUE	6378	short_or_general_title	309	1	309	0	1.0	/works/OL39329W	309	309	0	0	1	309	0	309	1	1	api	accepted	1
Ethan Frome	Edith Wharton	1911	Ethan Frome	Edith Wharton	1910	/works/OL98501W	83	55	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1000	12	Q5402934	year_discrepancy; openalex:use_with_warning_short_title		14	14	0	0	/works/OL98501W	40.0	22.0	3.0	9.0	3.0	3.0	0.6756756756756757	56.08108108108108	56.08108108108108	/works/OL98501W	84941	4293	YEAR_AUTH	84941	short_or_general_title	1000	1	1000	0	1.0	/works/OL98501W	1000	1000	1	2	2	1002	2	1002	12	10	title_fallback_reviewed	accepted	12
Treasure Island	Robert Louis Stevenson	1882	Treasure Island	Robert Louis Stevenson	1880	/works/OL24034W	155	111	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1988	2	Q185118	year_discrepancy; openalex:use_with_warning_short_title		18	16	2	0	/works/OL24034W	40.0	20.0	6.0	6.0	6.0	2.0	0.6842105263157895	106.05263157894736	106.05263157894736	/works/OL24034W	318348	8178	RATINGS_MAX	318348	short_or_general_title	1988	7	2012	24	1.012072434607646	/works/OL24034W|/works/OL29223843W|/works/OL42471516W|/works/OL33137271W|/works/OL44771924W|/works/OL42692984W|/works/OL39458064W	1988	2012	3	17	10	2029	41	2029	2	2	api	accepted	2
The Turn of the Screw	Henry James	1898	Turn of the Screw	Henry James	1898	/works/OL40252771W	280	214	use_title_author	canonical_preserved	8	1		title_variant; wikidata_unresolved		67	67	0	0	/works/OL40252771W	40.0	29.0	1.0	9.0	1.0	0.0	0.75	210.0	210.0	/works/OL40252771W	68334	4634	RATINGS_MAX	68334		8	3	577	569	72.125	/works/OL40252771W|/works/OL276386W|/works/OL41530014W	8	577	2	35	5	612	604	612	1	0	title_fallback_reviewed	accepted	1
White Fang	Jack London	1906	White Fang	Jack London	1905	/works/OL74504W	55	44	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	387	2	Q152267	year_discrepancy; openalex:use_with_warning_short_title		1	1	0	0	/works/OL74504W	40.0	22.0	5.0	10.0	2.0	1.0	0.6923076923076923	38.07692307692307	38.07692307692307	/works/OL74504W	117038	3149	UNIQUE	117038	short_or_general_title	387	2	393	6	1.0155038759689925	/works/OL74504W|/works/OL34511165W	387	393	0	0	2	393	6	393	2	2	api	accepted	2
Looking Backward	Edward Bellamy	1887	Looking backward	Bellamy, Edward	1941	/works/OL18814811W	106	76	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1	0	Q1305106	author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title		24	16	7	1	/works/OL18814811W	40.0	25.0	3.0	6.0	5.0	1.0	0.717948717948718	76.1025641025641	76.1025641025641	/works/OL18814811W	0	0	NO_MATCH_AUTH	0	short_or_general_title	1	3	11	10	11.0	/works/OL18814811W|/works/OL2981504W|/works/OL15638797W	1	11	3	121	6	132	131	132	0	0	none	no_current_match	0
Java Head	Joseph Hergesheimer	1919	Java Head	Joseph Hergesheimer	1918	/works/OL4902750W	1	0	use_with_warning_short_title	short_title_len_le_2|ta_without_lit_terms|canonical_preserved	27	2	Q107000085	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL4902750W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL4902750W	15	4	UNIQUE	15	short_or_general_title	27	1	27	0	1.0	/works/OL4902750W	27	27	0	0	1	27	0	27	2	2	api	accepted	2
The House of Mirth	Edith Wharton	1905	The house of mirth	Edith Wharton	1906	/works/OL42236259W	218	171	use_title_author	canonical_preserved	1	1		year_discrepancy; wikidata_unresolved		60	60	0	0	/works/OL42236259W	40.0	29.0	1.0	5.0	4.0	1.0	0.7692307692307693	167.6923076923077	167.6923076923077	/works/OL42236259W	68754	3561	UNIQUE	68754		1	3	697	696	697.0	/works/OL42236259W|/works/OL32146991W|/works/OL98587W	1	697	0	0	3	697	696	697	1	1	api	accepted	1
Three Lives	Gertrude Stein	1909	Three Lives	Gertrude Stein	1909	/works/OL35383W	50	33	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	149	1	Q7797597	openalex:use_with_warning_short_title		8	6	1	1	/works/OL35383W	40.0	30.0	2.0	4.0	3.0	1.0	0.8205128205128205	41.02564102564102	41.02564102564102	/works/OL35383W	2853	255	YEAR_AUTH	2853	short_or_general_title	149	1	149	0	1.0	/works/OL35383W	149	149	0	0	1	149	0	149	1	1	api	accepted	1
The Picture of Dorian Gray	Oscar Wilde	1890	The Picture of Dorian Gray	Oscar Wilde	1890	/works/OL8193416W	504	377	use_title_author	canonical_preserved	3012	2	Q82464			34	34	0	0	/works/OL8193416W	40.0	30.0	3.0	3.0	0.0	4.0	0.9166666666666666	462.0	462.0	/works/OL8193416W	694769	20302	RATINGS_MAX	694769		3012	1	3012	0	1.0	/works/OL8193416W	3012	3012	1	2	2	3014	2	3014	2	2	api	accepted	2
Hearts courageous	Hallie Rives	1902	Hearts courageous	Rives, Hallie Erminie	1902	/works/OL1799163W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	2	5		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved		3	3	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL1799163W	0	0	NO_MATCH	0	short_or_general_title	2	1	2	0	1.0	/works/OL1799163W	2	2	0	0	1	2	0	2	5	5	api	accepted	5
Lady Chatterley's Lover	D. H. Lawrence	1928	Lady Chatterley's lover	Lawrence, D. H.	1946	/works/OL43405505W	287	218	use_title_author	canonical_preserved	2	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		32	32	0	0	/works/OL43405505W	40.0	36.0	0.0	1.0	2.0	1.0	0.9230769230769232	264.92307692307696	264.92307692307696	/works/OL43405505W	77768	3876	UNIQUE	77768		2	2	516	514	258.0	/works/OL43405505W|/works/OL81180W	2	516	0	0	2	516	514	516	1	0	title_fallback_reviewed	accepted	1
Robert Elsmere	Mrs. Humphry Ward	1888	Robert Elsmere	Humphry Ward	1888	/works/OL41540816W	28	20	use_with_warning_risky_author	observed_risky_author_last:ward|short_title_len_le_2|canonical_preserved	2	20	Q7344052	author_variant_or_source_error; openalex:use_with_warning_risky_author		4	4	0	0	/works/OL41540816W	28.0	16.0	2.0	5.0	3.0	2.0	0.6923076923076923	19.384615384615383	19.384615384615383	/works/OL41540816W	36	7	UNIQUE	36	short_or_general_title	2	2	5	3	2.5	/works/OL41540816W|/works/OL31949047W	2	5	0	0	2	5	3	5	20	20	title_fallback_reviewed	accepted	20
