ol_work_key	ol_title	ol_author_name	goodreads_work_id	gr_primary_contributors	ol_author_key	ol_author_source_keys	redirect_applied	identity_status	matched_gr_name	matched_ol_name_raw	ol_evidence_type
/works/OL10591262W	The Two Tickets Puzzle	Alfred W Stewart	23542399	J.J. Connington	/authors/OL5634689A	/authors/OL5634689A	0	OL_ALIAS_MATCH	J.J. Connington	J J Connington | J J. Connington | J. J Connington | J. J. CONNINGTON | J. J. Connington | J.J Connington | J.J. Connington	OL_ALTERNATE_NAME
/works/OL106043W	The little fire engine	Greene, Graham	41900	Lois Lenski	/authors/OL20243A	/authors/OL20243A	0	UNRESOLVED			
/works/OL10608554W	Genji monogatari	Murasaki Shikibu	10939671	Mark Young	/authors/OL365212A	/authors/OL365212A	0	UNRESOLVED			
/works/OL1064049W	Notre-Dame	Victor Hugo	46055768	Jean Bastide | Robin Recht | Robin Recht, Jean Bastide	/authors/OL107571A	/authors/OL107571A	0	UNRESOLVED			
/works/OL10641391W	Devil take the blue-tail fly	Gregory Tree	599685	John Franklin Bardin	/authors/OL2248940A	/authors/OL2248940A	0	DIRECT_NAME_MATCH	John Franklin Bardin	John Franklin Bardin	OL_NAME_OR_PERSONAL_NAME
/works/OL10649669W	The major	Ralph Connor	42014768	Cliff Happy	/authors/OL457425A	/authors/OL457425A	0	UNRESOLVED			
/works/OL10649676W	Breaking the record	Ralph Connor	54814117	Raleigh Ruebins	/authors/OL457425A	/authors/OL457425A	0	UNRESOLVED			
/works/OL107828W	Romance & legend of chivalry	A. R. Hope Moncrieff	1876686	Ascott Robert Hope Montcrieff	/authors/OL18175A	/authors/OL18175A	0	UNRESOLVED			
/works/OL1084997W	A Happy Boy	Bjørnstjerne Bjørnson	1936204	Bjornstjerne Bjornson	/authors/OL112761A	/authors/OL112761A	0	OL_ALIAS_MATCH	Bjornstjerne Bjornson	Bjornstjerne Bjornson | Bjornstjerne Björnson | Björnstjerne Björnson | Bjo̊rnstjerne Björnson | Björnstjerne Björnson	OL_ALTERNATE_NAME
/works/OL10859380W	Her soul to keep	Ethel Cook Eliot	16424531	Delilah Devlin	/authors/OL546980A	/authors/OL546980A	0	UNRESOLVED			
/works/OL10865603W	Mrs. Spring Fragrance	Edith Maud Eaton	512215	Sui Sin Far	/authors/OL4527204A	/authors/OL4527204A	0	OL_ALIAS_MATCH	Sui Sin Far	Sui Sin Far	OL_ALTERNATE_NAME
/works/OL1089935W	Brother man	Phillpotts, Eden	826429	Roger Mais	/authors/OL112970A	/authors/OL112970A	0	UNRESOLVED			
/works/OL1090091W	The horse fair	Baldwin, James	1210806	Robin Becker	/authors/OL112971A	/authors/OL112971A	0	UNRESOLVED			
/works/OL109158W	The night visitor and other stories	Bennett, Arnold	56169	B. Traven	/authors/OL29586A	/authors/OL29586A	0	UNRESOLVED			
/works/OL109338W	The black soul	O'Flaherty, Liam	947268	Liam O'Flaherty	/authors/OL29599A	/authors/OL29599A	0	OL_ALIAS_MATCH	Liam O'Flaherty	Liam O'Flaherty	OL_ALTERNATE_NAME
/works/OL109339W	The short stories of Liam O'Flaherty	O'Flaherty, Liam	5001839	Liam O'Flaherty	/authors/OL29599A	/authors/OL29599A	0	OL_ALIAS_MATCH	Liam O'Flaherty	Liam O'Flaherty	OL_ALTERNATE_NAME
/works/OL1096566W	The valley of shadows	Grierson, Francis	16219838	Mark Terry	/authors/OL113438A	/authors/OL113438A	0	UNRESOLVED			
/works/OL109815W	Four lectures	Trollope, Anthony	1670085	Stephen Rodefer	/authors/OL29698A	/authors/OL29698A	0	UNRESOLVED			
/works/OL1098485W	The Lord Fish	De la Mare, Walter	1283098	Walter de la Mare	/authors/OL113574A	/authors/OL113574A	0	DIRECT_NAME_MATCH	Walter de la Mare	Walter De la Mare	OL_NAME_OR_PERSONAL_NAME
/works/OL1098489W	Best stories of Walter de la Mare	De la Mare, Walter	1038678	Walter de la Mare	/authors/OL113574A	/authors/OL113574A	0	DIRECT_NAME_MATCH	Walter de la Mare	Walter De la Mare	OL_NAME_OR_PERSONAL_NAME
/works/OL1098492W	Desert islands and Robinson Crusoe	De la Mare, Walter	1625834	Walter de la Mare	/authors/OL113574A	/authors/OL113574A	0	DIRECT_NAME_MATCH	Walter de la Mare	Walter De la Mare	OL_NAME_OR_PERSONAL_NAME
/works/OL1098501W	Memoirs of a midget	De la Mare, Walter	5836	Walter de la Mare	/authors/OL113574A	/authors/OL113574A	0	DIRECT_NAME_MATCH	Walter de la Mare	Walter De la Mare	OL_NAME_OR_PERSONAL_NAME
/works/OL1104064W	Her son	Vachell, Horace Annesley	24159185	Edith Wharton	/authors/OL2962430A	/authors/OL2962430A	0	UNRESOLVED			
/works/OL11068500W	Marie de France	Marie	4572786	Emanuel J. Mickel	/authors/OL423185A	/authors/OL423185A	0	UNRESOLVED			
/works/OL1114914W	When rogues fall out	Joseph Hatton	5521474	R. Austin Freeman	/authors/OL114532A	/authors/OL114532A	0	UNRESOLVED			
/works/OL111597W	Dance Upon the Air	Robertson, Eleanor Marie	58217	Nora Roberts	/authors/OL18977A	/authors/OL18977A	0	DIRECT_NAME_MATCH	Nora Roberts	Nora Roberts	OL_NAME_OR_PERSONAL_NAME
/works/OL11240096W	Short Stories from the New Yorker	Irwin Shaw	10719188	The New Yorker	/authors/OL677865A	/authors/OL677865A	0	UNRESOLVED			
/works/OL11243769W	The wedge	Hermann Bacher Deutsch	24659586	William Carlos Williams	/authors/OL4708769A	/authors/OL4708769A	0	UNRESOLVED			
/works/OL1127983W	Susy	Bret Harte	45806144		/authors/OL115231A	/authors/OL115231A	0	UNRESOLVED			
/works/OL1128013W	Maruja	Bret Harte	2558196	Ema Wolf	/authors/OL115231A	/authors/OL115231A	0	UNRESOLVED			
/works/OL112804W	Jared's Island	Marguerite De Angeli	21910806	John R. Thayer	/authors/OL20520A	/authors/OL20520A	0	UNRESOLVED			
/works/OL1130349W	Pole star	Stewart Edward White	18680815	Josephine Myles	/authors/OL115388A	/authors/OL115388A	0	UNRESOLVED			
/works/OL1130407W	The silent places	Stewart Edward White	10474515	James Patrick Hunt	/authors/OL115388A	/authors/OL115388A	0	UNRESOLVED			
/works/OL1131838W	Great English short stories	John Hampden	358505		/authors/OL115505A	/authors/OL115505A	0	UNRESOLVED			
/works/OL1132264W	The historical novel	Matthews, Brander	6059515	George Saintsbury	/authors/OL115550A	/authors/OL115550A	0	UNRESOLVED			
/works/OL114610W	The secrets of Dr. Taverner	Violet M. Firth	684204	Dion Fortune	/authors/OL1055237A	/authors/OL1055237A	0	OL_ALIAS_MATCH	Dion Fortune	Dion Fortune	OL_ALTERNATE_NAME
/works/OL1148935W	A grain of wheat	Kagawa, Toyohiko	822355	Ngugi wa Thiong'o	/authors/OL116601A	/authors/OL116601A	0	UNRESOLVED			
/works/OL1157532W	Out of the flame	Osbert Sitwell	2887316	Eloise Lownsbery	/authors/OL117350A	/authors/OL117350A	0	UNRESOLVED			
/works/OL1161367W	The throne of Saturn	S. Fowler Wright	2914071	Allen Drury	/authors/OL5274364A	/authors/OL5274364A	0	UNRESOLVED			
/works/OL11619993W	The Case with Nine Solutions	Alfred W Stewart	17345804	J.J. Connington	/authors/OL5634689A	/authors/OL5634689A	0	OL_ALIAS_MATCH	J.J. Connington	J J Connington | J J. Connington | J. J Connington | J. J. CONNINGTON | J. J. Connington | J.J Connington | J.J. Connington	OL_ALTERNATE_NAME
/works/OL11619999W	Nordenholt's Million	Alfred W Stewart	6327013	J.J. Connington	/authors/OL5634689A	/authors/OL5634689A	0	OL_ALIAS_MATCH	J.J. Connington	J J Connington | J J. Connington | J. J Connington | J. J. CONNINGTON | J. J. Connington | J.J Connington | J.J. Connington	OL_ALTERNATE_NAME
/works/OL11676542W	Arthurian romances	Chrétien	438235	Chretien de Troyes	/authors/OL26183A	/authors/OL26183A	0	DIRECT_NAME_MATCH	Chretien de Troyes	Chrétien de Troyes	OL_NAME_OR_PERSONAL_NAME
/works/OL1167884W	The coming of the Lord	Sarah Gertrude Liebson Millin	1964619	Gerald N. Lund	/authors/OL118069A	/authors/OL118069A	0	UNRESOLVED			
/works/OL1167885W	The dark gods	Sarah Gertrude Liebson Millin	2640204	Anthony Roberts	/authors/OL118069A	/authors/OL118069A	0	UNRESOLVED			
/works/OL1167903W	King of the Bastards	Sarah Gertrude Liebson Millin	43403457	Brian Keene | Steven L. Shrewsbury | Steven Shrewsbury	/authors/OL118069A	/authors/OL118069A	0	UNRESOLVED			
/works/OL11696840W	The farmhouse	Helen Reilly	45439323	Rishi	/authors/OL2172616A	/authors/OL2172616A	0	UNRESOLVED			
/works/OL117003W	Letters from Egypt	Duff Gordon, Lucie	27501475	Lady Lucie Duff Gordon	/authors/OL1219403A	/authors/OL1219403A	0	OL_ALIAS_MATCH	Lady Lucie Duff Gordon	Lady Lucie Duff Gordon | Lady Lucie Duff-Gordon	OL_ALTERNATE_NAME
/works/OL117019W	A London story	Buchanan, George	18986267	Jack Lennard	/authors/OL1219438A	/authors/OL1219438A	0	UNRESOLVED			
/works/OL1175337W	The quest of the Holy Grail	Jessie Laidlay Weston	222463	Anonymous	/authors/OL2689435A	/authors/OL2689435A	0	UNRESOLVED			
/works/OL11759526W	West of the West	A. Ritchie Robson	6508796	Mark Arax	/authors/OL5002387A	/authors/OL5002387A	0	UNRESOLVED			
/works/OL1176863W	Sweepers	Charlton Waine	22479	P.T. Deutermann	/authors/OL118936A	/authors/OL118936A	0	UNRESOLVED			
/works/OL118407W	Onesimus	Edwin Abbott Abbott	10742589	Lance Webb	/authors/OL20585A	/authors/OL20585A	0	UNRESOLVED			
/works/OL1187682W	Modern Fiction	Herbert Joseph Muller	53414592	Virginia Woolf	/authors/OL119943A	/authors/OL119943A	0	UNRESOLVED			
/works/OL11888695W	Her son's wife	Dorothy Canfield	1362385	Dorothy Canfield Fisher	/authors/OL5094369A	/authors/OL5094369A	0	UNRESOLVED			
/works/OL11892834W	Uncharted seas	Eric Ward	3039233	Dennis Wheatley	/authors/OL5097456A	/authors/OL5097456A	0	UNRESOLVED			
/works/OL11898862W	On secret service	William Nelson Taft	497064	John Jakes	/authors/OL2318546A	/authors/OL2318546A	0	UNRESOLVED			
/works/OL1191020W	The great Mogul	Payne, Robert	40084494	Rajeev Jacob	/authors/OL120265A	/authors/OL120265A	0	UNRESOLVED			
/works/OL11944W	The bride's house	Dawn Powell	14588328	Sandra Dallas	/authors/OL6274279A	/authors/OL6274279A	0	UNRESOLVED			
/works/OL1195459W	Three tales	Frank O'Connor	1446318	Flaubert Gustav Flaubert | Gustave Flaubert | Peter Michael Wetherill | Samuel Silvestre de Sacy	/authors/OL120686A	/authors/OL120686A	0	UNRESOLVED			
/works/OL1196382W	The Case of the Abominable Snowman	C. Day Lewis	1801646	Nicholas Blake	/authors/OL120803A	/authors/OL120803A	0	OL_ALIAS_MATCH	Nicholas Blake	NICHOLAS BLAKE | Nicholas Blake | nicholas blake	OL_ALTERNATE_NAME
/works/OL1196407W	The smiler with the knife	C. Day Lewis	1801654	Nicholas Blake	/authors/OL120803A	/authors/OL120803A	0	OL_ALIAS_MATCH	Nicholas Blake	NICHOLAS BLAKE | Nicholas Blake | nicholas blake	OL_ALTERNATE_NAME
/works/OL1196409W	Thou Shell of Death	C. Day Lewis	1801658	Nicholas Blake	/authors/OL120803A	/authors/OL120803A	0	OL_ALIAS_MATCH	Nicholas Blake	NICHOLAS BLAKE | Nicholas Blake | nicholas blake	OL_ALTERNATE_NAME
/works/OL1196426W	Minute for murder	C. Day Lewis	701685	Nicholas Blake	/authors/OL120803A	/authors/OL120803A	0	OL_ALIAS_MATCH	Nicholas Blake	NICHOLAS BLAKE | Nicholas Blake | nicholas blake	OL_ALTERNATE_NAME
/works/OL1197099W	Bachelor-of arts	Erskine, John	1423842	R.K. Narayan	/authors/OL120838A	/authors/OL120838A	0	UNRESOLVED			
/works/OL1197883W	The little grey men	"""BB,"""	81700	B.B.	/authors/OL120927A	/authors/OL120927A	0	UNRESOLVED			
/works/OL1198310W	The silence of the sea =	Jean Bruller	18681469	Yrsa Sigurdardottir	/authors/OL120957A	/authors/OL120957A	0	UNRESOLVED			
/works/OL1198697W	Charlemagne and Roland	Ronald N. Walpole	3486566	Allan Massie	/authors/OL120994A	/authors/OL120994A	0	UNRESOLVED			
/works/OL120216W	The seashore book	E. Boyd Smith	2998513	Charlotte Zolotow	/authors/OL1237020A	/authors/OL1237020A	0	UNRESOLVED			
/works/OL1202191W	The ghosts' high noon	Carolyn Wells	915168	John Dickson Carr	/authors/OL121323A	/authors/OL121323A	0	UNRESOLVED			
/works/OL1204925W	The historical novel	Butterfield, Herbert	6059515	George Saintsbury	/authors/OL121645A	/authors/OL121645A	0	UNRESOLVED			
/works/OL1206495W	Elders and betters	I. Compton-Burnett	1467469	Quentin Bell	/authors/OL121846A	/authors/OL121846A	0	UNRESOLVED			
/works/OL1208452W	Wild river	Anna Louise Strong	6546777	P.J. Petersen	/authors/OL122079A	/authors/OL122079A	0	UNRESOLVED			
/works/OL121037W	Money for love	Herbst, Josephine	48998333	Peter S. Berman	/authors/OL19126A	/authors/OL19126A	0	UNRESOLVED			
/works/OL12107549W	Mr. Lincoln's wife	Polly Anne Colver Graff	3013619	Anne Colver	/authors/OL5246574A	/authors/OL5246574A	0	UNRESOLVED			
/works/OL121228W	Autobiography of Benjamin Franklin	Thornton W. Burgess	598905	Benjamin Franklin | John Bigelow | Mark Skousen	/authors/OL19164A	/authors/OL19164A	0	UNRESOLVED			
/works/OL12141196W	Swamp water	Vereen Bell	26173816	Robert Munsch	/authors/OL5268296A	/authors/OL5268296A	0	UNRESOLVED			
/works/OL1215556W	A short history of Germany	S. H. Steinberg	9655089	Mary Platt Parmele	/authors/OL122835A	/authors/OL122835A	0	UNRESOLVED			
/works/OL12186140W	Alkibiades	Charles Hamilton Bromby	1120157	Plato	/authors/OL5297260A	/authors/OL5297260A	0	UNRESOLVED			
/works/OL12199170W	The Carolinians	Annie L. Sloan	3193299	Jane Barry	/authors/OL5306226A	/authors/OL5306226A	0	UNRESOLVED			
/works/OL1228196W	The sacred river	L. A. G. Strong	24801680	Wendy Wallace	/authors/OL123913A	/authors/OL123913A	0	UNRESOLVED			
/works/OL122861W	It looks like this	Irma E. Webber	44385333	Rafi Mittlefehldt	/authors/OL1239122A	/authors/OL1239122A	0	UNRESOLVED			
/works/OL1230464W	Tristram	Kendon, Frank.	3321690	Edwin Arlington Robinson	/authors/OL124158A	/authors/OL124158A	0	UNRESOLVED			
/works/OL12313613W	On wings of destiny	Victoria Lopez de Araneta	1092580	Ching Yun Bezine	/authors/OL5395405A	/authors/OL5395405A	0	UNRESOLVED			
/works/OL12330859W	Next year	Harry Pick	54428390	Ruth Vander Zee	/authors/OL5408316A	/authors/OL5408316A	0	UNRESOLVED			
/works/OL1236292W	My lady Pocahontas	Cooke, John Esten	1685575	Kathleen V. Kudlinski	/authors/OL124792A	/authors/OL124792A	0	UNRESOLVED			
/works/OL1236820W	The most beautiful thing in the world	Swift, Fletcher Harper	42308625	Darnell Lamont Walker	/authors/OL124853A	/authors/OL124853A	0	UNRESOLVED			
/works/OL123816W	Raintree County	Ross Lockridge	249300	Ross Lockridge Jr.	/authors/OL1240736A	/authors/OL1240736A	0	OL_ALIAS_MATCH	Ross Lockridge Jr.	Ross Lockridge Jr. | Ross Lockridge,Jr	OL_ALTERNATE_NAME
/works/OL1238544W	Death of an Author	Cecil John Charles Street	491542	John Rhode	/authors/OL6001513A	/authors/OL6001513A	0	OL_ALIAS_MATCH	John Rhode	John RHODE | John Rhode | john rhode	OL_ALTERNATE_NAME
/works/OL12460671W	Spirit fire	Lereine Ballantyne	6173473	Glen R. Stott	/authors/OL3783377A	/authors/OL3783377A	0	UNRESOLVED			
/works/OL12484288W	The golden queen	Edward A. Sloane	325549	Dave Wolverton | David Farland	/authors/OL5521768A	/authors/OL5521768A	0	UNRESOLVED			
/works/OL1252065W	The heart of the wild	S. L. Bensusan	22290440	Francesco Nepitello | Gareth Ryder-Hanrahan	/authors/OL126446A	/authors/OL126446A	0	UNRESOLVED			
/works/OL1262018W	Gin and bitters	Jane Lane	55470017	John Gray	/authors/OL127437A	/authors/OL127437A	0	UNRESOLVED			
/works/OL12627W	The Secret Valley	Clyde Robert Bulla	7024527	Trevor Bolton	/authors/OL22548A	/authors/OL22548A	0	UNRESOLVED			
/works/OL12844W	The Bedside Book of Famous British Stories	Cerf, Bennett	5429091	Various	/authors/OL22585A	/authors/OL22585A	0	UNRESOLVED			
/works/OL12918615W	Pine Lake	Millie Magwood	55986495	Amanda Stevens	/authors/OL5848371A	/authors/OL5848371A	0	UNRESOLVED			
/works/OL1294478W	Young hearts	David Malets	41255752	Nick  Sweet	/authors/OL5550061A	/authors/OL5550061A	0	UNRESOLVED			
/works/OL1295622W	Rue Notre-Dame	Daniel Pezeril	1761740	Michel David	/authors/OL131483A	/authors/OL131483A	0	UNRESOLVED			
/works/OL13049709W	The king's arrow	H. A. Cody	624769	Michael Cadnum	/authors/OL1529942A	/authors/OL1529942A	0	UNRESOLVED			
/works/OL1333815W	Clerical error	C. E. Vulliamy	40773741	Robert Bevan	/authors/OL136037A	/authors/OL136037A	0	UNRESOLVED			
/works/OL1344552W	Ditte, daughter of Man	Martin Andersen Nexø	49543967	Arthur G. Chater | Martin Andersen Nexo | Richard Thirsk	/authors/OL137086A	/authors/OL137086A	0	OL_ALIAS_MATCH	Martin Andersen Nexo	Martin Andersen Nexo | Martin Andersen Nexö	OL_ALTERNATE_NAME
/works/OL1347392W	Some flowers	Sackville-West, V.	1801875	Vita Sackville-West	/authors/OL137459A	/authors/OL137459A	0	DIRECT_NAME_MATCH	Vita Sackville-West	Vita Sackville-West	OL_NAME_OR_PERSONAL_NAME
/works/OL136128W	Trips to the Moon	Lucian	3593172	Loukianos o Samosateus | Lucian of Samosata	/authors/OL44109A	/authors/OL44109A	0	DIRECT_NAME_MATCH	Lucian of Samosata	Lucian of Samosata	OL_NAME_OR_PERSONAL_NAME
/works/OL13718395W	Mrs. May	Thomas Le Breton	24661745	David Pick	/authors/OL6566964A	/authors/OL6566964A	0	UNRESOLVED			
/works/OL137351W	The truce of God	Mary Roberts Rinehart	293690	Robert Cantuar | Rowan Williams	/authors/OL22028A	/authors/OL22028A	0	UNRESOLVED			
/works/OL13738769W	Schoolgirl	Carman Barnes	17468674	Osamu Dazai	/authors/OL6581316A	/authors/OL6581316A	0	UNRESOLVED			
/works/OL13788283W	Can such things be?	William Gleeson	1232123	Ambrose Bierce	/authors/OL6628652A	/authors/OL6628652A	0	UNRESOLVED			
/works/OL13788284W	Vice and virtue	William Gleeson	16205902	Veronica Bennett	/authors/OL6628652A	/authors/OL6628652A	0	UNRESOLVED			
/works/OL13791871W	The light heart	Hewlett, Maurice Henry	343514	Elswyth Thane	/authors/OL18237A	/authors/OL18237A	0	UNRESOLVED			
/works/OL1395812W	Ferdinand And Isabella	Kesten, Hermann	48292007	Malveena McKendrick	/authors/OL143484A	/authors/OL143484A	0	UNRESOLVED			
/works/OL142081W	Wolfram von Eschenbach	Rachbauer, Mary Aloysia	17129761	Wolfram von Eschenbach	/authors/OL2074827A	/authors/OL2074827A	0	UNRESOLVED			
/works/OL1442138W	Inhale & exhale	Saroyan, William	24089724	Sarah M. Ross	/authors/OL151016A	/authors/OL151016A	0	UNRESOLVED			
/works/OL1458036W	Bras de Fer	Louis Gabriel-Robinet	21879203	Jerome Bourgine	/authors/OL154114A	/authors/OL154114A	0	UNRESOLVED			
/works/OL1483324W	No resting place	Niall, Ian.	5991308	William Humphrey	/authors/OL157917A	/authors/OL157917A	0	UNRESOLVED			
/works/OL14848044W	You can't escape	Faith Baldwin	42295341	Nancy Bush	/authors/OL19277A	/authors/OL19277A	0	UNRESOLVED			
/works/OL14848054W	The Office Wife	Faith Baldwin	42370457	Mimi Wilde	/authors/OL19277A	/authors/OL19277A	0	UNRESOLVED			
/works/OL14848758W	The thunderer	Frederick Schiller Faust	47193050	E. Barrington	/authors/OL2748402A	/authors/OL2748402A	0	UNRESOLVED			
/works/OL14848908W	Marbleface	Frederick Schiller Faust	4472498	Max Brand	/authors/OL2748402A	/authors/OL2748402A	0	OL_ALIAS_MATCH	Max Brand	Max Brand (pseud.)	OL_EXPLICIT_PSEUDONYM_ALIAS
/works/OL14848923W	Singing guns	Frederick Schiller Faust	4496633	Max Brand	/authors/OL2748402A	/authors/OL2748402A	0	OL_ALIAS_MATCH	Max Brand	Max Brand (pseud.)	OL_EXPLICIT_PSEUDONYM_ALIAS
/works/OL14848954W	The man from Mustang	Frederick Schiller Faust	4732881	Max Brand	/authors/OL2748402A	/authors/OL2748402A	0	OL_ALIAS_MATCH	Max Brand	Max Brand (pseud.)	OL_EXPLICIT_PSEUDONYM_ALIAS
/works/OL14848971W	The border kid	Frederick Schiller Faust	5565415	Max Brand	/authors/OL2748402A	/authors/OL2748402A	0	OL_ALIAS_MATCH	Max Brand	Max Brand (pseud.)	OL_EXPLICIT_PSEUDONYM_ALIAS
/works/OL14848973W	The fighting four	Frederick Schiller Faust	6901381	Max Brand	/authors/OL2748402A	/authors/OL2748402A	0	OL_ALIAS_MATCH	Max Brand	Max Brand (pseud.)	OL_EXPLICIT_PSEUDONYM_ALIAS
/works/OL1487535W	The rebel queen	Besant, Walter	56909508	J.D.   Smith	/authors/OL158906A	/authors/OL158906A	0	UNRESOLVED			
/works/OL1492608W	The silver cross	Eugène Sue	25376129	June Winton	/authors/OL159353A	/authors/OL159353A	0	UNRESOLVED			
/works/OL14942914W	Through Russia	C. J. Hogarth	2078313	Maxim Gorky				OL_AUTHOR_KEY_AMBIGUOUS			
/works/OL15009828W	A hole in the wall	Louisa May Alcott	46638137	Hans Wilhelm	/authors/OL26680A	/authors/OL26680A	0	UNRESOLVED			
/works/OL15042506W	Prairie-Dog Town	Baum, L. Frank	2055561	Bettye Rogers	/authors/OL23431A	/authors/OL23431A	0	UNRESOLVED			
/works/OL15053780W	Within the hollow crown	Margaret Campbell	3401709	Margaret Campbell Barnes	/authors/OL1314365A	/authors/OL1314365A	0	OL_ALIAS_MATCH	Margaret Campbell Barnes	Margaret Campbell Barnes	OL_ALTERNATE_NAME
/works/OL1506020W	Bird Girl	Flora Warren Seymour	20606939	Rob Waring	/authors/OL160581A	/authors/OL160581A	0	UNRESOLVED			
/works/OL15061204W	The Movie Star Mystery	Gertrude Chandler Warner	847416	Irene Kilpatrick	/authors/OL23048A	/authors/OL23048A	0	UNRESOLVED			
/works/OL15096909W	Spill the jackpot!	Erle Stanley Gardner	3275095	A.A. Fair	/authors/OL23222A	/authors/OL23222A	0	OL_ALIAS_MATCH	A.A. Fair	A A.Fair | A. A. Fair | A.A. FAIR | A.A. Fair | A.A.Fair | a. a. fair | a.a. fair	OL_ALTERNATE_NAME
/works/OL15126588W	Great German short novels and stories	Cerf, Bennett	93958	Victor, Ed. Lange	/authors/OL22585A	/authors/OL22585A	0	UNRESOLVED			
/works/OL1513720W	Tom Swift and his Motor Cycle	Howard Roger Garis	1635593	Victor Appleton	/authors/OL160777A	/authors/OL160777A	0	OL_ALIAS_MATCH	Victor Appleton	Victor Appleton	OL_ALTERNATE_NAME
/works/OL15138283W	Duck and his friends.	Kathryn Jackson	15991018	Heather Amery | Jenny Tyler | Stephen Cartwright	/authors/OL191519A	/authors/OL191519A	0	UNRESOLVED			
/works/OL15140363W	Frosty the snow man	Annie North Bedford	1413359	Walt Disney Company	/authors/OL247215A	/authors/OL247215A	0	UNRESOLVED			
/works/OL15140530W	The Gaunt Woman	Edmund Gilligan	18934655	John  Blackburn	/authors/OL2286607A	/authors/OL2286607A	0	UNRESOLVED			
/works/OL15143276W	In Sicily	Elio Vittorini	971373	Norman Lewis	/authors/OL289229A	/authors/OL289229A	0	UNRESOLVED			
/works/OL1515443W	Mirabeau	Pierre Nezelof	3956944	Paul Ferdinand Willert	/authors/OL160968A	/authors/OL160968A	0	UNRESOLVED			
/works/OL15160671W	Greatest short stories.	P.F. COLLIER & SON CORPORATION	40479612	Mulk Raj Anand	/authors/OL13593160A	/authors/OL13593160A	0	UNRESOLVED			
/works/OL15164397W	Those other people	Mary King O'Donnell	439491	Alice Childress	/authors/OL2214937A	/authors/OL2214937A	0	UNRESOLVED			
/works/OL1517797W	Portrait of a Spy	E. Temple Thurston	14870169	Dani'l Silva | Daniel Silva	/authors/OL161158A	/authors/OL161158A	0	UNRESOLVED			
