selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original	academic_reader_residual	residual_z	jstor_reader_residual	jstor_residual_z	academic_reader_residual_combined	configuration	academic_reader_configuration	ol_level_exploratory	hathi_level_exploratory	configuration_3way	log_academic_openalex	z_academic_openalex	log_academic_jstor	z_academic_jstor	log_reader_goodreads	z_reader_goodreads	log_bibliographic_ol	z_bibliographic_ol	log_digitization_hathi	z_digitization_hathi
The Call of the Wild	Jack London	1903	The Call of the Wild	Jack London	1903	/works/OL14942956W	143	122	use_title_author	canonical_preserved	1699	1	Q476871			5	4	1	0	/works/OL14942956W	40.0	26.0	1.0	9.0	1.0	3.0	0.7297297297297297	104.35135135135135	104.35135135135135	/works/OL14942956W	254249	7002	RATINGS_MAX	254249		1699	2	1700	1	1.0005885815185402	/works/OL14942956W|/works/OL43150565W	1699	1700	1	13	3	1713	14	1713	1	1	api	accepted	1	-0.8655939177232481	-0.8118836455756689	-1.975527130195908	-1.6270919097141257	-1.2194877776448974	reader_heavy	reader_heavy	high	low	reader_heavy__ol_high__hathi_low	4.657300967423282	0.4595630162292224	1.6094379124341005	-0.4797967869471867	12.446073313910809	0.975304974305157	7.446585099157725	1.4668459856685456	0.6931471805599453	-0.735997233902501
The Job	Sinclair Lewis	1918	The job	Sinclair Lewis	1905	/works/OL51141W	161	48	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	72	2		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		49	0	13	36	/works/OL51141W	40.0	0.0	0.0	16.0	24.0	0.0	0.0	0.0	0.0	/works/OL51141W	153	14	RATINGS_MAX	153	short_or_general_title|known_jstor_ambiguous_title	72	1	72	0	1.0	/works/OL51141W	72	72	0	0	1	72	0	72	2	2	api	accepted	2	-1.7789591913824043	-1.6685744250939525	-0.9549274216464784	-0.7865013131816988	-1.2275378691378256	reader_heavy	reader_heavy	low	low	reader_heavy__ol_low__hathi_low	0.0	-1.8517910919338687	0.0	-1.4800202472911517	5.0369526024136295	-0.8928893882901183	4.290459441148391	-0.3832774479157525	1.0986122886681096	-0.1916615135060486
The Mystery of the Cloomber	Arthur Conan Doyle	1889	The Mystery of Cloomber	Doyle, Arthur Conan	1895	/works/OL262473W	1	1	use_title_author	canonical_preserved	215	2	Q4449924	title_variant; author_variant_or_source_error; year_discrepancy		0	0	0	0	/works/OL262473W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL262473W	377	43	UNIQUE	377		215	1	215	0	1.0	/works/OL262473W	215	215	0	0	1	215	0	215	2	2	api	accepted	2	-1.5395548654236064	-1.4440251844555043	-1.273672420349616	-1.049027400889886	-1.2465262926726952	reader_heavy	reader_heavy	low	low	reader_heavy__ol_low__hathi_low	0.6931471805599453	-1.5077917252287183	0.0	-1.4800202472911517	5.934894195619588	-0.666475284958792	5.375278407684165	0.2526443146069869	1.0986122886681096	-0.1916615135060486
Grand Babylon Hotel	Arnold Bennett	1902	The Grand Babylon Hotel	Bennett, Arnold	1902	/works/OL109153W	1	0	use_title_author	ta_without_lit_terms|canonical_preserved	75	3	Q7737468	title_variant; author_variant_or_source_error		0	0	0	0	/works/OL109153W	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	/works/OL109153W	439	57	UNIQUE	439		75	1	75	0	1.0	/works/OL109153W	75	75	0	0	1	75	0	75	3	3	api	accepted	3	-2.309449471816727	-2.166147679714696	-1.327585904384903	-1.0934318498885789	-1.6297897648016373	reader_heavy	reader_heavy	low	high	reader_heavy__ol_low__hathi_high	0.0	-1.8517910919338687	0.0	-1.4800202472911517	6.0867747269123065	-0.6281789251884982	4.330733340286331	-0.3596688554099933	1.3862943611198906	0.1945508264011629
The Yearling	Marjorie Kinman Rawlings	1938	The Yearling	Marjorie Kinnan Rawlings	1938	/works/OL111382W	14	12	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	65	1	Q429806	author_variant_or_source_error; openalex:use_with_warning_short_title	The source list appears to spell Kinnan as Kinman.	2	2	0	0	/works/OL111382W	14.0	3.0	4.0	4.0	2.0	1.0	0.5384615384615384	7.538461538461538	7.538461538461538	/works/OL111382W	23079	883	UNIQUE	23079	short_or_general_title	65	1	65	0	1.0	/works/OL111382W	65	65	0	0	1	65	0	65	1	0	api	accepted	1	-2.1658870311561675	-2.0314933166181874	-1.6346477808570552	-1.3463354356469437	-1.6889143761325656	reader_heavy	reader_heavy	low	low	reader_heavy__ol_low__hathi_low	2.144580843850797	-0.7874652563491277	1.0986122886681096	-0.7972615173901539	10.046721720622037	0.370313465189861	4.189654742026425	-0.4423692447165793	0.6931471805599453	-0.735997233902501
White Fang	Jack London	1906	White Fang	Jack London	1905	/works/OL74504W	55	44	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	387	2	Q152267	year_discrepancy; openalex:use_with_warning_short_title		1	1	0	0	/works/OL74504W	40.0	22.0	5.0	10.0	2.0	1.0	0.6923076923076923	38.07692307692307	38.07692307692307	/works/OL74504W	117038	3149	UNIQUE	117038	short_or_general_title	387	2	393	6	1.0155038759689925	/works/OL74504W|/works/OL34511165W	387	393	0	0	2	393	6	393	2	2	api	accepted	2	-1.465334382688702	-1.374410097212636	-2.6164259864381507	-2.1549517036889005	-1.7646809004507682	reader_heavy	reader_heavy	high	low	reader_heavy__ol_high__hathi_low	3.665532090116945	-0.0326381717430812	0.6931471805599453	-1.049247450085954	11.670262491570014	0.7796858905873811	5.976350909297934	0.604993505044537	1.0986122886681096	-0.1916615135060486
The Prisoner of Zenda	Anthony Hope	1894	The Prisoner of Zenda	Anthony Hope	1939	/works/OL245401W	14	12	use_with_warning_risky_author	observed_risky_author_last:hope|canonical_preserved	627	19		year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		2	1	1	0	/works/OL245401W	14.0	5.0	1.0	8.0	0.0	0.0	0.4285714285714285	6.0	6.0	/works/OL245401W	15006	724	MANUAL_FIX	15006		627	1	627	0	1.0	/works/OL245401W	627	627	0	0	1	627	0	627	15	15	corrected_metadata_retry	accepted_after_identity_correction	19	-2.147045284964327	-2.0138207044682788	-1.8873148845065817	-1.5544381713245223	-1.7841294378964003	reader_heavy	reader_heavy	high	high	reader_heavy__ol_high__hathi_high	1.9459101490553128	-0.8860627766294662	0.6931471805599453	-1.049247450085954	9.616272037895987	0.2617764738297584	6.442540166468199	0.8782740276331	2.772588722239781	2.055646947008491
Tarzan of the Apes	Edgar Rice Burroughs	1917	Tarzan of the Apes	Edgar Rice Burroughs	1912	/works/OL1418251W	17	15	use_title_author	canonical_preserved	226	2	Q655296	year_discrepancy		1	1	0	0	/works/OL1418251W	17.0	11.0	1.0	4.0	1.0	0.0	0.7058823529411765	12.0	12.0	/works/OL1418251W	33024	2025	YEAR_AUTH	33024		226	2	245	19	1.084070796460177	/works/OL1418251W|/works/OL1418064W	226	245	1	13	3	258	32	258	2	2	api	accepted	2	-1.9265718778349463	-1.807027715437688	-2.167299141058181	-1.785039974620058	-1.7960338450288726	reader_heavy	reader_heavy	low	low	reader_heavy__ol_low__hathi_low	2.5649493574615367	-0.5788421723627478	0.6931471805599453	-1.049247450085954	10.405020129390524	0.4606576630309685	5.556828061699537	0.359068869789247	1.0986122886681096	-0.1916615135060486
The Jungle Book	Rudyard Kipling	1894	The Jungle Book	Kipling, Rudyard	1893	/works/OL19870W	83	61	use_title_author	canonical_preserved	538	21	Q189509	author_variant_or_source_error; year_discrepancy		1	0	0	1	/works/OL19870W	40.0	18.0	4.0	16.0	1.0	1.0	0.5641025641025641	46.82051282051282	46.82051282051282	/works/OL19870W	83283	2443	RATINGS_MAX	83283		538	3	541	3	1.0055762081784387	/works/OL44238347W|/works/OL34198769W|/works/OL19870W	538	541	1	71	4	612	74	612	21	20	title_fallback_reviewed	accepted	21	-1.0914781647837728	-1.0237517308597996	-3.1887933429432347	-2.6263672974912136	-1.8250595141755064	reader_heavy	reader_heavy	high	high	reader_heavy__ol_high__hathi_high	3.867454685948269	0.0675732220814201	0.0	-1.4800202472911517	11.330011732875084	0.6938923701395026	6.418364935936212	0.8641024877877117	3.091042453358316	2.483170148573601
The Scarlet Pimpernel	Emma Orczy	1905	The Scarlet Pimpernel	Orczy, Emmuska Orczy	1900	/works/OL1253285W	8	3	use_title_author	canonical_preserved	591	5	Q1249536	author_variant_or_source_error; year_discrepancy	Emma Orczy and Emmuska Orczy are name variants; the two year fields are retained separately.	1	1	0	0	/works/OL1253285W	8.0	1.0	1.0	6.0	0.0	0.0	0.25	2.0	2.0	/works/OL1253285W	105194	5173	UNIQUE	105194		591	1	591	0	1.0	/works/OL1253285W	591	591	0	0	1	591	0	591	5	5	title_fallback_reviewed	accepted	5	-3.9783414577536376	-3.731484591021052	-2.5785534078904964	-2.1237589322948724	-2.927621761657962	reader_heavy	reader_heavy	high	high	reader_heavy__ol_high__hathi_high	1.0986122886681096	-1.30656499543438	0.6931471805599453	-1.049247450085954	11.56357104963912	0.7527838656219681	6.3835066348840055	0.8436685232945806	1.791759469228055	0.7388865467976155
Jude the Obscure	Thomas Hardy	1895	Jude the obscure	Hardy, Thomas	1895	/works/OL39453744W	343	273	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	1	17	Q1248773	author_variant_or_source_error; openalex:use_with_warning_risky_author		69	68	1	0	/works/OL39453744W	40.0	30.0	1.0	4.0	1.0	4.0	0.8611111111111112	295.36111111111114	295.36111111111114	/works/OL39453744W	51099	2372	UNIQUE	51099		1	5	435	434	435.0	/works/OL40623217W|/works/OL39453744W|/works/OL40732923W|/works/OL41547386W|/works/OL44986W	1	435	0	0	5	435	434	435	17	16	title_fallback_reviewed	accepted	17	0.9794777639454156	0.9187009768321416	1.218707505314662	1.0037569678978433	0.9612289723649924	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	5.691578680735352	0.972860752056676	4.23410650459726	1.151365919751542	10.841539776191796	0.5707251831957769	6.077642243349034	0.6643705676375251	2.8903717578961645	2.213770327497732
Mrs. Dalloway	Virginia Woolf	1925	Mrs. Dalloway	Virginia Woolf	1925	/works/OL39349W	740	576	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	476	4	Q752584	openalex:use_with_warning_short_title		84	83	0	1	/works/OL39349W	40.0	32.0	2.0	2.0	4.0	0.0	0.85	629.0	629.0	/works/OL39349W	163735	6587	UNIQUE	163735	short_or_general_title	476	1	476	0	1.0	/works/OL39349W	476	476	0	0	1	476	0	476	4	4	api	accepted	4	1.1451949515950677	1.07413538052739	1.0020621079026255	0.8253225804283231	0.9497289804778564	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	6.4457198193855785	1.3471305772508122	4.430816798843313	1.273616209542776	12.006010653659285	0.8643440906749529	6.1675164908883415	0.7170549248101432	1.6094379124341005	0.4941203906558518
To the Lighthouse	Virginia Woolf	1927	To the Lighthouse	Virginia Woolf	1927	/works/OL39396W	634	507	use_title_author	canonical_preserved	521	2	Q478016			64	62	2	0	/works/OL39396W	40.0	27.0	1.0	4.0	4.0	4.0	0.7777777777777778	493.1111111111112	493.1111111111112	/works/OL39396W	97741	4946	UNIQUE	97741		521	1	521	0	1.0	/works/OL39396W	521	521	0	0	1	521	0	521	2	0	api	accepted	2	1.1629394036665577	1.090778785872054	0.8975191199070234	0.7392184478224009	0.9149986168472276	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	6.202760413174477	1.2265531815465385	4.143134726391533	1.094829345033378	11.490086633066197	0.7342549229679345	6.257667587882639	0.7699015713589631	1.0986122886681096	-0.1916615135060486
Jacob's Room	Virginia Woolf	1922	Jacob's Room	Virginia Woolf	1922	/works/OL39329W	160	125	use_title_author	canonical_preserved	309	1	Q1677745			19	19	0	0	/works/OL39329W	40.0	28.0	1.0	4.0	2.0	5.0	0.8285714285714286	132.57142857142858	132.57142857142858	/works/OL39329W	6378	472	UNIQUE	6378	short_or_general_title	309	1	309	0	1.0	/works/OL39329W	309	309	0	0	1	309	0	309	1	1	api	accepted	1	1.2339801864484832	1.1574114741668668	0.7189515102880546	0.5921458470430828	0.8747786606049748	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	4.894636380233374	0.577349301729833	2.995732273553991	0.3817488074632089	8.760766624241956	0.0460625648259406	5.736572297479192	0.464435087329961	0.6931471805599453	-0.735997233902501
The Portrait of a Lady	Henry James	1881	The Portrait of a Lady	James, Henry	1881	/works/OL276365W	396	315	use_title_author	canonical_preserved	432	21	Q861017	author_variant_or_source_error		51	51	0	0	/works/OL276365W	40.0	33.0	2.0	4.0	0.0	1.0	0.8974358974358975	355.3846153846154	355.3846153846154	/works/OL276365W	60291	2153	YEAR_AUTH	60291		432	1	432	0	1.0	/works/OL276365W	432	432	0	0	1	432	0	432	21	17	title_fallback_reviewed	accepted	21	1.0803230593519446	1.0132888019050823	0.8771268902925127	0.7224229144583448	0.8678558581817137	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	5.876010527955112	1.0643917290601548	3.951243718581428	0.9755741153920962	11.00695470393042	0.6124342128530837	6.07073772800249	0.6603231351128512	3.091042453358316	2.483170148573601
The Sound and the Fury	William Faulkner	1929	The Sound and the Fury	William Faulkner	1929	/works/OL82870W	492	370	use_title_author	canonical_preserved	94	2	Q135515			95	92	1	2	/works/OL82870W	40.0	31.0	0.0	5.0	1.0	3.0	0.8378378378378378	412.2162162162162	412.2162162162162	/works/OL82870W	135300	5630	YEAR_AUTH	135300		94	1	94	0	1.0	/works/OL82870W	94	94	1	6	2	100	6	100	2	0	api	accepted	2	0.8198365864267219	0.7689655656490548	1.1715571213311455	0.964922771623411	0.8669441686362329	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	6.023970981916389	1.1378224576089877	4.532599493153256	1.336871485138871	11.815257205114566	0.816246005747836	4.61512051684126	-0.1929608606823663	1.0986122886681096	-0.1916615135060486
Sons and Lovers	D. H. Lawrence	1913	Sons and Lovers	Lawrence, D. H.	1913	/works/OL81295W	299	220	use_title_author	canonical_preserved	332	9	Q80771	author_variant_or_source_error		49	47	1	1	/works/OL81295W	40.0	33.0	1.0	2.0	3.0	1.0	0.8717948717948718	260.6666666666667	260.6666666666667	/works/OL81295W	39315	1546	RATINGS_MAX	39315		332	4	335	3	1.0090361445783131	/works/OL81295W|/works/OL29261792W|/works/OL33113237W|/works/OL16650231W	332	335	0	0	4	335	3	335	9	6	title_fallback_reviewed	accepted	9	0.9874401770018676	0.9261693205987606	0.9488592193976384	0.7815033950895204	0.8538363578441405	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	5.567071429114299	0.9110695237157612	3.8712010109078903	0.9258296714306372	10.57938683968652	0.5046238660236901	5.817111159963204	0.5116470341730018	2.302585092994046	1.4246684509595162
Parades End	Ford Maddox Ford	1924	Parade's End	Ford Madox Ford	1950	/works/OL509919W	102	84	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	24	2		title_variant; author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved	Title punctuation and author spelling vary; the two year fields are retained separately.	30	30	0	0	/works/OL509919W	40.0	18.0	5.0	15.0	1.0	1.0	0.5897435897435898	60.15384615384615	60.15384615384615	/works/OL509919W	4661	413	UNIQUE	4661	short_or_general_title	24	0	0	-24	0.0		24	0	0	0	1	24	0	24	2	0	api	accepted	2	0.6111863981464509	0.5732621624220495	1.2685141827210478	1.0447789516605444	0.8090205570412969	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	4.113392757192795	0.1896288880778662	3.4339872044851463	0.654112755237873	8.447199819595703	-0.0330026521610248	3.218875824868201	-1.0114406373292717	1.0986122886681096	-0.1916615135060486
McTeague	Frank Norris	1899	McTeague	Frank Norris	1899	/works/OL1794911W	73	60	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	289	1	Q11772710	openalex:use_with_warning_short_title		34	34	0	0	/works/OL1794911W	40.0	27.0	1.0	4.0	6.0	2.0	0.7368421052631579	53.78947368421052	53.78947368421052	/works/OL1794911W	4670	429	UNIQUE	4670	short_or_general_title	289	1	289	0	1.0	/works/OL1794911W	289	289	0	0	1	289	0	289	1	0	api	accepted	1	0.5003171602998586	0.4692723825009449	1.3891904243250903	1.1441708220162672	0.8067216022586061	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	4.003498089448528	0.1350896831751475	3.555348061489413	0.7295353455753475	8.449128460502108	-0.0325163493716499	5.66988092298052	0.4253405492323351	0.6931471805599453	-0.735997233902501
