OL1001635A	Peter Cheyney
OL1520975A	Andrew Dabb
OL1521335A	Edward Prime-Stevenson
OL1522965A	Karl Gjellerup
OL152307A	Hugh Lofting
OL152441A	Natalia Ginzburg
OL15264001A	Sun Tzu 
OL15278940A	James Lane Allen
OL152794A	Heinrich von Kleist
OL15305154A	john steinbek
OL15317023A	John Steinback
OL15320071A	thornton w. bergess
OL153336A	Nordhoff, Charles
OL153463A	Spyri, Johanna
OL15366369A	艾秋
OL15377595A	Ross MacDonald
OL154163A	Kathryn Forbes
OL15420710A	robert l stevenson
OL15432707A	johnb galsworthy
OL15484913A	Ueda Akinari
OL1549954A	George Bellairs
OL1550974A	Elswyth Thane
OL1553131A	E. M. Hull
OL15553295A	F. C. Yohn
OL155650A	John Uri Lloyd
OL15698A	Romain Rolland
OL157251A	C. W. Anderson
OL157323A	Marguerite Henry
OL15745937A	Nicholas Blake
OL15863855A	高玮
OL158906A	Walter Besant
OL158938A	Marie Corelli
OL159292A	Edward Payson Roe
OL159349A	William Gilmore Simms
OL159362A	George Alfred Townsend
OL159397A	Elizabeth Stuart Phelps
OL1596095A	Clemence Housman
OL159722A	Renard, Jules
OL1602527A	Austin Tappan Wright
OL160356A	William Maxwell
OL1603793A	Emerson Hough
OL1603888A	Benedict Freedman
OL160435A	Sarah Bernhardt
OL160588A	George Sylvester Viereck
OL1606330A	Mary Buff
OL160777A	Howard Roger Garis
OL160822A	Stanisław Przybyszewski
OL160910A	Johnny Gruelle
OL160918A	W. W. Jacobs
OL1609306A	Leslie Klinger
OL160959A	Elsa Beskow
OL161160A	Edgar Wallace
OL161167A	Arthur Conan Doyle
OL161177A	Dodie Smith
OL161278A	Michael Arlen
OL161324A	Carolyn Sherwin Bailey
OL16137761A	殷雄
OL161448A	Helen Bannerman
OL161483A	Edwin Markham
OL161522A	Nathaniel Southgate Shaler
OL161946A	José de Alencar
OL161973A	J. H. Patterson
OL162026A	Lois Lenski
OL162057A	Robert W. Chambers
OL162098A	Carlo Collodi
OL162099A	Charles G. D. Roberts
OL162260A	Margaret Sidney
OL1637A	Pramoedya Ananta Toer
OL164418A	Émile Gaboriau
OL165068A	John Henry Mackay
OL1652971A	Brinton Turkle
OL1653139A	Fred Gipson
OL1654215A	Beirne Lay
OL1654938A	Percy Marks
OL1656392A	Otis Adelbert Kline
OL1657287A	W. R. Burnett
OL1658996A	Dorothea Brande
OL1664498A	Burton Egbert Stevenson
OL1670901A	Janet Lewis
OL16933A	Annie Wood Besant
OL1693654A	M. P. Shiel
OL169398A	Theodor Herzl
OL16944A	Denis Diderot
OL1699565A	Barbara Baynton
OL170489A	Илья́ Григо́рьевич Эренбу́рг
OL170638A	Aleksey Konstantinovich Tolstoy
OL1706751A	Earl Derr Biggers
OL173760A	نجيب محفوظ
OL1744917A	Robert Bly
OL1745911A	Gerda Charles
OL1755393A	Bill Blackbeard
OL1756370A	Anthony Kerrigan
OL1758190A	John McElroy
OL1759742A	Virgil Scott
OL1766758A	James Branch Cabell
OL1767891A	Elizabeth Garver Jordan
OL1770058A	Ernest Poole
OL1770A	Rabindranath Tagore
OL177106A	Manuel Antônio de Almeida
OL1773791A	Richard Garnett
OL177573A	E. H. Young
OL178062A	José Rizal
OL1794738A	Mircea Eliade
OL1795A	Bāṇa.
OL17969A	Frank G. Slaughter
OL1800686A	Dorothy Baker
OL1803830A	Lieberman, Elias
OL180430A	Achdiat K. Mihardja
OL18053A	Edith Nesbit
OL18065A	Roberts, Kenneth Lewis
OL180670A	William Henry Hudson
OL1808733A	George Randolph Chester
OL18092A	Walter Crane
OL1810465A	Jane Barlow
OL1810794A	Richard Malcolm Johnston
OL1811398A	Hjalmar Hjorth Boyesen
OL18113A	Flora Annie Webster Steel
OL181680A	Charles Neider
OL1820826A	Margaret Ayer Barnes
OL1821506A	Margaret Wilson
OL1822462A	Joseph Lewis French
OL1822558A	Leslie McFarlane
OL18236A	Alexandre Dumas
OL18271A	Charles Lamb
OL18277A	Thomas Hardy
OL18283A	Daniel Defoe
OL183045A	W. O. Mitchell
OL18319A	Mark Twain
OL1834084A	Marguerite Audoux
OL18365A	Georg Ebers
OL183694A	Eliza Leslie
OL18374A	Arthur Schnitzler
OL18394A	Edward Bulwer Lytton, Baron Lytton
OL18405A	Ralph Waldo Emerson
OL18524A	Gilbert Keith Chesterton
OL18528A	John Buchan
OL18539A	Henri Bergson
OL185757A	Mrs. O. F. Walton
OL1867587A	H. C. Bunner
OL187190A	Kate O'Brien
OL1872302A	H. C. Bailey
OL188320A	Marcia Brown
OL18928A	Jorge Luis Borges
OL18973A	Marjorie Kinnan Rawlings
OL18977A	Nora Roberts
OL18979A	Michael Connelly
OL1900249A	Mary Austin
OL190100A	Paul Auster
OL19013A	Janice May Udry
OL19024A	Upton Sinclair
OL19066A	A. S. Byatt
OL19074A	Robert Bright
OL19091A	Grace Maccarone
OL1909570A	Helen Caldwell
OL1910964A	Howard Overing Sturgis
OL191519A	Kathryn Jackson
OL1915327A	Melville Davisson Post
OL191538A	John Glassco
OL19164A	Thornton W. Burgess
OL1916845A	Thomas Charles Bridges
OL1917365A	Hope Muntz
OL1917858A	Elizabeth Louisa "Lily" Moresby
OL1921722A	Juan Cabreros Laya
OL19258A	Kathryn Lasky
OL1925998A	Charles Yale Harrison
OL1926970A	Hope Mirrlees
OL19277A	Faith Baldwin
OL19283A	Grace Livingston Hill
OL193022A	Edward E. Smith
OL1932309A	Maria José Dupré
OL194404A	Jimmy Breslin
OL19441A	Joseph Conrad
OL19447A	Albert Payson Terhune
OL19450A	Virginia Woolf
OL19464A	Mickey Spillane
OL19482A	Louis L'Amour
OL19493A	Sinclair Lewis
OL19499A	Christopher Isherwood
OL19512A	Emily Dickinson
OL195150A	Miguel Torga
OL19515A	She Lao
OL1957827A	Adolphe Danziger De Castro
OL19603A	Booth Tarkington
OL1960944A	Percy Keese Fitzhugh
OL1962952A	John Thomas McIntyre
OL1964240A	Anya Seton
OL1967605A	Irving Bacheller
OL19676A	Marie Hall Ets
OL19677A	Антон Павлович Чехов
OL1968582A	Morton Thompson
OL19690A	Henry David Thoreau
OL19697A	David Mamet
OL197120A	Laura Ingalls Wilder
OL19725A	Washington Irving
OL19728A	Cynthia Rylant
OL197515A	Dorothy L. Sayers
OL19767A	Aldous Huxley
OL19804A	Abraham Lincoln
OL19826A	Bradford, Richard
OL1982733A	Azevedo, Aluizio
OL198302A	B. F. Skinner
OL19887A	Margaret Weis
OL19905A	Piers Anthony
OL199477A	Viktor Dyk
OL1996284A	Howard Haycraft
OL19964A	D. H. Lawrence
OL19981A	Stephen King
OL2001023A	Robert S. Rudder
OL200403A	Pamela L. Travers
OL2006357A	Eleanor Gates
OL2007361A	Blackwell North America.
OL200810A	Anna Kavan
OL20157A	Friedrich Nietzsche
OL2018224A	Eleanor Hallowell Abbott
OL20187A	Kurt Vonnegut
OL20188A	Edith Wharton
OL20216A	Will James
OL202406A	Lorenzo Carcaterra
OL20243A	Graham Greene
OL20246A	Owen Wister
OL2029144A	Harold Raymond Wayne Benjamin
OL2029529A	Schweikert, Harry Christian
OL203016A	Margaret Laurence
OL2035417A	Nikolai Ognev
OL20371A	Marguerite Yourcenar
OL20510A	Sylvia Townsend Warner
OL20519A	Charles Waddell Chesnutt
OL20520A	Marguerite de Angeli
OL2055261A	Giovanni Boccaccio
OL20585A	Edwin Abbott Abbott
OL20646A	Oscar Wilde
OL20651A	Joan Aiken
OL20687A	Sue Grafton
OL2074201A	Lloyd Osbourne
OL2074323A	Boyd Cable
OL2080245A	Graeme Wilson
OL208306A	Dhan Gopal Mukerji
OL2089021A	David McDuff
OL2089100A	Peter Newell
OL20903A	James Thurber
OL20919A	Alberto Moravia
OL20922A	Ellery Queen
OL209280A	James Lane Allen
OL20928A	Robert Penn Warren
OL2095290A	Ernst Jünger
OL20994A	Frederick Forsyth
OL21001A	Henry James
OL21003A	Joyce Cary
OL2101175A	O. Henry
OL2101371A	Charles Tritten
OL2101770A	Manning Coles
OL2103009A	Adrian H. Jaffe
OL2103656A	Henry A. Shute
OL21051A	Jean Giono
OL21093A	Ambrose Bierce
OL21095A	Gertrude Stein
OL2120425A	Arthur Bowie Chrisman
OL21207A	William Butler Yeats
OL21218A	Carolyn Keene
OL21219A	Franklin W. Dixon
OL21241A	Ann Lane Petry
OL21250A	Lawrence Durrell
OL21256A	Catherine Cookson
OL21305A	Maeve Binchy
OL2132331A	Frances Crane
OL2141558A	Winifred Watson
OL2143168A	Adrienne Adams
OL2143631A	Mary Jane Ward
OL2144159A	Chauncey L. Canfield
OL2144327A	Yei Theodora Ozaki
OL2146415A	Henry Mills Alden
OL21491A	Jack Kerouac
OL215610A	Jerome Klapka Jérôme
OL215676A	Arlo Bates
OL215689A	G. A. Henty
OL21569A	Arthur Miller
OL215710A	Eliot Gregory
OL215713A	Frank Norris
OL215729A	Edward Noyes Westcott
OL215730A	Joseph A. Altsheler
OL215741A	Juliana Horatia Gatty Ewing
OL215743A	Hamlin Garland
OL215774A	Frederic Remington
OL215786A	Bernard Capes
OL215791A	Francis Marion Crawford
OL215808A	Gilbert Parker
OL215819A	Robert Barr
OL215831A	Grant Allen
OL215841A	Paul Laurence Dunbar
OL215842A	Martha Finley
OL215843A	Joseph Smith Fletcher
OL215860A	Stanley Waterloo
OL215909A	Finley Peter Dunne
OL2159140A	Jane G. Austin
OL215919A	E. W. Hornung
OL215921A	Fergus Hume
OL215934A	Laura Elizabeth Howe Richards
OL21594A	Jane Austen
OL215957A	Harry Castlemon
OL2159828A	I. A. R. Wylie
OL216004A	Richard Voss
OL216025A	Mary Hartwell Catherwood
OL216064A	Helen Hunt Jackson
OL216130A	Arthur Symons
OL216536A	Eric Foner
OL2166770A	H. E. Bates
OL216755A	Jeffrey Archer
OL2179534A	Enid LaMonte Meadowcroft
OL2180760A	Brett Halliday
OL218190A	Hulbert Footner
OL21831A	William Faulkner
OL21836A	Karl May
OL218440A	Norman Mailer
OL218444A	Mitch Albom
OL218673A	Nichols, Beverley
OL218707A	Rumer Godden
OL2187724A	Charles Green Shaw
OL2188025A	Al Graham
OL2188762A	Dorothy Whipple
OL2189290A	Eleanore Myers Jewett
OL2190097A	Laura Adams Armer
OL219070A	Dave McKean
OL219597A	Gaston Leroux
OL21970A	Winston S. Churchill
OL2197124A	Илья Арнольдович Ильф
OL22012A	Larry McMurtry
OL22013A	Rosamunde Pilcher
OL220198A	Judy Blume
OL22019A	V. C. Andrews
OL22022A	Barbara Cartland
OL220263A	Jacob A. Riis
OL220275A	Marilyn Sachs
OL22027A	Margaret Millar
OL22028A	Mary Roberts Rinehart
OL22032A	Rex Stout
OL2204640A	Darwin L. Teilhet
OL2205533A	Cornell Woolrich
OL22061A	Charles Monroe Sheldon
OL22098A	Lewis Carroll
OL221009A	Lois Lowry
OL221111A	Karen Hesse
OL221159A	E. E. Cummings
OL22122A	Margaret Wise Brown
OL221263A	Angela Mackail Thirkell
OL22132A	Beverly Cleary
OL2215266A	Kingsley Amis
OL22157A	Harriet Beecher Stowe
OL22182A	Christopher Priest
OL22242A	Фёдор Михайлович Достоевский
OL22256A	Evan Hunter
OL22258A	James Patterson
OL222977A	George Santayana
OL22304A	Andrey Bely
OL223134A	Anita Loos
OL2235227A	Herbert A. Wise
OL22358A	Wilkie Collins
OL223733A	John Kendrick Bangs
OL2241004A	Edna L. Mooney Lee
OL2241452A	William D. Gann
OL2241940A	William Lindsay Gresham
OL22420A	Carson McCullers
OL2242182A	Marguerite Mooers Marshall
OL2242229A	Lucy Agnes Hancock
OL2242548A	Helen Dore Boylston
OL22426A	Abraham Cahan
OL22437A	Dee Alexander Brown
OL2246757A	E. R. Punshon
OL2248940A	John Franklin Bardin
OL224896A	E. Pauline Johnson
OL22508A	Anzia Yezierska
OL225215A	Bess Streeter Aldrich
OL225246A	Sidney Sheldon
OL225331A	Colleen McCullough
OL22548A	Clyde Robert Bulla
OL22554A	Lloyd C. Douglas
OL2256559A	Carolyn Haywood
OL2256597A	Clement Hurd
OL2256955A	Martin L. Wolf
OL22583A	Willa Cather
OL2258506A	Phyllis Rowand
OL22586A	Mary Higgins Clark
OL2259074A	Dorothy Bussy
OL22593A	Frederick Buechner
OL226126A	Margaret Drabble
OL226255A	Arthur William Upfield
OL226273A	Zora Neale Hurston
OL2265484A	Alison Uttley
OL2266282A	Eleanor Atkinson
OL2269483A	Fredric Brown
OL2272182A	Clark E. Carr
OL2272490A	Max Maurey
OL227339A	Charles Santore
OL22736A	Martin Buber
OL227715A	Elizabeth Knox
OL227888A	Margaret Hodges
OL227971A	Edmund Wilson
OL2286931A	Charles S. Terry
OL228872A	Santiago Ramón y Cajal
OL22973A	Thomas Mann
OL2299257A	Michael McHugh
