filename	year	n_pages	n_footnotes	dominant_pattern	position_to_overcome_count	position_to_overcome_example	positive_alignment_count	positive_alignment_example	claim_assertion_count	claim_assertion_example	gap_identification_count	gap_identification_example	intervention_marker_count	intervention_marker_example
Bao et al 2023.pdf	2023	14	22	positive_alignment	1	"""Mediadetermineoursituation,""FriedrichKittlerfamouslywrote.1""New media are new environments,"" said Marshall McLuhan.2 Famous phrases, both, and we invoke them here less for their specific claims than "	4	Introduction: Medium/Environment Weihong Bao, Jacob Gaboury, and Daniel Morgan Ecological crises provoked by technological transformations under the pressure of capitalism have prompted a move toward 	1	"""Mediadetermineoursituation,""FriedrichKittlerfamouslywrote.1""New media are new environments,"" said Marshall McLuhan.2 Famous phrases, both, and we invoke them here less for their specific claims than "	0		0	
Barker 2024.pdf	2019	24	85	position_to_overcome	2		0		0		0		0	
Bashkin 2021.pdf	2020	29	59	claim_assertion	0		0		1	Muslim activists and community leaders were likewise quick to show theirsupporttoJewishvictimsofwhitenationalism,especiallyaftertheat- tacks on synagogues in Pittsburg and San Diego, comparing differe	0		0	
Batsaki 2024.pdf	2020	25	60	positive_alignment	0		2	Indeed, the Biennale installation incorporated and expanded elements of aprevious kudzu installation, Earthseed (2020), shown at the Museum für ModerneKunst(MMK)inFrankfurtduringthepandemic.Theartist'	0		0		0	
Belisle 2025.pdf	2022	8	8	positive_alignment	3	But millions of answers making up this meme prove otherwise.1 Sandwichexpertsmaytellusrulesofsubstanceandform,outlineexpansive taxonomies,reassureuswithcitationsaboutanEnglishEarl.Aseachentry attempts	4	Like the TikTok videos claiming to solve sandwichness once andforall,thisessayproposesacomprehensivetheoryofphotographicness.	1	"AmandaWasielewski'sessayonAIandphotographytakesupahot-dog- sandwichkindofquestion(seeAmandaWasielewski,""UnnaturalImages:On AI-GeneratedPhotographs,""CriticalInquiry51[Autumn2024]:1–29).Wasielewski asse"	0		0	
Benney 2020.pdf	2020	22	69	positive_alignment	1	Aesthetic Resources in Contemporary Chinese Politics Jonathan Benney Introduction TheChinesepartystatemakesextensiveuseofitsformerChairmanMao Zedong in the discourse it produces and approves—from the 	2		0		0		0	
Benoist 2019.pdf	2019	20	26	position_to_overcome	1	It is clear, indeed, that onecannotmakesenseofimprovisationwithoutfocusingonperformance, asitliesbeyondthemeresettingofanyrule.Improvisationmakesobvious the irreducibilityof performance, itsreliance o	1	Judgement and Beyond Jocelyn Benoist OnewayArnoldDavidsonbreaksthemoldistogivephilosophicalsignif- icance tothe questionof improvisation.Inparticular,inhisenduring dia- loguewithGeorgeLewis,Davidsonha	0		0		0	
Bering-Porter 2022.pdf	2022	24	42	positive_alignment	0		2	fi Data as Symbolic Form: Data cation and the Imaginary Media of W.	0		0		0	
Bernstein 2021.pdf	2020	3	0	position_to_overcome	5		3	Covidity Charles Bernstein 24 April 2020 The covid gonna get me If not now, it will The covid gonna kill me Find me where I live Buried under covers Sheltered in the hall Trading goodbyes to all my fr	0		0		0	
Bernstein 2024.pdf	2022	20	29	positive_alignment	0		3	I was there as a fieldworking anthropologist alongside an interna- tional group of scientists, futurists, and two film crews, well above the Arctic Circle, about 150 kilometers from the Arctic Ocean i	0		0		0	
Biagioli 2019.pdf	2019	27	43	positive_alignment	1		3	"CurtisandResnik,""ImagesofJustice,""pp.1748–49.Thisviewisechoedinmuchearlier sourceslikeJob31:6(""Letmebeweighedinanevenbalance,thatGodmayknowmineintegrity""); andtheKoran(""AndWewillsetupajustbalanceonthe"	0		0		0	
Blom 2019.pdf	2019	25	52	positive_alignment	1	And with the revolutionary graphicaluserinterfaceofIvanSutherland's1961Sketchpadprogram,even the somewhathumanoiddrawing arms oftheseand other 1950s and '60s computerpenplottersseemeddestinedforextinc	5	Like a good construction worker, he used plumblinesandyardstickstomakethelines,whichhedrewwithchalkdi- rectlyonthefloor,asstraightaspossible,repeatingtheexactingandtime- consumingprocedureoverandovera	0		0		0	
Blom Fuller 2025.pdf	2025	4	6	positive_alignment	0		1	Might we, instead, understand photographic conditions as a wider and more general set of environments in which image events occur withmanykindsofcausalityandmanifestation?	0		0		0	
Bode 2023.pdf	2023	23	50	positive_alignment	2	Attuned to the coconstitution of computational methods and ob- jects—witheachother,andwithliterarysubjectivitiesandtextualities—this CLSbuildsonandextendsexistingcriticalparadigmstoenableliterarystud-	5	' What s the Matter with Computational Literary Studies?	0		0		0	
Brady 2021.pdf	2020	3	0	positive_alignment	3	Hanging in the Air Andrea Brady 1 April 2020 Being less than an activity we empty out the life that hangs like code in the air, but for how long does it survive there if the air is white and lush, mor	7	Hanging in the Air Andrea Brady 1 April 2020 Being less than an activity we empty out the life that hangs like code in the air, but for how long does it survive there if the air is white and lush, mor	0		0		0	
Bremner 2020.pdf	2020	6	10	positive_alignment	1	116 Sabina Vaccarino Bremner / Introduction spirituality has irrevocably shaped both the initial and ensuing reaction to Foucault's reportage.4 In the following interview, never before published in fu	2	"' Introduction to Michel Foucault s "" "" Political Spirituality as the Will for Alterity Sabina Vaccarino Bremner In 1978, Michel Foucault planned a series of philosophical journalistic dispatches,arep"	0		0		0	
Brenkman 2021.pdf	2021	5	1	position_to_overcome	3	IadmireKramnick'sgeneralprojectofquestioningvariouscentrifugalten- dencies in literary studies that often weaken the discipline in the name of sweeping but shallow interdisciplinarity.1 Social theory,	3	"I A Response to Jonathan Kramnick, "" "" John Brenkman Jonathan Kramnick opens ""Criticism and Truth"" with a question as boldashistitle:""Doesliterarycriticismtelltruthsabouttheworld?""(Jon- athan Kramnick"	0		0		0	
Brilmyer 2024.pdf	2024	30	47	positive_alignment	1	For this change to be morethanatemporary detour,however—forit tobe fullyincorporated intoyoursexualrepertoire—whatbeganasadeviationmustbenormalized.	3	With effort or, alternatively, through an encounter, unforeseen, the pattern or script that gives you pleasure might change.	0		0		0	
Brown 2019.pdf	2019	22	27	position_to_overcome	3	But over the northern summer and autumn of 2015 we heardtheunprecedentednumbersaddupasboatafterboat,allovercrowded, landed on Grecian shores and as long, almost endless lines of adults and children to	1	But over the northern summer and autumn of 2015 we heardtheunprecedentednumbersaddupasboatafterboat,allovercrowded, landed on Grecian shores and as long, almost endless lines of adults and children to	1	But over the northern summer and autumn of 2015 we heardtheunprecedentednumbersaddupasboatafterboat,allovercrowded, landed on Grecian shores and as long, almost endless lines of adults and children to	0		0	
Brown 2020.pdf	2020	45	58	positive_alignment	1		4	Still, insofar as famous philosophers and anthropologists are wont to re- mind usthat the etymologyofthing (þing,ting, Ding, chose) discloses the gathering—an assembly—you might say that I'm finally p	0		0		0	
Caduff 2019.pdf	2019	17	30	positive_alignment	1	Hot Chocolate Carlo Caduff Care has always been there, yet somehow it has remained invisible.	2	"Care needs care is the mantra of a sociology of care that fashions itself as a progressive project of devotion, conversion, andprotection.AsAnnemarieMolandhercolleaguesnote,""Ifcareprac- ticesarenotcar"	0		0		0	
Cahill 2023.pdf	2023	11	1	positive_alignment	1	I didn't want a lottery machine, but I love the hardware store, Ken's hardwarestore,asitwasbecauseitconstitutedthewaythingsusedtohap- pen in cities.	5	The Truth of Value: A Conversation with Theaster Gates Zachary Cahill Cahill: Theaster, would you tell us about where we are?	0		0		0	
Cappelletto 2021.pdf	2020	4	5	positive_alignment	0		2	It entails not shaking hands with, hugging, or leaning in toward—much less slapping, hitting, or attacking— oneanother.Itabolishestheaffordancesoftheworld,thusworkinglikean anesthetic.	0		0		0	
Carrico 2020.pdf	2020	19	37	positive_alignment	0		2	"See""ChinaRaisesFlagaboveControversialCity,""UnitedPressInternational,24July2012, www.upi.com/China-raises-flag-above-controversial-city/33021343151712 Island chain that is claimed and increasingly cont"	0		0		0	
Carson 2021.pdf	2021	22	54	positive_alignment	2	But when they saw Helen coming along the wall they went quiet, saying winged words to one another: No blame attaches to Trojans or Akhaians if they suffer for a woman like that.	7	2 Anne Carson / Stillness Aspiritofwindlesscalm.Ithasalwaysastonishedme,thewayAiskhylosso softlyslips Helen into theviolence of this ode and this play, like abead of mercurydroppeddownatesttubeoflava.	0		0		0	
Cartier 2020.pdf	2020	33	72	positive_alignment	1	In 2003 broad-based activism against a plan to Unlessotherwisenoted,alltranslationsaremyown.	3	666 Carolyn Cartier / Among Greater Issues of the Day implementnationalsecuritylegislationinHongKongresetthebaselinefor latentconcernaboutchallengestoHongKongcorevalues,asapprehensions associated with	0		0		0	
Casetti 2023.pdf	2023	22	36	position_to_overcome	4	Inaninternationalairport,aTSAemployeeinspectsatraveler'ssuitcaseon a monitor while his colleague uses another monitor to inspect the same traveler'sbody.Whilecrossingastreetorasquare,acitydwellercasts	0		1	These scenes—which respectively make reference to a phantasmagoria show,anearlyfilmséance,aradarstation,atelevisionbroadcast,aGlobal PositioningSystem(GPS)unit,anairportcheckpoint,amediafaçade,and Unl	0		0	
Catoni Giuliani 2019.pdf	2019	33	38	positive_alignment	0		3	Socrates Represented: Why Does He Look Like a Satyr?	0		0		0	
Cecire Solomon 2024.pdf	2019	22	52	positive_alignment	2	"[a] video—one that is forever being referred to in mush- rooming circles—explaining how fungi could save the world,"" Long Litt WoonobservesinTheWaythroughtheWoods,her2017memoirofmush- roomforagingandg"	4	Louie Schwartzberg, 2019), and a character named after him in the television series Star Trek: Discovery (2017–2024) achieves a technological breakthrough by piloting the starship Discovery alongmycel	0		0		0	
Chakrabarty 2019.pdf	2019	31	70	positive_alignment	1		5	BillBrown,FredrikJonsson,JuliaAdenyThomas,SamuelGarrettZeitlin,EwaDomanska, JamesChandler,SarahHall,NettavanVliet,JedediahPurdy,andNormanWirzbacommented mosthelpfullyonalaterdraft.Versionsofofthispape	0		0		0	
Chandler 2020.pdf	2020	28	29	positive_alignment	1	"Theaccountof WilliamsIgivehere,however,isnotabouthisbeing""in- fluenced""byRichardsandLeavis,thoughheacknowledgedhisgreatdebts toboth.Itisabouttheparticulartermsof hisstrugglewiththemandhow itbecamedist"	2	"The effects of programmatic Leavisism—an ambitious academicinitiativethatgroundeditsresistancetomoderncommercialism bothincloseattentiontoliteratureandinstronglyheldjudgmentsabout such questions as ""t"	0		0		0	
Chun 2021.pdf	2020	6	20	positive_alignment	0		2	"SeeJillianAmbrose,""OilPricesDipBelowZeroasProducersForcedtoPaytoDispose ofExcess,""TheGuardian,20Apr.2020,www.theguardian.com/world/2020/apr/20/oil-prices -sink-to-20-year-low-as-un-sounds-alarm-on-to-"	0		0		0	
Chun et al 2024.pdf	2020	27	42	positive_alignment	1	"ElishaMachado,""VideoofManSayingRacistRemarksagainstAsianFamilySparksPub- licOutrage,""KION546,6July2020,kion546.com/news/2020/07/06/video-of-man-saying-racist -remarks-against-asian-family-sparks-publi"	4	""" "" Understanding Asians: Anti-Asian Racism, Sentimentality, Sentiment Analysis, and Digital Surveillance Wendy Hui Kyong Chun, Grace Kyungwon Hong, and Lisa Nakamura Duringthesummerof2020,Chinese-Fil"	0		0		0	
Clover 2021.pdf	2020	5	8	position_to_overcome	3	"The driving force of this genre is not ""holy shit, two waysforalotofpeopletodie""buttherealization,orhope,thatthegreatmo- bilizationsofstateresourcescurrentlybeingunspooledtoaddressCOVID-19 provethepos"	2	"Bruno Latour provides a recent example of this genre; it appeared du- allyin Le Monde andCritical Inquiry on25 March, here underthe title ""Is ThisaDressRehearsal""andinFrenchunderthemoreprosaicbutimper"	0		0		0	
Clune 2019.pdf	2019	25	40	position_to_overcome	4	Onthesurfacethesetwotendenciesappearcomplementary:theinternal refusalofahierarchyofaestheticvaluematchestheexternalrefusalofmarket value.Anditistruethatforourpoliticalimagination,animatedbythemaster v	1	Onthesurfacethesetwotendenciesappearcomplementary:theinternal refusalofahierarchyofaestheticvaluematchestheexternalrefusalofmarket value.Anditistruethatforourpoliticalimagination,animatedbythemaster v	2	Therearemanykindsofaestheticjudgmentthatdon'tappeartomakeanevaluative claim.Inthefollowing,Iwillarguethatthejudgmentthatonegivenworkrepresentsamore When Fox News pundits rail against the elitism of ar	0		0	
Clune 2023.pdf	2023	19	27	positive_alignment	2	I will enumerate key features of this model by briefly comparing well- knownpoemsbyWilliamWordsworthandSylviaPlath.Bothpoemsdescribe theauthorasinhabitedbytwomodesofconsciousness.Bothestablishthe dist	3	I wandered lonely as a cloud That floats on high o'er vales and hills, When all at once I saw a crowd, A host, of golden daffodils.3 Wordsworth's poem begins by describing the agent of perception in t	1	"Timothy Clark shows how Wordsworth's marking of a sharp distinction between perception and thought leads to a classic scene of ""'emotion recollected in tranquility'"" in the final stanza,4 when the poe"	0		0	
Cohen 2019.pdf	2019	26	38	position_to_overcome	1	Literally, Ourselves Kris Cohen Personalizationpurportstobeabouttheindividual,tobeaboutnothing buttheindividual.Itpromises,infact,toaugmenttheindividualityofthe individual.But,atthesametime,personaliz	1	Data is the singular plural shorthand we give to this process, aprocess with neither end nor origin, whosesubjectisactuallyquitedifficulttolocate,giventhatthepersonform ofpersonalizationisaderivative:	0		0		0	
Crawford 2021.pdf	2020	2	2	positive_alignment	1	While the circumstances of COVID-19 and GeorgeFloyd'sdeatharenotthesame,theoutcomesofbothareheavilyim- pacted by American race and class imbalances.	2	"As Achille Mbembe puts it in ""The Universal Right to Breathe"": ""Tryaswemighttoridourselvesofit,intheendeverythingbringsusback tothebody.""1Theblackbodyshowsupinresponsetoalonghistoryofra- cialviolencea"	0		0		0	
Creswell 2019.pdf	2019	26	38	positive_alignment	0		5	"Thepoeturgesherreadersto""listen""tothecriesofthedyingandthelam- entationsofthebereavedastheyechoalongtheNileValley(""C"").Shefig- ures the disease as a vengeful fury whose casualties are too numerous to "	0		0		0	
Da 2019.pdf	2019	39	55	positive_alignment	2	The Computational Case against Computational Literary Studies Nan Z.	3	Da This essay works at the empirical level to isolate a series of technical problems,logicalfallacies,andconceptualflawsinanincreasinglypopular subfield in literary studies variously known as cultural	1		0		0	
Da 2019JSTOR.pdf	2019	40	32	positive_alignment	2	T he Computational Case against Computational Literary Studies A uthor(s): Nan Z.	4	Your use of the JSTOR archive indicates your acceptance of the Terms & Conditions of Use, available at https://about.jstor.org/terms The University of Chicago Press is collaborating with JSTOR to digi	0		0		0	
Daston 2019.pdf	2019	25	49	positive_alignment	0		6	' The Coup d Oeil: On a Mode of Understanding Lorraine Daston The Overview and the Algorithm In The Nature of Rationality (1993), Robert Nozick imagined himself andhiscolleaguesbeingputoutofbusinessby	0		0		0	
Daston 2021.pdf	2020	3	1	positive_alignment	2	But it is strange that everyone else is suddenly keeping me company there.	3	As a historian of early modern science, that's where I spend a lot of time.	0		0		0	
Davies 2020.pdf	2020	21	70	none	0		0		0		0		0	
Davies et al 2020.pdf	2020	7	10	positive_alignment	1		4	Might lexicon, sensibility, style, ethos, and similarterms in which the causal and temporal connotations are minimal count as alternatives?	1	Thevarious topics and periods they consider nonetheless show a prevalent role for the Chinesestateindeployingandmanagingaestheticpractices.	0		0	
Davis 2021.pdf	2020	5	7	position_to_overcome	4	While laws like the Americans withDisabilitiesActacknowledgehumanrightsandsubjectivitiesinvolved in disabled identity, a pandemic brings into play a war of survival whose rules aresimpleranddeadlier.L	4	While laws like the Americans withDisabilitiesActacknowledgehumanrightsandsubjectivitiesinvolved in disabled identity, a pandemic brings into play a war of survival whose rules aresimpleranddeadlier.L	0		0		0	
Derrida 2020.pdf	2020	11	18	positive_alignment	0		2	"afterthisencounter.Whenwechosethisword—Isay""thisword""ratherthan ""this concept"" because we did noteven know whichconcept regulated this word—whenwechosethiswordreligionandagreedthatitwouldbetheslo- gan"	0		0		0	
Dhaliwal 2022.pdf	2019	27	63	positive_alignment	1	"Ranjodh Singh Dhaliwal In October 2019, Google and NASA declared that they had achieved ""quantumsupremacy,""1athresholdthatdenotesquantumcomputingdoing ""thingsthatclassicalcomputerscan't,regardlessofwh"	2	"Ranjodh Singh Dhaliwal In October 2019, Google and NASA declared that they had achieved ""quantumsupremacy,""1athresholdthatdenotesquantumcomputingdoing ""thingsthatclassicalcomputerscan't,regardlessofwh"	0		0		0	
Didi-Huberman 2020.pdf	2020	23	19	none	0		0		0		0		0	
Didi-Huberman 2023.pdf	2023	9	16	positive_alignment	0		4	And so, as we celebrate his name and his work today, how can I tell you how honoured I am and how moved I am to be associated with this memoryandwiththisfiliation?	0		0		0	
Diebold Drimmer 2023.pdf	2023	13	31	positive_alignment	0		6	' Panofsky s Debut William Diebold and Sonja Drimmer WölfflinwhomIhad thecheek to attackwhen Iwastwenty-two yearsoldbut always,Ihope,with realrespectandthreegenuflections.	0		0		0	
Domínguez 2020.pdf	2020	21	61	positive_alignment	1		4	1837 1838 In / : World Literature and Law César Domínguez When talking about world literature, turning to Johann Wolfgang von Goethe'sauthorityhasbecomecommonplace.Thoughhisuseofthecon- cept Weltliter	0		0		0	
Donatelli 2019.pdf	2019	19	41	positive_alignment	1	sibilityandorientationinanoverallculture.Thepeculiarityandspecificity ofthetraditionofmoralperfectionismcanbebestappreciatedagainstthe backgroundofasharedapproachtothemorallife,onemightsay.2 Letmestar	4	Virtue Ethics InwhatfollowsIshallexamineadimensionofethicsthatStanleyCavell namesmoralperfectionism,gatheringunderthislabelahostofdifferent authors and philosophical lines, with Ludwig Wittgenstein ho	0		0		0	
Downie 2025.pdf	2025	7	11	positive_alignment	0		3	First,someeasyfieldnotes.Ispentmyfirstyearofexplorationofourcur- rentgenerativeAImomentmakingnotfakephotographsbutfakesixteenth- centurywoodcutsandoilpaintings.Myexcusehasbeenthestrangepressures thatc	1	Finally, similar 410 Marc Downie / Response networksthatoutputnotpixelsbutstrokes—farlesscommonbutstillnot uninterestingtoAdobe'sportfolio—seemreadytoprovidethepathsneeded to chisel some wood.1 Steppi	0		0	
Dumitrescu Smith 2021.pdf	2020	5	8	positive_alignment	1	They still count the time, but they are measuring it for the people of some bygone civilization, the modern butoutmodedEmpireofBusinessasUsual.Justwhenwehavetimetoour- selves,timebecomesaproblemforus.	3	Now, as we inhabit our nar- rower circuits, the partitioning of space plays out for us in time.	0		0		0	
Düttmann 2021.pdf	2020	3	1	positive_alignment	3	While virologists work to develop a vaccine as quickly as possible—a medicinethatwillstopthepandemic—inovercrowdedhospitalsandclinics itisnotmerelyamatteroflifeanddeathbutofdecisionsoflifeanddeath tha	4	A Letter to Oliver Vogel Alexander García Düttmann Translated by James Fontini 8 April 2020 Dear Oliver,1 Many years ago, the press you work for published a book ofmine with the subtitle Thinking and 	0		0		0	
Engberg-Pedersen 2025.pdf	2022	22	49	positive_alignment	1	"Over the course of these two summerdays,however,SingerandColetaskedtheparticipantsinthework- shopwithadifferentmission:theyshouldlearntowriteliterature.Oncethe soldierswereableto""constructcompelling,r"	2	With the apparent return of great- powerconflict,astheUSisfightingaproxywarwithRussiainUkraineand atthesametimeshiftingitsstrategicfocustotheSouthChinaSea,thefact thatSpecialOperationsCommandishosting	0		0		0	
Evans Foster 2024.pdf	2024	27	50	position_to_overcome	2	Foster Rise of the Reading Robots Shouldwebesurprisedthat(some)humanistshavetakentoalgorithmic methodswithgusto?Marchingunderthebannerofdigitalhumanitiesand marshaling an army of reading robots, these	1	Foster / Algorithmic Abduction The authors [of a well-referenced review of digital humanities] sum- marize the intellectual activities they promote: 'digitization, classifica- tion, description and me	0		0		0	
Farmer 2019.pdf	2019	15	17	positive_alignment	1	But the rapidity of this strain's spread triggered debates that continued well after influenza was identified as a virus.	4	Pandemic flu wasinitiallymisdiagnosedasahostofpathologieswithdissimilarsignsand symptoms: bacterial pneumonia and purulent bronchitis (often admit- tedlytriggeredbyinfluenza)butalsopneumonicplague,mea	0		0		0	
Fay 2023.pdf	2023	24	43	positive_alignment	1	"Theproblemorinterestinphotographyis""howlittleweknowaboutwhat thephotographicreveals""whenrecordingthebodyinthought:arelaybe- tween mind and body, and body and apparatus, that we have yet to fully compr"	3	Thinking on Film with Arendt and Cavell Jennifer Fay The title of this article may raise a question about how an inquiry into cinematicthinkingbringsHannahArendtandStanleyCavellintoconversa- tion.Whil	0		0		0	
Feldman 2025.pdf	2025	20	41	positive_alignment	0		5	2 Martha Feldman / Vocal Deliriums (Five Proposals) have stopped me in my tracks have as often been street singers as concert or opera singers—a bluesman busking at O'Hare, a Maghrebi street singer in	1		0		0	
Ferguson 2019.pdf	2019	24	26	position_to_overcome	3	Not Kant, but Bentham: On Taste Frances Ferguson 1.	2	Kant avec Bentham ThehistoryofmodernaestheticthoughtisusuallytracedtoImmanuel Kant and his Critique of the Power of Judgment, with an obligatory nod to Alexander Gottlieb Baumgarten, who had first use	1	Bentham was seen to suggest that judging subjects thought onlyaboutimprovingtheirsituations.TosupportthisviewofBentham's thought,literarycriticsandaesthetichistorianscitedJohnStuartMill'sre- markthatB	0		0	
Ferguson 2019b.pdf		27	35	position_to_overcome	1	"PaulKrugmancitesRobertShiller'sobservationthat""assetbubblesarelike'naturally occurringPonzischemes'""(PaulKrugman,""Bubble,Bubble,FraudandTrouble,""NewYork Times,29Jan.2018,www.nytimes.com/2018/01/29/opi"	0		0		0		0	
Ferguson 2023.pdf	2023	21	37	positive_alignment	0		7	"from all sides.""3 Printers, following and enforcing fashion, print texts using gray ink and ""Didot characters with narrow feet""; print German language texts in""Roman (and even italic) type""; and ""use "	0		0		0	
Fiftieth Anniversary 2023.pdf	2023	1	0	positive_alignment	0		1	In particular we'd like to celebrate the members of our co- editorialboard(pastandpresent),whosustainadynamic,attimespassion- ate conversation from across fields and theoretical dispositions.	0		0		0	
Forbes-Macphail 2025.pdf	2022	22	67	position_to_overcome	3	De Morgan included several diagrams in hisletterthatillustratecasesinwhichaminimumoffourcolorsareneces- sary.However,itwasmuchmoredifficulttoruleouttheideathatnomore thanfourcolorscouldeverbeneeded.Th	1	Appel and Wolfgang Haken at the University of Illinois, along with graduate student JohnKoch.AsAppelexplains, Basicallytheproofdependsonthediscoveriesofearlierresearchers thatcertainrelativelysmallmap	2	The four-color conjecture proposes that this can always be done using no more than four distinct colors.	0		0	
Foucault 2019.pdf	2019	14	14	positive_alignment	1	Structuralism and Literary Analysis Michel Foucault Translated by Suzanne Taylor and Jonathan Schroeder Ladies and Gentlemen, I believe we're here mainly to have a discussion, which means that I shoul	2	Structuralism and Literary Analysis Michel Foucault Translated by Suzanne Taylor and Jonathan Schroeder Ladies and Gentlemen, I believe we're here mainly to have a discussion, which means that I shoul	0		0		0	
Foucault 2020.pdf	2020	14	15	positive_alignment	3	"We'll consider bothsides, but for your part, whenyouemploytheexpression""politicalspirituality,""whichischarged withsomanyconnotations—especiallythesecondword—inourtra- ditionsandinourminds,couldyouexpl"	7	Political Spirituality as the Will for Alterity: An Interview with the Nouvel Observateur Michel Foucault Translated by Sabina Vaccarino Bremner NOUVEL OBSERVATEUR: Michel Foucault, you wrote in the N	0		0		0	
Frank et al 2024.pdf	2024	18	26	position_to_overcome	1	Various incompatible explanations arise, but the film does not confirm a cause.	1	In Franz Kafka's Metamorphosis (1915), Gregor Samsa wakes up as a bug.	0		0		0	
Franta Silver 2024.pdf	2021	23	42	position_to_overcome	4	But its reductions areequallybreathtaking.Sentimentanalysismaintainsthatfeelingisaprop- erty of language that can be measured and counted.	0		0		0		0	
Galison 2019.pdf	2019	29	46	positive_alignment	0		2	352 Peter Galison / 21 July 1773 protestersintheBostonMassacreof5March1770,whilethetwostudents inquestionwerefreshmen.Intheheatoftheseevents(July1770),lieuten- antgovernorThomasHutchinson,aknownroyali	0		0		0	
Gallagher 2024.pdf	2024	6	8	claim_assertion	0		0		1	It's also likely, though, thatthebrevityandradicalcompressionoftheargumentinmyarticlehave created some misunderstandings about my historical claims.	0		0	
Galloway 2022.pdf	2022	22	45	position_to_overcome	2	The world is awashindata, yet these days itismuch morecommon to encounterscholarlytakesonaseriesofdistinctlynondigitalthemes:books aboutaffectorsensation;treatisesonaestheticsasfirstphilosophy;essayso	2	Why equate digital with word, symbol, text,code, and logic, whiledefining analogviaaffect,experi- ence,contingency,andthereal?1 Analogrepresentationworksthroughcontinuityorcontinuousvariation, whereas	0		0		0	
Galvin 2022.pdf	2022	27	73	positive_alignment	0		2	Phonemes are tucked within each other like Russian dolls.Thetranslingualpunningremindsreadersthatwordshideotherwords and other worlds within them, that Spanish hides within English and vice versa,that	0		0		0	
Gandhi 2021.pdf	2020	4	4	positive_alignment	1	Skeptical Conditions Leela Gandhi 1 June 2020 But He's Much Bluer than When I Went Away Manyofuswillrecognizetwocognitivephenomenafromtheintenseex- perience of thecoronavirus lockdown.	3	Such obtains from diverse intersecting traditions, as South Asian Mādhyamika Buddhism,HellenisticPyrrhonism,somechaptersofAmericanpragmatism andEuropeanpoststructuralism,included.1 Philosophicalskepti	0		0		0	
