selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags
Martin Eden	Jack London	1909	Martin Eden	Jack London	1908	/works/OL144822W	94	75	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	168	1	Q1317839	year_discrepancy; openalex:use_with_warning_short_title		10	10	0	0	/works/OL144822W	40.0	33.0	0.0	7.0	0.0	0.0	0.825	77.55	77.55	/works/OL144822W	15636	781	UNIQUE	15636	short_or_general_title
The Story of an African Farm	Olive Schreiner	1883	The story of an African farm	Olive Schreiner	1883	/works/OL18561767W	74	74	use_title_author	canonical_preserved	7	2		wikidata_unresolved		8	8	0	0	/works/OL18561767W	40.0	33.0	2.0	4.0	1.0	0.0	0.875	64.75	64.75	/works/OL18561767W	1606	124	UNIQUE	1606	
The Mystery of the Cloomber	Arthur Conan Doyle	1889	The Mystery of Cloomber	Doyle, Arthur Conan	1895	/works/OL262473W	1	1	use_title_author	canonical_preserved	215	2	Q4449924	title_variant; author_variant_or_source_error; year_discrepancy		0	0	0	0	/works/OL262473W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL262473W	377	43	UNIQUE	377	
Return Of The Soldier	Nathaniel West	1918	The Return of the Soldier	Rebecca West	1918	/works/OL27834207W	40	31	use_with_warning_risky_author	observed_risky_author_last:west|canonical_preserved	95	3	Q7760466	title_variant; author_variant_or_source_error; openalex:use_with_warning_risky_author	The source list records Nathaniel West; the matched work is Rebecca West's The Return of the Soldier.	9	9	0	0	/works/OL27834207W	40.0	28.0	1.0	5.0	2.0	4.0	0.8055555555555556	32.22222222222222	32.22222222222222	/works/OL27834207W	3659	371	UNIQUE	3659	
Gone to Earth	Mary Webb	1917	Gone to Earth	Mary Gladys Meredith Webb	1917	/works/OL4390503W	8	6	use_title_author	canonical_preserved	15	1	Q109284453	author_variant_or_source_error		4	2	2	0	/works/OL4390503W	8.0	4.0	1.0	2.0	1.0	0.0	0.625	5.0	5.0	/works/OL4390503W	346	50	YEAR_AUTH	346	
The Homeward Trail	Waldron Baily	1916	The Homeward Trail	Waldron Baily	1916	/works/OL13144755W	0	0	zero_title_author	canonical_preserved	3	2		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL13144755W	0	0	NO_MATCH_AUTH	0	
The Red Badge of Courage	Stephen Crane	1895	The red badge of courage	Crane, Stephen	1900	/works/OL42517032W	153	108	use_title_author	canonical_preserved	1	1	Q1219239	author_variant_or_source_error; year_discrepancy		45	45	0	0	/works/OL42517032W	40.0	27.0	2.0	5.0	3.0	3.0	0.7837837837837838	119.91891891891892	119.91891891891892	/works/OL42517032W	76073	2918	RATINGS_MAX	76073	
Howard's End	E. M. Forster	1910	Howards End	E. M. Forster	1910	/works/OL88881W	182	135	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	467	2	Q1146642	title_variant; openalex:use_with_warning_short_title		30	30	0	0	/works/OL88881W	40.0	27.0	6.0	3.0	1.0	3.0	0.8918918918918919	162.32432432432432	162.32432432432432	/works/OL88881W	60000	2014	UNIQUE	60000	short_or_general_title
A Portrait of the Artist as a Young Man	James Joyce	1916	A portrait of the artist as a young man	Joyce, James	1921	/works/OL38989822W	509	384	use_title_author	canonical_preserved	3	14	Q465360	author_variant_or_source_error; year_discrepancy		67	67	0	0	/works/OL38989822W	40.0	24.0	1.0	12.0	2.0	1.0	0.6410256410256411	326.2820512820513	326.2820512820513	/works/OL38989822W	104979	4047	YEAR_AUTH	104979	
Jude the Obscure	Thomas Hardy	1895	Jude the obscure	Hardy, Thomas	1895	/works/OL39453744W	343	273	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	1	17	Q1248773	author_variant_or_source_error; openalex:use_with_warning_risky_author		69	68	1	0	/works/OL39453744W	40.0	30.0	1.0	4.0	1.0	4.0	0.8611111111111112	295.36111111111114	295.36111111111114	/works/OL39453744W	51099	2372	UNIQUE	51099	
Secret Agent	Joseph Conrad	1907	The Secret Agent	Conrad, Joseph	1907	/works/OL39108W	285	225	use_title_author	canonical_preserved	335	1	Q1247666	title_variant; author_variant_or_source_error		132	129	2	1	/works/OL39108W	40.0	30.0	0.0	4.0	2.0	4.0	0.8333333333333334	237.5	237.5	/works/OL39108W	14686	976	YEAR_AUTH	14686	
Tess of the D'Urbervilles	Thomas Hardy	1891	Tess of the D'Urbervilles	Thomas Hardy	1891	/works/OL40434746W	504	369	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	9	39	Q649409	openalex:use_with_warning_risky_author		65	63	2	0	/works/OL40434746W	40.0	34.0	0.0	4.0	0.0	2.0	0.8947368421052632	450.9473684210527	450.9473684210527	/works/OL40434746W	194972	6886	UNIQUE	194972	
Ulysses	James Joyce	1922	Ulysses	James Joyce	1922	/works/OL35695219W	2194	1574	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	71	3	Q6511	openalex:use_with_warning_short_title		827	710	64	53	/works/OL35695219W	40.0	22.0	5.0	9.0	2.0	2.0	0.7105263157894737	1558.8947368421052	1558.8947368421052	/works/OL35695219W	88298	5202	RATINGS_MAX	88298	short_or_general_title|known_jstor_ambiguous_title
Dubliners	James Joyce	1914	Dubliners	Joyce, James	1914	/works/OL86320W	689	544	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	996	7	Q459592	author_variant_or_source_error; openalex:use_with_warning_short_title		94	94	0	0	/works/OL86320W	40.0	30.0	2.0	7.0	1.0	0.0	0.8	551.2	551.2	/works/OL86320W	93509	4222	UNIQUE	93509	short_or_general_title
The Rise of David Levinsky	Abraham Cahan	1917	The rise of David Levinsky	Abraham Cahan	1917	/works/OL14864528W	24	19	use_title_author	canonical_preserved	20	2		wikidata_unresolved		7	7	0	0	/works/OL14864528W	24.0	11.0	2.0	6.0	4.0	1.0	0.5652173913043478	13.565217391304348	13.565217391304348	/works/OL14864528W	448	45	UNIQUE	448	
The Prisoner of Zenda	Anthony Hope	1894	The Prisoner of Zenda	Anthony Hope	1939	/works/OL245401W	14	12	use_with_warning_risky_author	observed_risky_author_last:hope|canonical_preserved	627	19		year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		2	1	1	0	/works/OL245401W	14.0	5.0	1.0	8.0	0.0	0.0	0.4285714285714285	6.0	6.0	/works/OL245401W	15006	724	MANUAL_FIX	15006	
The Odd Women	George Gissing	1893	The odd women	George Gissing	1893	/works/OL715621W	35	26	use_title_author	canonical_preserved	36	1		wikidata_unresolved		7	7	0	0	/works/OL715621W	35.0	23.0	2.0	4.0	4.0	2.0	0.7575757575757576	26.51515151515152	26.51515151515152	/works/OL715621W	3411	199	UNIQUE	3411	
Alexander's Bridge	Willa Cather	1912	Alexander's Bridge	Willa Cather	1912	/works/OL12781W	32	29	use_title_author	canonical_preserved	229	2	Q4718102			4	4	0	0	/works/OL12781W	32.0	16.0	1.0	12.0	1.0	2.0	0.5666666666666667	18.133333333333333	18.133333333333333	/works/OL12781W	976	138	UNIQUE	976	short_or_general_title
Jacob's Room	Virginia Woolf	1922	Jacob's Room	Virginia Woolf	1922	/works/OL39329W	160	125	use_title_author	canonical_preserved	309	1	Q1677745			19	19	0	0	/works/OL39329W	40.0	28.0	1.0	4.0	2.0	5.0	0.8285714285714286	132.57142857142858	132.57142857142858	/works/OL39329W	6378	472	UNIQUE	6378	short_or_general_title
Ethan Frome	Edith Wharton	1911	Ethan Frome	Edith Wharton	1910	/works/OL98501W	83	55	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1000	12	Q5402934	year_discrepancy; openalex:use_with_warning_short_title		14	14	0	0	/works/OL98501W	40.0	22.0	3.0	9.0	3.0	3.0	0.6756756756756757	56.08108108108108	56.08108108108108	/works/OL98501W	84941	4293	YEAR_AUTH	84941	short_or_general_title
Treasure Island	Robert Louis Stevenson	1882	Treasure Island	Robert Louis Stevenson	1880	/works/OL24034W	155	111	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1988	2	Q185118	year_discrepancy; openalex:use_with_warning_short_title		18	16	2	0	/works/OL24034W	40.0	20.0	6.0	6.0	6.0	2.0	0.6842105263157895	106.05263157894736	106.05263157894736	/works/OL24034W	318348	8178	RATINGS_MAX	318348	short_or_general_title
The Turn of the Screw	Henry James	1898	Turn of the Screw	Henry James	1898	/works/OL40252771W	280	214	use_title_author	canonical_preserved	8	1		title_variant; wikidata_unresolved		67	67	0	0	/works/OL40252771W	40.0	29.0	1.0	9.0	1.0	0.0	0.75	210.0	210.0	/works/OL40252771W	68334	4634	RATINGS_MAX	68334	
White Fang	Jack London	1906	White Fang	Jack London	1905	/works/OL74504W	55	44	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	387	2	Q152267	year_discrepancy; openalex:use_with_warning_short_title		1	1	0	0	/works/OL74504W	40.0	22.0	5.0	10.0	2.0	1.0	0.6923076923076923	38.07692307692307	38.07692307692307	/works/OL74504W	117038	3149	UNIQUE	117038	short_or_general_title
Looking Backward	Edward Bellamy	1887	Looking backward	Bellamy, Edward	1941	/works/OL18814811W	106	76	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1	0	Q1305106	author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title		24	16	7	1	/works/OL18814811W	40.0	25.0	3.0	6.0	5.0	1.0	0.717948717948718	76.1025641025641	76.1025641025641	/works/OL18814811W	0	0	NO_MATCH_AUTH	0	short_or_general_title
Java Head	Joseph Hergesheimer	1919	Java Head	Joseph Hergesheimer	1918	/works/OL4902750W	1	0	use_with_warning_short_title	short_title_len_le_2|ta_without_lit_terms|canonical_preserved	27	2	Q107000085	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL4902750W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL4902750W	15	4	UNIQUE	15	short_or_general_title
The House of Mirth	Edith Wharton	1905	The house of mirth	Edith Wharton	1906	/works/OL42236259W	218	171	use_title_author	canonical_preserved	1	1		year_discrepancy; wikidata_unresolved		60	60	0	0	/works/OL42236259W	40.0	29.0	1.0	5.0	4.0	1.0	0.7692307692307693	167.6923076923077	167.6923076923077	/works/OL42236259W	68754	3561	UNIQUE	68754	
Three Lives	Gertrude Stein	1909	Three Lives	Gertrude Stein	1909	/works/OL35383W	50	33	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	149	1	Q7797597	openalex:use_with_warning_short_title		8	6	1	1	/works/OL35383W	40.0	30.0	2.0	4.0	3.0	1.0	0.8205128205128205	41.02564102564102	41.02564102564102	/works/OL35383W	2853	255	YEAR_AUTH	2853	short_or_general_title
The Picture of Dorian Gray	Oscar Wilde	1890	The Picture of Dorian Gray	Oscar Wilde	1890	/works/OL8193416W	504	377	use_title_author	canonical_preserved	3012	2	Q82464			34	34	0	0	/works/OL8193416W	40.0	30.0	3.0	3.0	0.0	4.0	0.9166666666666666	462.0	462.0	/works/OL8193416W	694769	20302	RATINGS_MAX	694769	
Hearts courageous	Hallie Rives	1902	Hearts courageous	Rives, Hallie Erminie	1902	/works/OL1799163W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	2	5		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved		3	3	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL1799163W	0	0	NO_MATCH	0	short_or_general_title
Lady Chatterley's Lover	D. H. Lawrence	1928	Lady Chatterley's lover	Lawrence, D. H.	1946	/works/OL43405505W	287	218	use_title_author	canonical_preserved	2	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		32	32	0	0	/works/OL43405505W	40.0	36.0	0.0	1.0	2.0	1.0	0.9230769230769232	264.92307692307696	264.92307692307696	/works/OL43405505W	77768	3876	UNIQUE	77768	
Robert Elsmere	Mrs. Humphry Ward	1888	Robert Elsmere	Humphry Ward	1888	/works/OL41540816W	28	20	use_with_warning_risky_author	observed_risky_author_last:ward|short_title_len_le_2|canonical_preserved	2	20	Q7344052	author_variant_or_source_error; openalex:use_with_warning_risky_author		4	4	0	0	/works/OL41540816W	28.0	16.0	2.0	5.0	3.0	2.0	0.6923076923076923	19.384615384615383	19.384615384615383	/works/OL41540816W	36	7	UNIQUE	36	short_or_general_title
Alas	Rhoda Broughton	1890	Alas!	Rhoda Broughton	1890	/works/OL1487721W	1	1	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	3	11		openalex:use_with_warning_short_title; wikidata_unresolved		75	2	16	57	/works/OL1487721W	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	/works/OL1487721W	0	0	NO_MATCH	0	short_or_general_title
As I Lay Dying	William Faulkner	1930	As I Lay Dying	William Faulkner	1915	/works/OL82929W	285	206	use_title_author	canonical_preserved	62	1	Q1544119	year_discrepancy		72	71	1	0	/works/OL82929W	40.0	28.0	2.0	6.0	3.0	1.0	0.7692307692307693	219.23076923076923	219.23076923076923	/works/OL82929W	112656	5659	YEAR_AUTH	112656	
Stepsons Of Light	Eugene Manlove Rhodes	1921	Stepsons of light	Eugene Manlove Rhodes	1921	/works/OL2107271W	0	0	zero_title_author	canonical_preserved	5	3		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2107271W	0	0	NO_MATCH_AUTH	0	
The Good Soldier	Ford Maddox Ford	1915	The Good Soldier	Ford Madox Ford	1930	/works/OL509889W	125	108	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	355	2		author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		74	72	0	2	/works/OL509889W	40.0	21.0	3.0	13.0	2.0	1.0	0.6153846153846154	76.92307692307693	76.92307692307693	/works/OL509889W	18106	1195	MANUAL_FIX	18106	
The Heavenly Twins	Sarah Grand	1893	The Heavenly Twins	Sarah Grand	1893	/works/OL4315764W	32	26	use_title_author	canonical_preserved	17	1		wikidata_unresolved		6	6	0	0	/works/OL4315764W	32.0	18.0	0.0	9.0	2.0	3.0	0.6206896551724138	19.86206896551724	19.86206896551724	/works/OL4315764W	133	12	UNIQUE	133	
The Call of the Wild	Jack London	1903	The Call of the Wild	Jack London	1903	/works/OL14942956W	143	122	use_title_author	canonical_preserved	1699	1	Q476871			5	4	1	0	/works/OL14942956W	40.0	26.0	1.0	9.0	1.0	3.0	0.7297297297297297	104.35135135135135	104.35135135135135	/works/OL14942956W	254249	7002	RATINGS_MAX	254249	
Grand Babylon Hotel	Arnold Bennett	1902	The Grand Babylon Hotel	Bennett, Arnold	1902	/works/OL109153W	1	0	use_title_author	ta_without_lit_terms|canonical_preserved	75	3	Q7737468	title_variant; author_variant_or_source_error		0	0	0	0	/works/OL109153W	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	/works/OL109153W	439	57	UNIQUE	439	
Three Soldiers	John Dos Passos	1921	Three soldiers	John Dos Passos	1921	/works/OL1217993W	31	26	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	19	3	Q7797826	openalex:use_with_warning_short_title		2	2	0	0	/works/OL1217993W	31.0	19.0	2.0	6.0	2.0	2.0	0.7241379310344828	22.448275862068964	22.448275862068964	/works/OL1217993W	842	90	UNIQUE	842	short_or_general_title
Marrow of Tradition	Mary Chesnutt	1901	The marrow of tradition	Charles Waddell Chesnutt	1901	/works/OL112798W	54	49	use_title_author	canonical_preserved	144	5		title_variant; author_variant_or_source_error; wikidata_unresolved	The source list records Mary Chesnutt; the matched work metadata identifies Charles Waddell Chesnutt.	17	17	0	0	/works/OL112798W	40.0	21.0	4.0	5.0	6.0	4.0	0.6944444444444444	37.5	37.5	/works/OL112798W	2002	127	UNIQUE	2002	
At Fault	Kate Chopin	1890	At Fault	Kate Chopin	1890	/works/OL65437W	13	10	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	127	2	Q131573518	openalex:use_with_warning_short_title		1	1	0	0	/works/OL65437W	13.0	7.0	3.0	2.0	1.0	0.0	0.7692307692307693	10.0	10.0	/works/OL65437W	242	36	UNIQUE	242	short_or_general_title
The Shadow-Line	Joseph Conrad	1921	The shadow-line	Conrad, Joseph	1917	/works/OL38827W	71	60	use_title_author	canonical_preserved	147	3		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		15	15	0	0	/works/OL38827W	40.0	25.0	1.0	13.0	0.0	1.0	0.6666666666666666	47.33333333333333	47.33333333333333	/works/OL38827W	2752	172	UNIQUE	2752	short_or_general_title
The Moon and Sixpence	W Somerset Maugham	1919	The moon and sixpence	W. Somerset Maugham	1919	/works/OL505740W	41	30	use_title_author	canonical_preserved	397	2		wikidata_unresolved		1	1	0	0	/works/OL505740W	40.0	32.0	0.0	4.0	3.0	1.0	0.8205128205128205	33.64102564102564	33.64102564102564	/works/OL505740W	13440	851	UNIQUE	13440	
Kim	Rudyard Kipling	1900	Kim	Kipling, Rudyard	1901	/works/OL20172W	218	171	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	65	1	Q19086249	author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title		93	21	5	67	/works/OL20172W	40.0	27.0	2.0	6.0	2.0	3.0	0.7837837837837838	170.86486486486487	170.86486486486487	/works/OL20172W	27404	1393	YEAR_AUTH	27404	short_or_general_title|known_jstor_ambiguous_title
The Custom of the Country	Edith Wharton	1913	The Custom of the Country	Edith Wharton	1900	/works/OL98585W	65	51	use_title_author	canonical_preserved	61	1	Q7728505	year_discrepancy		22	21	1	0	/works/OL98585W	40.0	30.0	2.0	2.0	1.0	5.0	0.9142857142857144	59.42857142857142	59.42857142857142	/works/OL98585W	7821	730	UNIQUE	7821	
The Beautiful and the Damned	F Scott Fitzgerald	1922	The Beautiful and Damned	F. Scott Fitzgerald	1920	/works/OL468362W	52	46	use_title_author	canonical_preserved	495	1	Q2531205	title_variant; year_discrepancy		4	4	0	0	/works/OL468362W	40.0	25.0	2.0	7.0	3.0	3.0	0.7297297297297297	37.94594594594594	37.94594594594594	/works/OL468362W	34554	2119	YEAR_AUTH	34554	
The Financier	Theodore Dreiser	1912	The Financier	Theodore Dreiser	1912	/works/OL100237W	35	29	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	352	1	Q577607	openalex:use_with_warning_short_title		6	6	0	0	/works/OL100237W	35.0	25.0	1.0	5.0	3.0	1.0	0.7647058823529411	26.76470588235294	26.76470588235294	/works/OL100237W	3486	134	UNIQUE	3486	short_or_general_title
Parades End	Ford Maddox Ford	1924	Parade's End	Ford Madox Ford	1950	/works/OL509919W	102	84	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	24	2		title_variant; author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved	Title punctuation and author spelling vary; the two year fields are retained separately.	30	30	0	0	/works/OL509919W	40.0	18.0	5.0	15.0	1.0	1.0	0.5897435897435898	60.15384615384615	60.15384615384615	/works/OL509919W	4661	413	UNIQUE	4661	short_or_general_title
King Coal	Upton Sinclair	1917	King Coal	Upton Sinclair	1905	/works/OL115067W	6	5	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	86	2	Q16386559	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL115067W	6.0	2.0	1.0	3.0	0.0	0.0	0.5	3.0	3.0	/works/OL115067W	407	32	UNIQUE	407	short_or_general_title
