selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	log_jstor	log_reader	expected_log_jstor	jstor_reader_residual	jstor_residual_z
Howard's End	E. M. Forster	1910	Howards End	E. M. Forster	1910	/works/OL88881W	182	135	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	467	2	Q1146642	title_variant; openalex:use_with_warning_short_title		30	30	0	0	/works/OL88881W	40.0	27.0	6.0	3.0	1.0	3.0	0.8918918918918919	162.32432432432432	162.32432432432432	/works/OL88881W	60000	2014	UNIQUE	60000	short_or_general_title	3.4339872044851463	11.002116507732017	3.0723993993908065	0.36158780509433974	0.29781245892682084
A Portrait of the Artist as a Young Man	James Joyce	1916	A portrait of the artist as a young man	Joyce, James	1921	/works/OL38989822W	509	384	use_title_author	canonical_preserved	3	14	Q465360	author_variant_or_source_error; year_discrepancy		67	67	0	0	/works/OL38989822W	40.0	24.0	1.0	12.0	2.0	1.0	0.6410256410256411	326.2820512820513	326.2820512820513	/works/OL38989822W	104979	4047	YEAR_AUTH	104979		4.219507705176107	11.56152513480629	3.270974343975665	0.9485333612004418	0.7812350103995466
Jude the Obscure	Thomas Hardy	1895	Jude the obscure	Hardy, Thomas	1895	/works/OL39453744W	343	273	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	1	17	Q1248773	author_variant_or_source_error; openalex:use_with_warning_risky_author		69	68	1	0	/works/OL39453744W	40.0	30.0	1.0	4.0	1.0	4.0	0.8611111111111112	295.36111111111114	295.36111111111114	/works/OL39453744W	51099	2372	UNIQUE	51099		4.23410650459726	10.841539776191796	3.015398999282598	1.2187075053146619	1.0037569678978433
Secret Agent	Joseph Conrad	1907	The Secret Agent	Conrad, Joseph	1907	/works/OL39108W	285	225	use_title_author	canonical_preserved	335	1	Q1247666	title_variant; author_variant_or_source_error		132	129	2	1	/works/OL39108W	40.0	30.0	0.0	4.0	2.0	4.0	0.8333333333333334	237.5	237.5	/works/OL39108W	14686	976	YEAR_AUTH	14686		4.867534450455582	9.594718027753862	2.5728109739635183	2.294723476492064	1.8899897382128321
Tess of the D'Urbervilles	Thomas Hardy	1891	Tess of the D'Urbervilles	Thomas Hardy	1891	/works/OL40434746W	504	369	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	9	39	Q649409	openalex:use_with_warning_risky_author		65	63	2	0	/works/OL40434746W	40.0	34.0	0.0	4.0	0.0	2.0	0.8947368421052632	450.9473684210527	450.9473684210527	/works/OL40434746W	194972	6886	UNIQUE	194972		4.1588830833596715	12.180616366420738	3.4907350002490065	0.668148083110665	0.5503029160690678
Ulysses	James Joyce	1922	Ulysses	James Joyce	1922	/works/OL35695219W	2194	1574	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	71	3	Q6511	openalex:use_with_warning_short_title		827	710	64	53	/works/OL35695219W	40.0	22.0	5.0	9.0	2.0	2.0	0.7105263157894737	1558.8947368421052	1558.8947368421052	/works/OL35695219W	88298	5202	RATINGS_MAX	88298	short_or_general_title|known_jstor_ambiguous_title	6.566672429803241	11.38848406149961	3.2095494393893866	3.357122990413854	2.765007665106573
Dubliners	James Joyce	1914	Dubliners	Joyce, James	1914	/works/OL86320W	689	544	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	996	7	Q459592	author_variant_or_source_error; openalex:use_with_warning_short_title		94	94	0	0	/works/OL86320W	40.0	30.0	2.0	7.0	1.0	0.0	0.8	551.2	551.2	/works/OL86320W	93509	4222	UNIQUE	93509	short_or_general_title	4.553876891600541	11.445823661429493	3.22990344776095	1.323973443839591	1.0904565400395791
The Rise of David Levinsky	Abraham Cahan	1917	The rise of David Levinsky	Abraham Cahan	1917	/works/OL14864528W	24	19	use_title_author	canonical_preserved	20	2		wikidata_unresolved		7	7	0	0	/works/OL14864528W	24.0	11.0	2.0	6.0	4.0	1.0	0.5652173913043478	13.565217391304348	13.565217391304348	/works/OL14864528W	448	45	UNIQUE	448		2.0794415416798357	6.1070228877422545	1.3347734542726855	0.7446680874071503	0.6133266417466567
The Prisoner of Zenda	Anthony Hope	1894	The Prisoner of Zenda	Anthony Hope	1939	/works/OL245401W	14	12	use_with_warning_risky_author	observed_risky_author_last:hope|canonical_preserved	627	19		year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		2	1	1	0	/works/OL245401W	14.0	5.0	1.0	8.0	0.0	0.0	0.4285714285714285	6.0	6.0	/works/OL245401W	15006	724	MANUAL_FIX	15006		0.6931471805599453	9.616272037895989	2.580462065066527	-1.8873148845065817	-1.5544381713245223
The Odd Women	George Gissing	1893	The odd women	George Gissing	1893	/works/OL715621W	35	26	use_title_author	canonical_preserved	36	1		wikidata_unresolved		7	7	0	0	/works/OL715621W	35.0	23.0	2.0	4.0	4.0	2.0	0.7575757575757576	26.51515151515152	26.51515151515152	/works/OL715621W	3411	199	UNIQUE	3411		2.0794415416798357	8.13505390861157	2.054669659112641	0.02477188256719476	0.020402721429330382
Alexander's Bridge	Willa Cather	1912	Alexander's Bridge	Willa Cather	1912	/works/OL12781W	32	29	use_title_author	canonical_preserved	229	2	Q4718102			4	4	0	0	/works/OL12781W	32.0	16.0	1.0	12.0	1.0	2.0	0.5666666666666667	18.133333333333333	18.133333333333333	/works/OL12781W	976	138	UNIQUE	976	short_or_general_title	1.6094379124341003	6.884486652042782	1.6107520796295223	-0.0013141671954219891	-0.0010823798767421436
Jacob's Room	Virginia Woolf	1922	Jacob's Room	Virginia Woolf	1922	/works/OL39329W	160	125	use_title_author	canonical_preserved	309	1	Q1677745			19	19	0	0	/works/OL39329W	40.0	28.0	1.0	4.0	2.0	5.0	0.8285714285714286	132.57142857142858	132.57142857142858	/works/OL39329W	6378	472	UNIQUE	6378	short_or_general_title	2.995732273553991	8.760766624241956	2.2767807632659363	0.7189515102880546	0.5921458470430828
Ethan Frome	Edith Wharton	1911	Ethan Frome	Edith Wharton	1910	/works/OL98501W	83	55	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1000	12	Q5402934	year_discrepancy; openalex:use_with_warning_short_title		14	14	0	0	/works/OL98501W	40.0	22.0	3.0	9.0	3.0	3.0	0.6756756756756757	56.08108108108108	56.08108108108108	/works/OL98501W	84941	4293	YEAR_AUTH	84941	short_or_general_title	2.70805020110221	11.349723949622552	3.195790647165634	-0.48774044606342404	-0.4017148242107192
Treasure Island	Robert Louis Stevenson	1882	Treasure Island	Robert Louis Stevenson	1880	/works/OL24034W	155	111	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1988	2	Q185118	year_discrepancy; openalex:use_with_warning_short_title		18	16	2	0	/works/OL24034W	40.0	20.0	6.0	6.0	6.0	2.0	0.6842105263157895	106.05263157894736	106.05263157894736	/works/OL24034W	318348	8178	RATINGS_MAX	318348	short_or_general_title	2.833213344056216	12.670903544243442	3.664773698357758	-0.831560354301542	-0.6848932136856428
The Turn of the Screw	Henry James	1898	Turn of the Screw	Henry James	1898	/works/OL40252771W	280	214	use_title_author	canonical_preserved	8	1		title_variant; wikidata_unresolved		67	67	0	0	/works/OL40252771W	40.0	29.0	1.0	9.0	1.0	0.0	0.75	210.0	210.0	/works/OL40252771W	68334	4634	RATINGS_MAX	68334		4.219507705176107	11.1321773593989	3.1185674868360898	1.1009402183400172	0.9067609829090552
White Fang	Jack London	1906	White Fang	Jack London	1905	/works/OL74504W	55	44	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	387	2	Q152267	year_discrepancy; openalex:use_with_warning_short_title		1	1	0	0	/works/OL74504W	40.0	22.0	5.0	10.0	2.0	1.0	0.6923076923076923	38.07692307692307	38.07692307692307	/works/OL74504W	117038	3149	UNIQUE	117038	short_or_general_title	0.6931471805599453	11.670262491570014	3.309573166998096	-2.6164259864381507	-2.1549517036889005
Java Head	Joseph Hergesheimer	1919	Java Head	Joseph Hergesheimer	1918	/works/OL4902750W	1	0	use_with_warning_short_title	short_title_len_le_2|ta_without_lit_terms|canonical_preserved	27	2	Q107000085	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL4902750W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL4902750W	15	4	UNIQUE	15	short_or_general_title	0.0	2.772588722239781	0.15113943865246793	-0.15113943865246793	-0.12448209599924726
The House of Mirth	Edith Wharton	1905	The house of mirth	Edith Wharton	1906	/works/OL42236259W	218	171	use_title_author	canonical_preserved	1	1		year_discrepancy; wikidata_unresolved		60	60	0	0	/works/OL42236259W	40.0	29.0	1.0	5.0	4.0	1.0	0.7692307692307693	167.6923076923077	167.6923076923077	/works/OL42236259W	68754	3561	UNIQUE	68754		4.110873864173311	11.138304740157045	3.1207425414126746	0.9901313227606368	0.81549609731688
Three Lives	Gertrude Stein	1909	Three Lives	Gertrude Stein	1909	/works/OL35383W	50	33	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	149	1	Q7797597	openalex:use_with_warning_short_title		8	6	1	1	/works/OL35383W	40.0	30.0	2.0	4.0	3.0	1.0	0.8205128205128205	41.02564102564102	41.02564102564102	/works/OL35383W	2853	255	YEAR_AUTH	2853	short_or_general_title	1.9459101490553132	7.956476798036782	1.9912796109076738	-0.04536946185236057	-0.03736738574718454
The Picture of Dorian Gray	Oscar Wilde	1890	The Picture of Dorian Gray	Oscar Wilde	1890	/works/OL8193416W	504	377	use_title_author	canonical_preserved	3012	2	Q82464			34	34	0	0	/works/OL8193416W	40.0	30.0	3.0	3.0	0.0	4.0	0.9166666666666666	462.0	462.0	/works/OL8193416W	694769	20302	RATINGS_MAX	694769		3.5553480614894135	13.451336134523975	3.941806176704931	-0.3864581152155173	-0.31829624766944126
Lady Chatterley's Lover	D. H. Lawrence	1928	Lady Chatterley's lover	Lawrence, D. H.	1946	/works/OL43405505W	287	218	use_title_author	canonical_preserved	2	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		32	32	0	0	/works/OL43405505W	40.0	36.0	0.0	1.0	2.0	1.0	0.9230769230769232	264.92307692307696	264.92307692307696	/works/OL43405505W	77768	3876	UNIQUE	77768		3.4965075614664802	11.26149817317762	3.1644728808306097	0.3320346806358705	0.2734717910725751
Robert Elsmere	Mrs. Humphry Ward	1888	Robert Elsmere	Humphry Ward	1888	/works/OL41540816W	28	20	use_with_warning_risky_author	observed_risky_author_last:ward|short_title_len_le_2|canonical_preserved	2	20	Q7344052	author_variant_or_source_error; openalex:use_with_warning_risky_author		4	4	0	0	/works/OL41540816W	28.0	16.0	2.0	5.0	3.0	2.0	0.6923076923076923	19.384615384615383	19.384615384615383	/works/OL41540816W	36	7	UNIQUE	36	short_or_general_title	1.6094379124341003	3.6109179126442243	0.4487236453871446	1.1607142670469557	0.9559923346709887
As I Lay Dying	William Faulkner	1930	As I Lay Dying	William Faulkner	1915	/works/OL82929W	285	206	use_title_author	canonical_preserved	62	1	Q1544119	year_discrepancy		72	71	1	0	/works/OL82929W	40.0	28.0	2.0	6.0	3.0	1.0	0.7692307692307693	219.23076923076923	219.23076923076923	/works/OL82929W	112656	5659	YEAR_AUTH	112656		4.276666119016055	11.63210308329955	3.2960276083206597	0.9806385106953956	0.807677587777981
The Good Soldier	Ford Maddox Ford	1915	The Good Soldier	Ford Madox Ford	1930	/works/OL509889W	125	108	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	355	2		author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		74	72	0	2	/works/OL509889W	40.0	21.0	3.0	13.0	2.0	1.0	0.6153846153846154	76.92307692307693	76.92307692307693	/works/OL509889W	18106	1195	MANUAL_FIX	18106		4.290459441148391	9.804053882820643	2.6471195452076137	1.6433398959407772	1.3534944717922113
The Heavenly Twins	Sarah Grand	1893	The Heavenly Twins	Sarah Grand	1893	/works/OL4315764W	32	26	use_title_author	canonical_preserved	17	1		wikidata_unresolved		6	6	0	0	/works/OL4315764W	32.0	18.0	0.0	9.0	2.0	3.0	0.6206896551724138	19.86206896551724	19.86206896551724	/works/OL4315764W	133	12	UNIQUE	133		1.9459101490553132	4.897839799950911	0.905546136297779	1.0403640127575342	0.8568689553494723
The Call of the Wild	Jack London	1903	The Call of the Wild	Jack London	1903	/works/OL14942956W	143	122	use_title_author	canonical_preserved	1699	1	Q476871			5	4	1	0	/works/OL14942956W	40.0	26.0	1.0	9.0	1.0	3.0	0.7297297297297297	104.35135135135135	104.35135135135135	/works/OL14942956W	254249	7002	RATINGS_MAX	254249		1.6094379124341003	12.446073313910807	3.584965042630008	-1.9755271301959076	-1.6270919097141257
Grand Babylon Hotel	Arnold Bennett	1902	The Grand Babylon Hotel	Bennett, Arnold	1902	/works/OL109153W	1	0	use_title_author	ta_without_lit_terms|canonical_preserved	75	3	Q7737468	title_variant; author_variant_or_source_error		0	0	0	0	/works/OL109153W	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	/works/OL109153W	439	57	UNIQUE	439		0.0	6.0867747269123065	1.327585904384903	-1.327585904384903	-1.0934318498885787
Three Soldiers	John Dos Passos	1921	Three soldiers	John Dos Passos	1921	/works/OL1217993W	31	26	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	19	3	Q7797826	openalex:use_with_warning_short_title		2	2	0	0	/works/OL1217993W	31.0	19.0	2.0	6.0	2.0	2.0	0.7241379310344828	22.448275862068964	22.448275862068964	/works/OL1217993W	842	90	UNIQUE	842	short_or_general_title	1.0986122886681096	6.736966958001855	1.5583865749669292	-0.45977428629881967	-0.37868121884876804
Marrow of Tradition	Mary Chesnutt	1901	The marrow of tradition	Charles Waddell Chesnutt	1901	/works/OL112798W	54	49	use_title_author	canonical_preserved	144	5		title_variant; author_variant_or_source_error; wikidata_unresolved	The source list records Mary Chesnutt; the matched work metadata identifies Charles Waddell Chesnutt.	17	17	0	0	/works/OL112798W	40.0	21.0	4.0	5.0	6.0	4.0	0.6944444444444444	37.5	37.5	/works/OL112798W	2002	127	UNIQUE	2002		2.8903717578961645	7.602401335665818	1.8655923906606446	1.0247793672355199	0.8440330644841734
At Fault	Kate Chopin	1890	At Fault	Kate Chopin	1890	/works/OL65437W	13	10	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	127	2	Q131573518	openalex:use_with_warning_short_title		1	1	0	0	/works/OL65437W	13.0	7.0	3.0	2.0	1.0	0.0	0.7692307692307693	10.0	10.0	/works/OL65437W	242	36	UNIQUE	242	short_or_general_title	0.6931471805599453	5.493061443340548	1.1168337338272911	-0.42368655326734583	-0.34895848937675544
The Shadow-Line	Joseph Conrad	1921	The shadow-line	Conrad, Joseph	1917	/works/OL38827W	71	60	use_title_author	canonical_preserved	147	3		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		15	15	0	0	/works/OL38827W	40.0	25.0	1.0	13.0	0.0	1.0	0.6666666666666666	47.33333333333333	47.33333333333333	/works/OL38827W	2752	172	UNIQUE	2752	short_or_general_title	2.772588722239781	7.920446505142607	1.9784898306494458	0.7940988915903353	0.6540390472346784
The Moon and Sixpence	W Somerset Maugham	1919	The moon and sixpence	W. Somerset Maugham	1919	/works/OL505740W	41	30	use_title_author	canonical_preserved	397	2		wikidata_unresolved		1	1	0	0	/works/OL505740W	40.0	32.0	0.0	4.0	3.0	1.0	0.8205128205128205	33.64102564102564	33.64102564102564	/works/OL505740W	13440	851	UNIQUE	13440		0.6931471805599453	9.506065016071148	2.5413415506651207	-1.8481943701051753	-1.522217569788126
