target_id	title	author	year	reported_editions	fetched_editions	truncated	exact_title_editions	exact_title_year_editions	selected_scope	selected_editions	has_notes	has_by_statement	has_full_title	has_subtitle	has_work_titles	has_other_titles	has_contributions	has_languages	has_translation_of	has_translated_from	has_abridged_from	has_adapted_from	has_based_on	has_any_relation	error
OL10422475W	La Debacle	Emile Zola	1929	15	15	0	10	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL16511538W	Walled in	William Osborn Stoddard	1897	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	
OL17952678W	Selected speeches and documents on British colonial policy, 1763-1917	Lund, Robert	1950	1	1	0	0	0	NO_EXACT_TARGET_EDITION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OL118966W	Le docteur Pascal	Emile Zola	1893	29	29	0	28	5	TITLE_YEAR_EXACT	5	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL101031W	Stories without women (and a few with women)	Byrne, Donn	1915	5	5	0	5	2	TITLE_YEAR_EXACT	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL4392776W	Sara Skelton	Rachel Ferguson	1929	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL1285618W	Jinny the carrier	Zangwill, Israel	1919	11	11	0	10	5	TITLE_YEAR_EXACT	5	1	1	1	1	0	0	0	1	0	0	0	0	0	0	
OL1448856W	Angel with spurs	Paul Iselin Wellman	1942	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL17687184W	The flower and market girls of Paris	Emile Zola	1888	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
OL4485272W	Aegean adventure	John Lodwick	1946	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL1799328W	Marcy, the blockade-runner	Harry Castlemon	1891	18	18	0	18	3	TITLE_YEAR_EXACT	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	
OL240464W	Lore of Proserpine	Hewlett, Maurice Henry	1913	8	8	0	7	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL38916152W	The camp of refuge	MacFarlane, Charles	1904	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	
OL17651874W	The absentee	Edgeworth, Maria	1905	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
OL2341946W	Giovio and Guilia	Clinton Scollard	1892	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL1238539W	And then put out the light	E. C. R. Lorac	1950	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL22123727W	The cripple of Nuremberg	Felicia Buttz Clark	1900	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
OL7629196W	Quaker-born	Hannah, Ian C.	1916	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL44067828W	Roger Sudden	Thomas Head Raddall	1944	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	
OL109132W	The woman who stole everything, and other stories	Bennett, Arnold	1927	5	5	0	3	2	TITLE_YEAR_EXACT	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL8258445W	Thurber Country Lt	James Thurber	1901	19	19	0	1	0	TITLE_EXACT	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
OL247900W	Ten years a cowboy	Post, C. C.	1888	7	7	0	7	2	TITLE_YEAR_EXACT	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	
OL32095746W	The Blind boy of Dresden and his sister		1886	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	
OL44478758W	The black dwarf, and A Legend of Montrose	Scott, Walter	1898	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	
OL7687220W	An Italian tragedy	Nicola V. Curinga	1945	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL1202864W	Stoker Bush	Hanley, James	1935	2	2	0	2	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL7349299W	Echoes of Flanders	Charles Laing Warr	1916	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL10711812W	Dimitrios and Irene; or, The conquest of Constantinople	Charles Warren Currier	1894	2	2	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	
OL18180396W	"""Tell us another!"""	Winfrid Herbst	1925	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
OL18543211W	The supernatural in modern English fiction	Dorothy Scarborough	1917	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
OL4384055W	The edge of the sword	Vladimir Pozner	1942	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	
OL7687945W	A Lion is in the Streets	Adria Locke Langley	1945	6	6	0	6	5	TITLE_YEAR_EXACT	5	1	1	1	1	0	0	0	1	0	0	0	0	0	0	
OL3284329W	Shadows and sunbeams and other stories	Fanny Fern	1881	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	
OL16084598W	Turn of the table	Jonathan Stagge	1941	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
OL16515178W	The wreck of the Sea Lion	William Osborn Stoddard	1901	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL573170W	Wanderers (Vandrer spiller med Sordin / Under Høststjærnen)	Knut Hamsun	1922	27	27	0	0	0	NO_EXACT_TARGET_EDITION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OL24205670W	Experiences of an Irish R.M.	E. OE Somerville	1944	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	
OL6660682W	My vineyard	Dorothy Hoyer Scharlemann	1946	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL20113111W	Capricious Caroline	Effie Adelaide Rowlands	1904	7	7	0	7	1	TITLE_YEAR_EXACT	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
OL7632613W	Modern stories of the open air	Hadfield, John	1938	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL4961141W	Mishpokhe Mashber	Der Nister	1943	18	18	0	0	0	NO_EXACT_TARGET_EDITION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OL1456617W	Into the abyss	Knittel, John	1927	3	3	0	3	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL7333807W	Latchstring out	Skulda V. Banér	1944	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	
OL7663111W	""" Call house madam,"""	Gladys Adelina Lewis	1942	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL237648W	Adrift	Julia Ditto Young	1889	4	4	0	4	2	TITLE_YEAR_EXACT	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL39438557W	The freres	Alexander	1882	2	2	0	2	2	TITLE_YEAR_EXACT	2	1	1	1	1	0	0	1	1	0	0	0	0	0	0	
OL205950W	Law and outlaw	Sidgwick, Alfred	1921	2	2	0	2	2	TITLE_YEAR_EXACT	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL44014568W	Saint errant	Leslie Charteris	1948	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	
OL4134053W	Golf is a friendly game	Paul Gallico	1942	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL7015385W	The buried rose	Sidney L. Nyburg	1932	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL5475772W	The Life and Opinions of Tristram Shandy, Gentleman	Sterne, Laurence	1950	5	5	0	2	0	TITLE_EXACT	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
OL7889385W	The banner with the new device	Golden Light	1913	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL2238198W	Cing-Mars,  Adapted and edited by G.G. Loane	Alfred de Vigny	1899	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
OL7465961W	Ann Star at Warm Springs	Adelaide Humphries	1947	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL1357663W	A challenge to Caesar	Saul Saphire	1938	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL45563W	The coat without seam	Maurice Baring	1929	4	4	0	3	2	TITLE_YEAR_EXACT	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL15866832W	Hoogles and Alexander	Dorothy Langley	1948	2	2	0	2	2	TITLE_YEAR_EXACT	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	
OL1185200W	Die Brüder Lautensack	Lion Feuchtwanger	1943	9	9	0	3	0	TITLE_EXACT	3	1	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL1794624W	The young colonists	G. A. Henty	1885	30	30	0	17	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL1214835W	Martín Rivas	Alberto Blest Gana	1910	15	15	0	15	1	TITLE_YEAR_EXACT	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
OL2361188W	On Our Selection	Steele Rudd	1903	16	16	0	16	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL2508127W	The shattered halo	C. W. Bardeen	1913	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	
OL1520726W	Walt Disney's version of Pinocchio	Walt Disney Productions	1939	5	5	0	5	3	TITLE_YEAR_EXACT	3	1	1	0	0	0	1	1	1	0	0	0	0	1	1	
OL1245480W	Henri Quatre, king of France	Heinrich Mann	1938	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	
OL6049728W	Love besieged	Charles E. Pearce	1911	2	2	0	2	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL5204311W	Sudden Death	Freeman Wills Crofts	1932	4	4	0	2	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL32147007W	Godfrey Jannifer's heirs	Jane G. Austin	1901	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL22130325W	Courtship in Kenya	Nora K. Strange	1932	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL15152852W	Standing room only	Elizabeth Fowler	1944	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	
OL39453869W	Bonnie Prince Charlie	G. A. Henty	1896	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	
OL496487W	The Bitterweed Path	Thomas Hal Phillips	1949	6	6	0	5	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL32095996W	A story of stops	Davidson	1891	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	
OL3037970W	James the red engine	Awdry, W.	1948	18	18	0	13	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL18521604W	The inside of the cup	Winston Churchill	1913	129	129	0	61	8	TITLE_YEAR_EXACT	8	1	1	1	0	0	0	0	1	0	0	0	0	0	0	
OL22244170W	33 sardonics I can't forget	Tiffany Thayer	1946	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL1689760W	Busy Timmy	Kathryn Jackson	1948	2	2	0	2	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	
OL14857701W	The Female Of The Species	Ellery QUEEN	1943	5	5	0	4	1	TITLE_YEAR_EXACT	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
OL1337116W	The Prince and Betty	P. G. Wodehouse	1912	20	20	0	18	2	TITLE_YEAR_EXACT	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL109215W	Feast of St. Friend	Bennett, Arnold	1900	28	28	0	1	0	TITLE_EXACT	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
OL27446225W	Urn Burial	Robert Westall	1924	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
OL7516836W	Competitive debate	George McCoy Musgrave	1945	4	4	0	4	1	TITLE_YEAR_EXACT	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL408716W	Indian scene	Flora Annie Webster Steel	1934	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
OL10491632W	William	Richmal Crompton	1929	6	6	0	6	2	TITLE_YEAR_EXACT	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
